,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-47246000.0,-69401000.0,-86013000.0,-179914000.0
Issuance Of Capital Stock,,0.0,150652000.0,0.0
Capital Expenditure,,-659000.0,-277000.0,-34349000.0
End Cash Position,778000.0,4290000.0,9467000.0,7912000.0
Beginning Cash Position,4290000.0,9467000.0,7898000.0,40128000.0
Effect Of Exchange Rate Changes,334000.0,-163000.0,-1676000.0,507000.0
Changes In Cash,-3846000.0,-5014000.0,3245000.0,-32723000.0
Financing Cash Flow,,0.0,134258000.0,-5809000.0
Net Other Financing Charges,,,,-5809000.0
Net Common Stock Issuance,,0.0,150652000.0,0.0
Common Stock Issuance,,0.0,150652000.0,0.0
Investing Cash Flow,43400000.0,63728000.0,-45277000.0,118651000.0
Net Investment Purchase And Sale,43400000.0,64387000.0,-45000000.0,153000000.0
Sale Of Investment,43400000.0,64387000.0,75000000.0,153000000.0
Purchase Of Investment,,0.0,-120000000.0,0.0
Net Intangibles Purchase And Sale,,,0.0,-33236000.0
Purchase Of Intangibles,,,0.0,-33236000.0
Net PPE Purchase And Sale,0.0,-659000.0,-277000.0,-1113000.0
Purchase Of PPE,0.0,-659000.0,-277000.0,-1113000.0
Operating Cash Flow,-47246000.0,-68742000.0,-85736000.0,-145565000.0
Interest Received Cfo,3000.0,5000.0,19000.0,0.0
Interest Paid Cfo,-3000.0,0.0,-38000.0,-552000.0
Change In Working Capital,-10198000.0,6050000.0,8026000.0,-45243000.0
Change In Other Current Liabilities,-8807000.0,4832000.0,-6929000.0,-138566000.0
Change In Payable,-968000.0,-4242000.0,-6590000.0,2874000.0
Change In Inventory,,0.0,537000.0,41599000.0
Change In Receivables,-423000.0,5460000.0,21008000.0,48850000.0
Stock Based Compensation,,,,0.0
Depreciation And Amortization,,,256155000.0,28877000.0
Depreciation,,,256155000.0,28877000.0
Net Foreign Currency Exchange Gain Loss,,,,0.0
Net Income From Continuing Operations,-41962000.0,-132171000.0,-355397000.0,-128647000.0
