,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-15464000.0,-4492000.0,-11809000.0,-8029000.0
Issuance Of Capital Stock,30636000.0,0.0,18733000.0,
End Cash Position,3182000.0,871000.0,13707000.0,12367000.0
Other Cash Adjustment Outside Changein Cash,,,18733000.0,
Beginning Cash Position,871000.0,13375000.0,12367000.0,640000.0
Changes In Cash,2311000.0,-12504000.0,-17393000.0,11727000.0
Financing Cash Flow,30636000.0,0.0,-1210000.0,20017000.0
Net Other Financing Charges,,,-19943000.0,
Net Common Stock Issuance,30636000.0,0.0,18733000.0,
Common Stock Issuance,30636000.0,0.0,18733000.0,
Investing Cash Flow,-12861000.0,-8012000.0,-4374000.0,-261000.0
Operating Cash Flow,-15464000.0,-4492000.0,-11809000.0,-8029000.0
Change In Working Capital,1828000.0,-1433000.0,1681000.0,-1822000.0
