,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,67985000.0,17775000.0,31766000.0,32731000.0
Repayment Of Debt,-16187000.0,-24458000.0,-48625000.0,-46710000.0
Issuance Of Debt,,0.0,33500000.0,52500000.0
Issuance Of Capital Stock,,,0.0,75470000.0
Capital Expenditure,-9286000.0,-5535000.0,-9964000.0,-14213000.0
End Cash Position,61664000.0,34962000.0,41979000.0,78668000.0
Other Cash Adjustment Outside Changein Cash,,-1000.0,,-1000.0
Beginning Cash Position,34962000.0,41979000.0,78668000.0,22022000.0
Changes In Cash,26702000.0,-7016000.0,-36689000.0,56647000.0
Financing Cash Flow,-30427000.0,-28881000.0,-8453000.0,59920000.0
Net Other Financing Charges,,1000.0,,
Cash Dividends Paid,-5800000.0,,,-16650000.0
Net Common Stock Issuance,,,0.0,75470000.0
Common Stock Issuance,,,0.0,75470000.0
Net Issuance Payments Of Debt,-24627000.0,-28882000.0,-8453000.0,1100000.0
Net Short Term Debt Issuance,-8440000.0,-4424000.0,6672000.0,-4690000.0
Net Long Term Debt Issuance,-16187000.0,-24458000.0,-15125000.0,5790000.0
Long Term Debt Payments,-16187000.0,-24458000.0,-48625000.0,-46710000.0
Long Term Debt Issuance,,0.0,33500000.0,52500000.0
Investing Cash Flow,-20142000.0,-1445000.0,-69966000.0,-50217000.0
Net Other Investing Changes,,1000.0,1000.0,1000.0
Net Business Purchase And Sale,-10856000.0,4089000.0,-60003000.0,-36005000.0
Sale Of Business,,,0.0,95000.0
Purchase Of Business,,,-60003000.0,-36100000.0
Net Intangibles Purchase And Sale,0.0,-2037000.0,0.0,
Net PPE Purchase And Sale,-9286000.0,-3498000.0,-9964000.0,-14213000.0
Purchase Of PPE,-9286000.0,-3498000.0,-9964000.0,-14213000.0
Operating Cash Flow,77271000.0,23310000.0,41730000.0,46944000.0
Taxes Refund Paid,515000.0,-10130000.0,-4752000.0,-14140000.0
Change In Working Capital,13970000.0,-10699000.0,-5264000.0,10672000.0
Change In Other Current Liabilities,5553000.0,-3767000.0,298000.0,14591000.0
Change In Inventory,-186000.0,181000.0,-2000.0,80000.0
Change In Receivables,8603000.0,-7113000.0,-5560000.0,-3999000.0
Other Non Cash Items,-750000.0,-2371000.0,,
Provisionand Write Offof Assets,,0.0,-22000.0,
Depreciation And Amortization,47499000.0,46994000.0,40539000.0,
Depreciation,47499000.0,46994000.0,40539000.0,
Net Income From Continuing Operations,16037000.0,-483000.0,11229000.0,22223000.0
