,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1387000000.0,1541000000.0,1638000000.0,1389000000.0,
Repurchase Of Capital Stock,,,-14000000.0,0.0,
Repayment Of Debt,-8451000000.0,-9789000000.0,-7643000000.0,-3924000000.0,
Issuance Of Debt,6282000000.0,9034000000.0,10271000000.0,8642000000.0,
Issuance Of Capital Stock,1712000000.0,-5000000.0,4000000.0,744000000.0,
Capital Expenditure,-3000000.0,,,,
End Cash Position,451000000.0,435000000.0,691000000.0,534000000.0,
Other Cash Adjustment Outside Changein Cash,-2000000.0,,1000000.0,-1000000.0,1000000.0
Beginning Cash Position,435000000.0,691000000.0,534000000.0,312000000.0,
Effect Of Exchange Rate Changes,9000000.0,-1000000.0,16000000.0,1000000.0,
Changes In Cash,9000000.0,-255000000.0,140000000.0,222000000.0,
Financing Cash Flow,-779000000.0,-1512000000.0,1889000000.0,4884000000.0,
Net Other Financing Charges,-131000000.0,3000000.0,-55000000.0,31000000.0,
Cash Dividends Paid,-191000000.0,-755000000.0,-688000000.0,-609000000.0,
Common Stock Dividend Paid,-191000000.0,-755000000.0,-688000000.0,-609000000.0,
Net Common Stock Issuance,1712000000.0,-5000000.0,4000000.0,744000000.0,
Common Stock Payments,,,-14000000.0,0.0,
Common Stock Issuance,1712000000.0,-5000000.0,4000000.0,744000000.0,
Net Issuance Payments Of Debt,-2169000000.0,-755000000.0,2628000000.0,4718000000.0,
Net Short Term Debt Issuance,,94000000.0,0.0,,
Short Term Debt Issuance,,94000000.0,0.0,,
Net Long Term Debt Issuance,-2169000000.0,-755000000.0,2628000000.0,4718000000.0,
Long Term Debt Payments,-8451000000.0,-9789000000.0,-7643000000.0,-3924000000.0,
Long Term Debt Issuance,6282000000.0,9034000000.0,10271000000.0,8642000000.0,
Investing Cash Flow,-602000000.0,-284000000.0,-3387000000.0,-6051000000.0,
Net Other Investing Changes,113000000.0,-77000000.0,-31000000.0,-3000000.0,
Dividends Received Cfi,,,,-17000000.0,0.0
Net Investment Properties Purchase And Sale,-776000000.0,-207000000.0,-3164000000.0,-6031000000.0,
Sale Of Investment Properties,1426000000.0,1544000000.0,1726000000.0,655000000.0,
Purchase Of Investment Properties,-2202000000.0,-1751000000.0,-4890000000.0,-6686000000.0,
Net Business Purchase And Sale,64000000.0,0.0,-192000000.0,-17000000.0,
Sale Of Business,77000000.0,0.0,,,
Purchase Of Business,-13000000.0,0.0,-192000000.0,-17000000.0,
Net Intangibles Purchase And Sale,-3000000.0,0.0,,,
Purchase Of Intangibles,-3000000.0,0.0,,,
Operating Cash Flow,1390000000.0,1541000000.0,1638000000.0,1389000000.0,
Taxes Refund Paid,-78000000.0,-65000000.0,-54000000.0,-29000000.0,
Interest Received Cfo,11000000.0,6000000.0,5000000.0,,
Interest Paid Cfo,-1303000000.0,-1164000000.0,-520000000.0,0.0,
Dividend Received Cfo,350000000.0,180000000.0,335000000.0,332000000.0,
Change In Working Capital,45000000.0,326000000.0,-75000000.0,-48000000.0,
Change In Other Current Liabilities,21000000.0,277000000.0,-26000000.0,-70000000.0,
Change In Receivables,24000000.0,49000000.0,-49000000.0,22000000.0,
Other Non Cash Items,1237000000.0,1237000000.0,665000000.0,48000000.0,
Depreciation And Amortization,2000000.0,1000000.0,2000000.0,1000000.0,
Depreciation,2000000.0,1000000.0,2000000.0,1000000.0,
Gain Loss On Investment Securities,1082000000.0,1672000000.0,94000000.0,-1671000000.0,
Net Income From Continuing Operations,253000000.0,-661000000.0,1859000000.0,3644000000.0,
