,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-24208000.0,-31080000.0,-62878000.0,-30920000.0
Repayment Of Debt,-682000.0,-398000.0,-500000.0,-4518000.0
Issuance Of Debt,23000000.0,0.0,0.0,308000.0
Issuance Of Capital Stock,21000000.0,0.0,384000.0,137274000.0
Capital Expenditure,-7053000.0,-5064000.0,-2938000.0,-4164000.0
End Cash Position,36626000.0,18167000.0,50251000.0,114700000.0
Other Cash Adjustment Outside Changein Cash,,1000.0,,-1000.0
Beginning Cash Position,18167000.0,50251000.0,114700000.0,17586000.0
Changes In Cash,18459000.0,-32085000.0,-64449000.0,97115000.0
Financing Cash Flow,42667000.0,-1005000.0,-1571000.0,128034000.0
Net Other Financing Charges,-1000.0,,-1000.0,
Net Common Stock Issuance,21000000.0,0.0,384000.0,137274000.0
Common Stock Issuance,21000000.0,0.0,384000.0,137274000.0
Net Issuance Payments Of Debt,22318000.0,-398000.0,-500000.0,-4210000.0
Net Long Term Debt Issuance,22318000.0,-398000.0,-500000.0,-4210000.0
Long Term Debt Payments,-682000.0,-398000.0,-500000.0,-4518000.0
Long Term Debt Issuance,23000000.0,0.0,0.0,308000.0
Investing Cash Flow,-7053000.0,-5064000.0,-2938000.0,-4163000.0
Net Other Investing Changes,,,,1000.0
Net Intangibles Purchase And Sale,-6965000.0,-5028000.0,-2938000.0,-3796000.0
Purchase Of Intangibles,-6965000.0,-5028000.0,-2938000.0,-3796000.0
Net PPE Purchase And Sale,-88000.0,-36000.0,0.0,-368000.0
Purchase Of PPE,-88000.0,-36000.0,0.0,-368000.0
Operating Cash Flow,-17155000.0,-26016000.0,-59940000.0,-26756000.0
Taxes Refund Paid,-178000.0,-276000.0,115000.0,-128000.0
Interest Received Cfo,799000.0,576000.0,285000.0,264000.0
Interest Paid Cfo,-1743000.0,-775000.0,-632000.0,-471000.0
Change In Working Capital,-19824000.0,56000.0,-8843000.0,-2432000.0
Change In Other Current Liabilities,2647000.0,-1581000.0,-3189000.0,-2360000.0
Change In Inventory,32000.0,461000.0,0.0,10000.0
Change In Receivables,-22503000.0,1176000.0,-5654000.0,-82000.0
Other Non Cash Items,94000.0,43000.0,143000.0,-326000.0
Depreciation And Amortization,5574000.0,5852000.0,6698000.0,5114000.0
Depreciation,5574000.0,5852000.0,6698000.0,5114000.0
Net Foreign Currency Exchange Gain Loss,7000.0,-21000.0,0.0,198000.0
Net Income From Continuing Operations,-1884000.0,-31471000.0,-57706000.0,-28973000.0
