,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-29887000.0,-49104000.0,-26716000.0,-50728000.0,
Repayment Of Debt,,,,0.0,-2445000.0
Issuance Of Capital Stock,,0.0,-229000.0,185116000.0,8993000.0
Capital Expenditure,-1824000.0,-1589000.0,-2093000.0,-9119000.0,
End Cash Position,40752000.0,89332000.0,185428000.0,211155000.0,
Other Cash Adjustment Outside Changein Cash,1000.0,,-1000.0,2000.0,
Beginning Cash Position,89332000.0,185428000.0,211155000.0,77862000.0,
Effect Of Exchange Rate Changes,763000.0,-9000.0,1233000.0,,
Changes In Cash,-49344000.0,-96087000.0,-26960000.0,133291000.0,
Financing Cash Flow,,0.0,-229000.0,185115000.0,6548000.0
Net Other Financing Charges,,,,-1000.0,
Net Common Stock Issuance,,0.0,-229000.0,185116000.0,8993000.0
Common Stock Issuance,,0.0,-229000.0,185116000.0,8993000.0
Net Issuance Payments Of Debt,,,,0.0,-2445000.0
Net Long Term Debt Issuance,,,,0.0,-2445000.0
Long Term Debt Payments,,,,0.0,-2445000.0
Investing Cash Flow,-21281000.0,-48572000.0,-2108000.0,-10215000.0,
Net Other Investing Changes,,-4000000.0,,1000.0,
Net Investment Purchase And Sale,0.0,-38000.0,-15000.0,,-50000.0
Purchase Of Investment,0.0,-38000.0,-15000.0,,-50000.0
Net Business Purchase And Sale,0.0,-42945000.0,0.0,-1097000.0,
Sale Of Business,,,,73000.0,
Purchase Of Business,0.0,-42945000.0,0.0,-1170000.0,
Net Intangibles Purchase And Sale,0.0,-69000.0,-1591000.0,-2326000.0,
Purchase Of Intangibles,0.0,-69000.0,-1591000.0,-2326000.0,
Net PPE Purchase And Sale,-1824000.0,-1520000.0,-502000.0,-6793000.0,
Purchase Of PPE,-1824000.0,-1520000.0,-502000.0,-6793000.0,
Operating Cash Flow,-28063000.0,-47515000.0,-24623000.0,-41609000.0,
Taxes Refund Paid,415000.0,301000.0,132000.0,,
Interest Received Cfo,0.0,2075000.0,67000.0,,
Interest Paid Cfo,-156000.0,-1000.0,-56000.0,,
Change In Working Capital,2279000.0,-2702000.0,-10355000.0,-11273000.0,
Change In Other Current Liabilities,9904000.0,-11998000.0,1421000.0,4664000.0,
Change In Inventory,-280000.0,-202000.0,-940000.0,-308000.0,
Change In Receivables,-7345000.0,9498000.0,-10836000.0,-15629000.0,
Other Non Cash Items,1328000.0,716000.0,-3126000.0,-71000.0,
Depreciation And Amortization,7340000.0,8497000.0,7980000.0,5976000.0,
Depreciation,7340000.0,8497000.0,7980000.0,5976000.0,
Net Foreign Currency Exchange Gain Loss,113000.0,435000.0,0.0,,
Net Income From Continuing Operations,-54398000.0,-71304000.0,-22768000.0,-36241000.0,
