,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-14666000.0,-23730000.0,-24885783.0,-9632503.0,
Repayment Of Debt,,,0.0,-194443.0,-138889.0
Issuance Of Capital Stock,3000000.0,31816000.0,0.0,41540772.0,
End Cash Position,2195000.0,14079000.0,12845795.0,37465745.0,
Other Cash Adjustment Outside Changein Cash,,,-1000.0,,
Beginning Cash Position,14079000.0,12846000.0,37465744.0,10866894.0,
Effect Of Exchange Rate Changes,,-192987.0,264834.0,77593.0,-166175.0
Changes In Cash,-11884000.0,1233000.0,-24883783.0,26521258.0,
Financing Cash Flow,2782000.0,24963000.0,1000.0,36154761.0,
Net Other Financing Charges,,,1000.0,,
Net Common Stock Issuance,3000000.0,31816000.0,0.0,41540772.0,
Common Stock Issuance,3000000.0,31816000.0,0.0,41540772.0,
Net Issuance Payments Of Debt,,,0.0,-194443.0,-138889.0
Net Long Term Debt Issuance,,,0.0,-194443.0,-138889.0
Long Term Debt Payments,,,0.0,-194443.0,-138889.0
Investing Cash Flow,,0.0,1000.0,-1000.0,0.0
Net Investment Purchase And Sale,,0.0,1000.0,-1000.0,0.0
Sale Of Investment,,0.0,1000.0,0.0,
Purchase Of Investment,,,0.0,-1000.0,0.0
Operating Cash Flow,-14666000.0,-23730000.0,-24885783.0,-9632503.0,
Change In Working Capital,-2249000.0,7000.0,-95026.0,2535429.0,
Change In Other Current Liabilities,-2810000.0,1329000.0,34475.0,1577690.0,
Change In Receivables,561000.0,-1322000.0,-129501.0,957739.0,
Net Foreign Currency Exchange Gain Loss,,192987.0,-264834.0,-77593.0,166175.0
Net Income From Continuing Operations,-12418000.0,-23737000.0,-24525923.0,-12090339.0,
