,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2046000000.0,1599000000.0,172000000.0,621000000.0
Repayment Of Debt,-4641000000.0,-995000000.0,-78000000.0,-64000000.0
Issuance Of Debt,6738000000.0,3000000.0,1305000000.0,500000000.0
Issuance Of Capital Stock,9000000.0,279000000.0,-4000000.0,-1000000.0
Capital Expenditure,-264000000.0,-251000000.0,-444000000.0,-507000000.0
End Cash Position,405000000.0,94000000.0,176000000.0,149000000.0
Beginning Cash Position,94000000.0,176000000.0,149000000.0,706000000.0
Effect Of Exchange Rate Changes,-2000000.0,-2000000.0,11000000.0,4000000.0
Changes In Cash,313000000.0,-80000000.0,16000000.0,-561000000.0
Financing Cash Flow,1102000000.0,-1679000000.0,-136000000.0,-1186000000.0
Net Other Financing Charges,,1000000.0,,
Cash Dividends Paid,-1004000000.0,-967000000.0,-1359000000.0,-1621000000.0
Common Stock Dividend Paid,-1004000000.0,-967000000.0,-1359000000.0,-1621000000.0
Net Common Stock Issuance,9000000.0,279000000.0,-4000000.0,-1000000.0
Common Stock Issuance,9000000.0,279000000.0,-4000000.0,-1000000.0
Net Issuance Payments Of Debt,2097000000.0,-992000000.0,1227000000.0,436000000.0
Net Long Term Debt Issuance,2097000000.0,-992000000.0,1227000000.0,436000000.0
Long Term Debt Payments,-4641000000.0,-995000000.0,-78000000.0,-64000000.0
Long Term Debt Issuance,6738000000.0,3000000.0,1305000000.0,500000000.0
Investing Cash Flow,-3099000000.0,-251000000.0,-464000000.0,-503000000.0
Net Other Investing Changes,1000000.0,,-1000000.0,1000000.0
Net Business Purchase And Sale,-2837000000.0,0.0,-20000000.0,0.0
Purchase Of Business,-2837000000.0,0.0,-20000000.0,0.0
Net Intangibles Purchase And Sale,0.0,0.0,-1000000.0,-2000000.0
Purchase Of Intangibles,0.0,0.0,-1000000.0,-2000000.0
Net PPE Purchase And Sale,-263000000.0,-251000000.0,-442000000.0,-502000000.0
Sale Of PPE,1000000.0,0.0,1000000.0,3000000.0
Purchase Of PPE,-264000000.0,-251000000.0,-443000000.0,-505000000.0
Operating Cash Flow,2310000000.0,1850000000.0,616000000.0,1128000000.0
Taxes Refund Paid,-188000000.0,-509000000.0,-410000000.0,-402000000.0
Change In Working Capital,769000000.0,636000000.0,-883000000.0,-951000000.0
Change In Other Current Liabilities,165000000.0,-91000000.0,-689000000.0,561000000.0
Change In Inventory,492000000.0,801000000.0,-412000000.0,-1370000000.0
Change In Receivables,112000000.0,-74000000.0,218000000.0,-142000000.0
Depreciation And Amortization,283000000.0,293000000.0,200000000.0,153000000.0
Depreciation,283000000.0,293000000.0,200000000.0,153000000.0
Gain Loss On Investment Securities,1000000.0,11000000.0,61000000.0,24000000.0
Net Income From Continuing Operations,1447000000.0,1420000000.0,1647000000.0,2303000000.0
