,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,313000000.0,248000000.0,130000000.0,164000000.0
Repurchase Of Capital Stock,,0.0,-87000000.0,0.0
Repayment Of Debt,-94000000.0,0.0,-51000000.0,-245000000.0
Issuance Of Debt,5000000.0,304000000.0,56000000.0,104000000.0
Issuance Of Capital Stock,5000000.0,17000000.0,15000000.0,0.0
Capital Expenditure,-10000000.0,-12000000.0,-5000000.0,-5000000.0
End Cash Position,27000000.0,47000000.0,17000000.0,70000000.0
Beginning Cash Position,47000000.0,17000000.0,70000000.0,145000000.0
Effect Of Exchange Rate Changes,0.0,0.0,0.0,0.0
Changes In Cash,-20000000.0,30000000.0,-53000000.0,-75000000.0
Financing Cash Flow,-227000000.0,206000000.0,-83000000.0,-119000000.0
Net Other Financing Charges,,,-16000000.0,22000000.0
Cash Dividends Paid,-54000000.0,-49000000.0,,
Net Common Stock Issuance,5000000.0,17000000.0,-72000000.0,0.0
Common Stock Payments,,0.0,-87000000.0,0.0
Common Stock Issuance,5000000.0,17000000.0,15000000.0,0.0
Net Issuance Payments Of Debt,-89000000.0,304000000.0,5000000.0,-141000000.0
Net Long Term Debt Issuance,-89000000.0,304000000.0,5000000.0,-141000000.0
Long Term Debt Payments,-94000000.0,0.0,-51000000.0,-245000000.0
Long Term Debt Issuance,5000000.0,304000000.0,56000000.0,104000000.0
Investing Cash Flow,-116000000.0,-436000000.0,-105000000.0,-125000000.0
Net Other Investing Changes,-1000000.0,,,
Net Investment Purchase And Sale,-1000000.0,0.0,,
Purchase Of Investment,-1000000.0,0.0,,
Net Business Purchase And Sale,-105000000.0,-424000000.0,-100000000.0,-120000000.0
Purchase Of Business,-105000000.0,-424000000.0,-100000000.0,-120000000.0
Net Intangibles Purchase And Sale,-1000000.0,0.0,,
Purchase Of Intangibles,-1000000.0,0.0,,
Net PPE Purchase And Sale,-9000000.0,-12000000.0,-5000000.0,-5000000.0
Purchase Of PPE,-9000000.0,-12000000.0,-5000000.0,-5000000.0
Operating Cash Flow,323000000.0,260000000.0,135000000.0,169000000.0
Taxes Refund Paid,-73000000.0,-40000000.0,-59000000.0,-31000000.0
Change In Working Capital,12000000.0,-20000000.0,-50000000.0,-2000000.0
Change In Other Current Liabilities,8000000.0,-26000000.0,7000000.0,68000000.0
Change In Inventory,8000000.0,-20000000.0,-35000000.0,-11000000.0
Change In Receivables,-4000000.0,26000000.0,-22000000.0,-59000000.0
Other Non Cash Items,7000000.0,-2000000.0,-1000000.0,
Deferred Tax,,,,-31000000.0
Depreciation And Amortization,137000000.0,100000000.0,68000000.0,54000000.0
Amortization Cash Flow,44000000.0,28000000.0,13000000.0,10000000.0
Depreciation,93000000.0,72000000.0,55000000.0,44000000.0
Net Income From Continuing Operations,240000000.0,222000000.0,177000000.0,148000000.0
