,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1359000000.0,-1140000000.0,373000000.0,1938000000.0
Repayment Of Debt,-4153000000.0,-3365000000.0,-1836000000.0,-3525000000.0
Issuance Of Debt,6054000000.0,14775000000.0,3059000000.0,3145000000.0
Capital Expenditure,-2647000000.0,-3720000000.0,-2241000000.0,-1324000000.0
End Cash Position,5607000000.0,4283000000.0,4817000000.0,4746000000.0
Beginning Cash Position,4283000000.0,4817000000.0,4746000000.0,4794000000.0
Effect Of Exchange Rate Changes,227000000.0,-112000000.0,386000000.0,202000000.0
Changes In Cash,1097000000.0,-422000000.0,-315000000.0,-250000000.0
Financing Cash Flow,-64000000.0,9602000000.0,-151000000.0,-1502000000.0
Cash Dividends Paid,-1310000000.0,-1310000000.0,-1009000000.0,-784000000.0
Net Issuance Payments Of Debt,1901000000.0,11410000000.0,1223000000.0,-380000000.0
Net Long Term Debt Issuance,1901000000.0,11410000000.0,1223000000.0,-380000000.0
Long Term Debt Payments,-4153000000.0,-3365000000.0,-1836000000.0,-3525000000.0
Long Term Debt Issuance,6054000000.0,14775000000.0,3059000000.0,3145000000.0
Investing Cash Flow,-2845000000.0,-12604000000.0,-2778000000.0,-2010000000.0
Net Other Investing Changes,404000000.0,-190000000.0,155000000.0,48000000.0
Net Business Purchase And Sale,-621000000.0,-8752000000.0,-713000000.0,-768000000.0
Sale Of Business,,,126000000.0,0.0
Purchase Of Business,-621000000.0,-8752000000.0,-839000000.0,-768000000.0
Net Intangibles Purchase And Sale,-472000000.0,-450000000.0,-257000000.0,-300000000.0
Purchase Of Intangibles,-472000000.0,-450000000.0,-257000000.0,-300000000.0
Net PPE Purchase And Sale,-2156000000.0,-3212000000.0,-1963000000.0,-990000000.0
Sale Of PPE,19000000.0,58000000.0,21000000.0,34000000.0
Purchase Of PPE,-2175000000.0,-3270000000.0,-1984000000.0,-1024000000.0
Operating Cash Flow,4006000000.0,2580000000.0,2614000000.0,3262000000.0
Taxes Refund Paid,-805000000.0,-2028000000.0,-1182000000.0,-764000000.0
Interest Received Cfo,473000000.0,732000000.0,417000000.0,134000000.0
Interest Paid Cfo,-1548000000.0,-1022000000.0,-585000000.0,-263000000.0
Change In Working Capital,180000000.0,-3893000000.0,-3186000000.0,-1487000000.0
Change In Other Current Liabilities,-2495000000.0,-1031000000.0,933000000.0,994000000.0
Change In Inventory,3012000000.0,-2465000000.0,-2861000000.0,-1914000000.0
Change In Receivables,-337000000.0,-397000000.0,-1258000000.0,-567000000.0
Other Non Cash Items,680000000.0,-29000000.0,-74000000.0,-106000000.0
Depreciation And Amortization,2245000000.0,1824000000.0,1597000000.0,1298000000.0
Depreciation,2245000000.0,1824000000.0,1597000000.0,1298000000.0
Net Income From Continuing Operations,2671000000.0,6973000000.0,5863000000.0,4468000000.0
