,2024-12-31,2023-12-31,2022-12-31,2021-03-31
Free Cash Flow,2476067.0,-1839313.0,-127730.0,2368905.0
Issuance Of Capital Stock,33200.0,89290.0,2341464.0,9775786.0
Capital Expenditure,-1756972.0,-3183940.0,-6207429.0,-500322.0
End Cash Position,13113669.0,11084799.0,13801593.0,14708551.0
Beginning Cash Position,11084799.0,13801592.0,14458346.0,2732565.0
Effect Of Exchange Rate Changes,-322400.0,-315107.0,511301.0,-77955.0
Changes In Cash,2351270.0,-2401686.0,-1168054.0,12053941.0
Financing Cash Flow,-124797.0,-43802.0,2244908.0,9685036.0
Net Common Stock Issuance,33200.0,89290.0,2341464.0,9775786.0
Common Stock Issuance,33200.0,89290.0,2341464.0,9775786.0
Investing Cash Flow,-1756972.0,-3702511.0,-9492661.0,-500322.0
Net Investment Purchase And Sale,,0.0,-400327.0,
Net Business Purchase And Sale,0.0,-518571.0,-2884905.0,
Purchase Of Business,0.0,-518571.0,-2884905.0,
Capital Expenditure Reported,-1756972.0,-3183940.0,-6207429.0,-500322.0
Operating Cash Flow,4233039.0,1344627.0,6079699.0,2869227.0
Change In Working Capital,380136.0,-1430495.0,3184656.0,2639954.0
Change In Payable,-2669851.0,4247253.0,8863727.0,3442211.0
Change In Receivables,3049987.0,-5677748.0,-5679071.0,-802257.0
Other Non Cash Items,553241.0,983121.0,920907.0,12912.0
Stock Based Compensation,225213.0,151441.0,487128.0,52588.0
Depreciation And Amortization,6997590.0,2719275.0,2576056.0,262712.0
Amortization Cash Flow,6831568.0,2585586.0,2460915.0,187952.0
Depreciation,166022.0,133689.0,115141.0,74760.0
Gain Loss On Investment Securities,-3653668.0,-3342705.0,-1914777.0,
Net Foreign Currency Exchange Gain Loss,443418.0,106891.0,-218445.0,77955.0
Net Income From Continuing Operations,-2707236.0,1804179.0,292586.0,-92774.0
