,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,728000000.0,-209000000.0,10000000.0,496000000.0
Repayment Of Debt,-4986000000.0,-809000000.0,-1054000000.0,-107000000.0
Issuance Of Debt,5599000000.0,0.0,2217000000.0,2117000000.0
Issuance Of Capital Stock,0.0,0.0,1912000000.0,7105000000.0
End Cash Position,308000000.0,316000000.0,2913000000.0,2903000000.0
Other Cash Adjustment Outside Changein Cash,,,1000000.0,
Beginning Cash Position,316000000.0,2913000000.0,2903000000.0,39000000.0
Changes In Cash,-8000000.0,-2597000000.0,9000000.0,2864000000.0
Financing Cash Flow,192000000.0,-160000000.0,3075000000.0,9116000000.0
Net Other Financing Charges,-361000000.0,649000000.0,,1000000.0
Net Common Stock Issuance,0.0,0.0,1912000000.0,7105000000.0
Common Stock Issuance,0.0,0.0,1912000000.0,7105000000.0
Net Issuance Payments Of Debt,613000000.0,-809000000.0,1163000000.0,2010000000.0
Net Long Term Debt Issuance,613000000.0,-809000000.0,1163000000.0,2010000000.0
Long Term Debt Payments,-4986000000.0,-809000000.0,-1054000000.0,-107000000.0
Long Term Debt Issuance,5599000000.0,0.0,2217000000.0,2117000000.0
Investing Cash Flow,-928000000.0,-2228000000.0,-3076000000.0,-6748000000.0
Net Other Investing Changes,,49000000.0,18000000.0,-68000000.0
Net Investment Purchase And Sale,-14000000.0,49000000.0,,
Sale Of Investment,,49000000.0,,
Purchase Of Investment,-14000000.0,,,
Net Investment Properties Purchase And Sale,-629000000.0,-1266000000.0,-1390000000.0,-793000000.0
Sale Of Investment Properties,0.0,20000000.0,0.0,7000000.0
Purchase Of Investment Properties,-629000000.0,-1286000000.0,-1390000000.0,-800000000.0
Net Business Purchase And Sale,-285000000.0,-1011000000.0,-1704000000.0,-5887000000.0
Purchase Of Business,-285000000.0,-1011000000.0,-1704000000.0,-5887000000.0
Operating Cash Flow,728000000.0,-209000000.0,10000000.0,496000000.0
Taxes Refund Paid,-31000000.0,-22000000.0,-25000000.0,-40000000.0
Change In Working Capital,523000000.0,-232000000.0,-160000000.0,278000000.0
Change In Other Current Liabilities,262000000.0,-220000000.0,-152000000.0,143000000.0
Change In Receivables,261000000.0,-12000000.0,-8000000.0,135000000.0
Other Non Cash Items,10000000.0,23000000.0,48000000.0,2000000.0
Depreciation And Amortization,,-5000000.0,1000000.0,2000000.0
Depreciation,,-5000000.0,1000000.0,2000000.0
Gain Loss On Investment Securities,1228000000.0,4761000000.0,2877000000.0,-8144000000.0
Net Income From Continuing Operations,-1019000000.0,-5061000000.0,-2991000000.0,8897000000.0
