,2024-12-31,2023-12-31
Free Cash Flow,-20804000.0,-9729000.0
Repayment Of Debt,-2572000.0,0.0
Issuance Of Debt,0.0,5072000.0
Issuance Of Capital Stock,65310000.0,-15000.0
Capital Expenditure,-16000.0,-23000.0
End Cash Position,9279000.0,1524000.0
Other Cash Adjustment Outside Changein Cash,1000.0,1000.0
Beginning Cash Position,1524000.0,25328000.0
Effect Of Exchange Rate Changes,84000.0,-95000.0
Changes In Cash,7670000.0,-23710000.0
Financing Cash Flow,62738000.0,4917000.0
Net Other Financing Charges,,-1000.0
Net Common Stock Issuance,65310000.0,-15000.0
Common Stock Issuance,65310000.0,-15000.0
Net Issuance Payments Of Debt,-2572000.0,5072000.0
Net Long Term Debt Issuance,-2572000.0,5072000.0
Long Term Debt Payments,-2572000.0,0.0
Long Term Debt Issuance,0.0,5072000.0
Investing Cash Flow,-34280000.0,-18921000.0
Net Other Investing Changes,-1000.0,
Net Investment Purchase And Sale,-31912000.0,-17707000.0
Sale Of Investment,376000.0,11000.0
Purchase Of Investment,-32288000.0,-17718000.0
Net Business Purchase And Sale,-31912000.0,-17707000.0
Net PPE Purchase And Sale,-16000.0,-23000.0
Purchase Of PPE,-16000.0,-23000.0
Operating Cash Flow,-20788000.0,-9706000.0
Interest Received Cfo,851000.0,126000.0
Interest Paid Cfo,-86000.0,-149000.0
Change In Working Capital,-2765000.0,5865000.0
Change In Other Current Liabilities,-2066000.0,2721000.0
Change In Receivables,-699000.0,3144000.0
Net Income From Continuing Operations,-388126000.0,-144581000.0
