,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-48120000.0,-52491000.0,-58330000.0,-19492000.0,
Repayment Of Debt,,,0.0,0.0,-8990000.0
Issuance Of Debt,,,0.0,0.0,3089000.0
Issuance Of Capital Stock,56797000.0,-16000.0,-52000.0,149978000.0,
Capital Expenditure,-442000.0,-290000.0,-2715000.0,-180000.0,
End Cash Position,62625000.0,58991000.0,111860000.0,169403000.0,
Beginning Cash Position,58991000.0,111860000.0,169403000.0,50267000.0,
Effect Of Exchange Rate Changes,147000.0,-362000.0,839000.0,891000.0,
Changes In Cash,3487000.0,-52507000.0,-58382000.0,118245000.0,
Financing Cash Flow,51607000.0,-16000.0,-52000.0,137737000.0,
Net Common Stock Issuance,56797000.0,-16000.0,-52000.0,149978000.0,
Common Stock Issuance,56797000.0,-16000.0,-52000.0,149978000.0,
Net Issuance Payments Of Debt,,,0.0,0.0,-5901000.0
Net Long Term Debt Issuance,,,0.0,0.0,-5901000.0
Long Term Debt Payments,,,0.0,0.0,-8990000.0
Long Term Debt Issuance,,,0.0,0.0,3089000.0
Investing Cash Flow,-442000.0,-290000.0,-2715000.0,-180000.0,
Net Investment Purchase And Sale,-400000.0,-300000.0,,,
Net Intangibles Purchase And Sale,,,0.0,-19000.0,-52000.0
Purchase Of Intangibles,,,0.0,-19000.0,-52000.0
Net PPE Purchase And Sale,-442000.0,-290000.0,-2715000.0,-161000.0,
Purchase Of PPE,-442000.0,-290000.0,-2715000.0,-161000.0,
Operating Cash Flow,-47678000.0,-52201000.0,-55615000.0,-19312000.0,
Taxes Refund Paid,-173000.0,-100000.0,204000.0,-1188000.0,
Interest Received Cfo,1971000.0,1838000.0,82000.0,13000.0,
Interest Paid Cfo,-354000.0,-100000.0,-100000.0,-100000.0,
Change In Working Capital,12290000.0,1420000.0,6452000.0,22173000.0,
Change In Other Current Liabilities,22029000.0,1572000.0,8397000.0,4630000.0,
Change In Receivables,-9739000.0,-152000.0,-1945000.0,17543000.0,
Stock Based Compensation,96000.0,113000.0,123000.0,35000.0,
Depreciation And Amortization,992000.0,1142000.0,932000.0,809000.0,
Depreciation,992000.0,1142000.0,932000.0,809000.0,
Gain Loss On Investment Securities,22000.0,6000.0,,,230000.0
Net Foreign Currency Exchange Gain Loss,-1314000.0,646000.0,1291000.0,-1609000.0,
Gain Loss On Sale Of PPE,,6000.0,47000.0,0.0,200000.0
Net Income From Continuing Operations,-61208000.0,-57166000.0,-64646000.0,-39445000.0,
