,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2017000.0,6094000.0,-121038000.0,-17778000.0,
Repayment Of Debt,-5902000.0,-5193000.0,-2872000.0,,
Issuance Of Debt,0.0,0.0,23616000.0,5107000.0,
Issuance Of Capital Stock,199000.0,36000.0,6609000.0,144545000.0,
Capital Expenditure,-486000.0,-8624000.0,-47240000.0,-14093000.0,
End Cash Position,60263000.0,63949000.0,62691000.0,156375000.0,
Beginning Cash Position,63949000.0,63012000.0,156375000.0,24501000.0,
Changes In Cash,-3686000.0,937000.0,-93684000.0,131874000.0,
Financing Cash Flow,-5703000.0,-5157000.0,27354000.0,149652000.0,
Net Other Financing Charges,,,1000.0,,
Net Common Stock Issuance,199000.0,36000.0,6609000.0,144545000.0,
Common Stock Issuance,199000.0,36000.0,6609000.0,144545000.0,
Net Issuance Payments Of Debt,-5902000.0,-5193000.0,20744000.0,5107000.0,
Net Short Term Debt Issuance,,,,0.0,-5322000.0
Net Long Term Debt Issuance,-5902000.0,-5193000.0,20744000.0,5107000.0,
Long Term Debt Payments,-5902000.0,-5193000.0,-2872000.0,,
Long Term Debt Issuance,0.0,0.0,23616000.0,5107000.0,
Investing Cash Flow,-486000.0,-8624000.0,-47240000.0,-14093000.0,
Net Intangibles Purchase And Sale,-427000.0,-1705000.0,-3701000.0,-1570000.0,
Purchase Of Intangibles,-427000.0,-1705000.0,-3701000.0,-1570000.0,
Net PPE Purchase And Sale,-59000.0,-6919000.0,-43539000.0,-12523000.0,
Purchase Of PPE,-59000.0,-6919000.0,-43539000.0,-12523000.0,
Operating Cash Flow,2503000.0,14718000.0,-73798000.0,-3685000.0,
Taxes Refund Paid,-4000.0,-55000.0,3464000.0,-497000.0,
Interest Received Cfo,1668000.0,1856000.0,0.0,0.0,
Interest Paid Cfo,-2760000.0,-3309000.0,-2129000.0,-1156000.0,
Change In Working Capital,10377000.0,33285000.0,-51426000.0,1455000.0,
Change In Other Current Liabilities,-8100000.0,-5904000.0,11617000.0,20029000.0,
Change In Payable,,,5593000.0,-4167000.0,-1973000.0
Change In Inventory,-5785000.0,35583000.0,-38493000.0,-3325000.0,
Change In Receivables,24262000.0,3606000.0,-24550000.0,-11082000.0,
Other Non Cash Items,119000.0,3000000.0,-2702000.0,518000.0,
Depreciation And Amortization,9664000.0,8484000.0,3781000.0,1982000.0,
Depreciation,9664000.0,8484000.0,3781000.0,1982000.0,
Net Income From Continuing Operations,-16561000.0,-28543000.0,-24788000.0,-5987000.0,
