,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-5528000.0,-26501000.0,-36403000.0,-45043000.0
Repayment Of Debt,0.0,-4000000.0,-2660000.0,0.0
Issuance Of Debt,0.0,0.0,6620000.0,0.0
Issuance Of Capital Stock,0.0,42239000.0,4500000.0,45169000.0
Capital Expenditure,-94000.0,-282000.0,-811000.0,-2402000.0
End Cash Position,5506000.0,13512000.0,5258000.0,34003000.0
Other Cash Adjustment Outside Changein Cash,11122000.0,,,-1000.0
Beginning Cash Position,191000.0,5258000.0,34003000.0,36073000.0
Changes In Cash,5315000.0,8254000.0,-28745000.0,-2069000.0
Financing Cash Flow,-280000.0,34755000.0,7657000.0,42973000.0
Net Other Financing Charges,,-1000.0,,
Net Common Stock Issuance,0.0,42239000.0,4500000.0,45169000.0
Common Stock Issuance,0.0,42239000.0,4500000.0,45169000.0
Net Issuance Payments Of Debt,0.0,-4000000.0,3960000.0,0.0
Net Long Term Debt Issuance,0.0,-4000000.0,3960000.0,0.0
Long Term Debt Payments,0.0,-4000000.0,-2660000.0,0.0
Long Term Debt Issuance,0.0,0.0,6620000.0,0.0
Investing Cash Flow,11029000.0,-282000.0,-810000.0,-2401000.0
Net Other Investing Changes,-1000.0,,1000.0,1000.0
Net Business Purchase And Sale,11124000.0,,,
Sale Of Business,11124000.0,,,
Net Intangibles Purchase And Sale,-94000.0,-282000.0,-759000.0,-1666000.0
Purchase Of Intangibles,-94000.0,-282000.0,-759000.0,-1666000.0
Net PPE Purchase And Sale,0.0,0.0,-52000.0,-736000.0
Purchase Of PPE,0.0,0.0,-52000.0,-736000.0
Operating Cash Flow,-5434000.0,-26219000.0,-35592000.0,-42641000.0
Interest Received Cfo,307000.0,529000.0,19000.0,0.0
Interest Paid Cfo,-2000.0,-61000.0,-228000.0,0.0
Change In Working Capital,-847000.0,-2388000.0,783000.0,-5836000.0
Change In Other Current Liabilities,-1145000.0,-2815000.0,-456000.0,-4330000.0
Change In Receivables,298000.0,427000.0,1239000.0,-1506000.0
Other Non Cash Items,-903000.0,,-34000.0,
Depreciation And Amortization,516000.0,475000.0,484000.0,464000.0
Amortization Cash Flow,,136000.0,148000.0,
Depreciation,516000.0,339000.0,336000.0,464000.0
Gain Loss On Sale Of PPE,,686000.0,0.0,
Net Income From Continuing Operations,-5890000.0,-40674000.0,-36617000.0,-37269000.0
