,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,218587000.0,228610000.0,203665000.0,194829000.0,
Repayment Of Debt,-34375000.0,-21667000.0,-43333000.0,-68872000.0,
Issuance Of Debt,32500000.0,,0.0,30000000.0,
Capital Expenditure,-37621000.0,-28071000.0,-53871000.0,-23170000.0,
End Cash Position,128631000.0,160616000.0,116893000.0,125512000.0,
Other Cash Adjustment Outside Changein Cash,-1000.0,1000.0,,-6591000.0,
Beginning Cash Position,160615000.0,116893000.0,125512000.0,119294000.0,
Changes In Cash,-31983000.0,43722000.0,-8619000.0,6218000.0,
Financing Cash Flow,-173643000.0,-185011000.0,-212285000.0,-191765000.0,
Net Other Financing Charges,,,,-15000000.0,100173000.0
Cash Dividends Paid,-86140000.0,-76568000.0,-76568000.0,-47855000.0,
Common Stock Dividend Paid,-86140000.0,-76568000.0,,,-35050000.0
Net Issuance Payments Of Debt,-1875000.0,-21667000.0,-43333000.0,-38872000.0,
Net Long Term Debt Issuance,-1875000.0,-21667000.0,-43333000.0,-38872000.0,
Long Term Debt Payments,-34375000.0,-21667000.0,-43333000.0,-68872000.0,
Long Term Debt Issuance,32500000.0,,0.0,30000000.0,
Investing Cash Flow,-114548000.0,-27948000.0,-53870000.0,-20016000.0,
Net Other Investing Changes,,1000.0,1000.0,,
Net Investment Purchase And Sale,,,0.0,3154000.0,
Sale Of Investment,,,,3154000.0,
Net Business Purchase And Sale,-76927000.0,,,,-194920000.0
Purchase Of Business,-76927000.0,,,,-194920000.0
Net Intangibles Purchase And Sale,-5330000.0,122000.0,-30527000.0,-8367000.0,
Sale Of Intangibles,,122000.0,,,
Purchase Of Intangibles,-5330000.0,,-30527000.0,-8367000.0,-5761000.0
Net PPE Purchase And Sale,-32291000.0,-28071000.0,-23344000.0,-14803000.0,
Purchase Of PPE,-32291000.0,-28071000.0,-23344000.0,-14803000.0,
Operating Cash Flow,256208000.0,256681000.0,257536000.0,217999000.0,
Taxes Refund Paid,-22664000.0,-11671000.0,-3615000.0,,
Change In Working Capital,1469000.0,6451000.0,29384000.0,16494000.0,
Change In Other Current Liabilities,4465000.0,-714000.0,-6090000.0,-4856000.0,
Change In Receivables,-2996000.0,7165000.0,35474000.0,21350000.0,
Other Non Cash Items,1782000.0,10773000.0,965000.0,-8768000.0,
Depreciation And Amortization,138434000.0,142784000.0,146441000.0,125608000.0,
Amortization Cash Flow,32077000.0,38457000.0,,,
Depreciation,106357000.0,104327000.0,146441000.0,125608000.0,
Net Income From Continuing Operations,137187000.0,108344000.0,84360000.0,84665000.0,
