,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5663000000.0,4899000000.0,3339000000.0,4195000000.0
Repayment Of Debt,-16268000000.0,-20796000000.0,-7947000000.0,-6989000000.0
Issuance Of Debt,13815000000.0,21181000000.0,31432000000.0,6514000000.0
Issuance Of Capital Stock,,0.0,9512000000.0,0.0
Capital Expenditure,-2305000000.0,-2563000000.0,-2276000000.0,-1785000000.0
End Cash Position,7427000000.0,7942000000.0,6323000000.0,4809000000.0
Beginning Cash Position,7942000000.0,6323000000.0,4809000000.0,4720000000.0
Effect Of Exchange Rate Changes,106000000.0,-154000000.0,144000000.0,-7000000.0
Changes In Cash,-621000000.0,1773000000.0,1370000000.0,96000000.0
Financing Cash Flow,-6111000000.0,-2965000000.0,30242000000.0,-2855000000.0
Cash Dividends Paid,-2177000000.0,-1977000000.0,-1604000000.0,-1460000000.0
Net Common Stock Issuance,,0.0,9512000000.0,0.0
Common Stock Issuance,,0.0,9512000000.0,0.0
Net Issuance Payments Of Debt,-2453000000.0,385000000.0,23485000000.0,-475000000.0
Net Short Term Debt Issuance,-1892000000.0,1893000000.0,-700000000.0,700000000.0
Short Term Debt Payments,-7108000000.0,-4442000000.0,-3265000000.0,-1950000000.0
Short Term Debt Issuance,5216000000.0,6335000000.0,2565000000.0,2650000000.0
Net Long Term Debt Issuance,-561000000.0,-1508000000.0,24185000000.0,-1175000000.0
Long Term Debt Payments,-9160000000.0,-16354000000.0,-4682000000.0,-5039000000.0
Long Term Debt Issuance,8599000000.0,14846000000.0,28867000000.0,3864000000.0
Investing Cash Flow,-2478000000.0,-2724000000.0,-34487000000.0,-3029000000.0
Net Business Purchase And Sale,-173000000.0,-161000000.0,-32211000000.0,-1244000000.0
Net PPE Purchase And Sale,-2305000000.0,-2563000000.0,-2276000000.0,-1785000000.0
Purchase Of PPE,-2305000000.0,-2563000000.0,-2276000000.0,-1785000000.0
Operating Cash Flow,7968000000.0,7462000000.0,5615000000.0,5980000000.0
Taxes Refund Paid,-2162000000.0,-1348000000.0,-1641000000.0,-1265000000.0
Interest Received Cfo,290000000.0,202000000.0,109000000.0,49000000.0
Interest Paid Cfo,-2678000000.0,-2242000000.0,-906000000.0,-480000000.0
Change In Working Capital,-1499000000.0,-1504000000.0,-1866000000.0,-282000000.0
Change In Other Current Assets,-843000000.0,5000000.0,77000000.0,-399000000.0
Change In Payable,181000000.0,1477000000.0,,
Change In Receivables,-837000000.0,-2986000000.0,-1943000000.0,117000000.0
Other Non Cash Items,370000000.0,3267000000.0,-99000000.0,269000000.0
Depreciation And Amortization,4362000000.0,4176000000.0,3534000000.0,2994000000.0
Amortization Cash Flow,1266000000.0,1147000000.0,,
Depreciation,3096000000.0,3029000000.0,3534000000.0,2994000000.0
Net Income From Continuing Operations,9296000000.0,4948000000.0,6484000000.0,4695000000.0
