,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-7586000.0,-29551.0,-42466797.0,-20741750.0
Repayment Of Debt,,-7885445.0,0.0,-14122987.0
Issuance Of Debt,,16644000.0,7999422.0,12490723.0
Issuance Of Capital Stock,0.0,0.0,0.0,30187485.0
Capital Expenditure,-2471000.0,-35591.0,-12587212.0,-6686748.0
End Cash Position,4028000.0,1046.0,3822479.0,8608136.0
Other Cash Adjustment Outside Changein Cash,30000.0,110.0,-23632297.0,-3.0
Beginning Cash Position,3822000.0,4028.0,8608136.0,2350744.0
Effect Of Exchange Rate Changes,-137000.0,-1454.0,202927.0,21927.0
Changes In Cash,313000.0,-1638.0,-4988584.0,6235465.0
Financing Cash Flow,7899000.0,32210.0,6130678.0,26977215.0
Net Other Financing Charges,-774000.0,,,
Net Common Stock Issuance,0.0,0.0,0.0,30187485.0
Common Stock Issuance,0.0,0.0,0.0,30187485.0
Net Issuance Payments Of Debt,8759000.0,32210.0,7999422.0,-1632264.0
Net Long Term Debt Issuance,8759000.0,32210.0,7999422.0,-1632264.0
Long Term Debt Payments,,-7885445.0,0.0,-14122987.0
Long Term Debt Issuance,,16644000.0,7999422.0,12490723.0
Investing Cash Flow,-2471000.0,-39888.0,18760323.0,-6686748.0
Net Other Investing Changes,,-4297.0,,
Net Investment Purchase And Sale,,,7715238.0,
Sale Of Investment,,,7715238.0,
Net Business Purchase And Sale,0.0,0.0,23632297.0,
Sale Of Business,,0.0,23632297.0,
Net Intangibles Purchase And Sale,-1168000.0,0.0,,-1255040.0
Purchase Of Intangibles,-1168000.0,0.0,,-1255040.0
Net PPE Purchase And Sale,-1303000.0,-35591.0,-12587212.0,-5431708.0
Purchase Of PPE,-1303000.0,-35591.0,-12587212.0,-5431708.0
Operating Cash Flow,-5115000.0,6040.0,-29879585.0,-14055002.0
Interest Received Cfo,,0.0,455962.0,0.0
Interest Paid Cfo,,-92080.0,-275030.0,-1178066.0
Change In Working Capital,-1366000.0,9841.0,-9076038.0,-28866.0
Change In Other Current Liabilities,-617000.0,13198.0,-9100551.0,2066477.0
Change In Receivables,-749000.0,-3357.0,24513.0,-2095343.0
Other Non Cash Items,4405000.0,79.0,-1960571.0,1961633.0
Stock Based Compensation,,495588.0,0.0,
Depreciation And Amortization,7067000.0,0.0,3145611.0,1961633.0
Amortization Cash Flow,,2226412.0,829017.0,80530.0
Depreciation,7067000.0,1775033.0,2316594.0,1881103.0
Net Income From Continuing Operations,-8155000.0,-3881.0,-22169520.0,-14809703.0
