,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-1483000.0,66229000.0,-22961000.0,-56610000.0,
Repayment Of Debt,-15500000.0,-25804000.0,-4336000.0,-13917000.0,
Issuance Of Debt,26179000.0,0.0,40000000.0,61402000.0,
Capital Expenditure,-44627000.0,-7233000.0,-24233000.0,-55945000.0,
End Cash Position,51271000.0,56463000.0,19599000.0,10305000.0,
Beginning Cash Position,56463000.0,19599000.0,10305000.0,48011000.0,
Effect Of Exchange Rate Changes,-1561000.0,-2341000.0,-2653000.0,9000.0,
Changes In Cash,-3631000.0,39205000.0,11947000.0,-37715000.0,
Financing Cash Flow,-2148000.0,-27612000.0,34908000.0,16265000.0,
Net Other Financing Charges,,-1000.0,-756000.0,,
Cash Dividends Paid,-11150000.0,,,-31220000.0,
Net Issuance Payments Of Debt,10679000.0,-25804000.0,35664000.0,47485000.0,
Net Long Term Debt Issuance,10679000.0,-25804000.0,35664000.0,47485000.0,
Long Term Debt Payments,-15500000.0,-25804000.0,-4336000.0,-13917000.0,
Long Term Debt Issuance,26179000.0,0.0,40000000.0,61402000.0,
Investing Cash Flow,-44627000.0,-6645000.0,-24233000.0,-53315000.0,
Net Investment Purchase And Sale,,588000.0,,,
Sale Of Investment,,588000.0,,,
Net PPE Purchase And Sale,-44627000.0,-7233000.0,-24233000.0,-53315000.0,
Sale Of PPE,,,0.0,2630000.0,4800000.0
Purchase Of PPE,-44627000.0,-7233000.0,-24233000.0,-55945000.0,
Operating Cash Flow,43144000.0,73462000.0,1272000.0,-665000.0,
Taxes Refund Paid,-5111000.0,-6648000.0,-2461000.0,2076000.0,
Interest Received Cfo,6468000.0,5104000.0,5149000.0,1146000.0,
Interest Paid Cfo,-8416000.0,-11636000.0,-6363000.0,-3586000.0,
Change In Working Capital,-6629000.0,22448000.0,-32062000.0,-23566000.0,
Change In Other Current Liabilities,-2525000.0,1826000.0,-10088000.0,23530000.0,
Change In Inventory,-4599000.0,-14245000.0,-13280000.0,-12519000.0,
Change In Receivables,495000.0,34867000.0,-8694000.0,-34577000.0,
Other Non Cash Items,,,,,769000.0
Depreciation And Amortization,29764000.0,29641000.0,32854000.0,29773000.0,
Depreciation,29764000.0,29641000.0,32854000.0,29773000.0,
Net Income From Continuing Operations,27068000.0,34553000.0,3399000.0,-6508000.0,
