,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,49584625.0,65908321.0,37959864.0,38525247.0,
Repayment Of Debt,0.0,-60000000.0,-25277774.0,-4444448.0,
Issuance Of Debt,0.0,60000000.0,0.0,20000000.0,
Issuance Of Capital Stock,0.0,100000000.0,42500.0,75500000.0,
Capital Expenditure,-2631186.0,-468496.0,-241978.0,-127734.0,
End Cash Position,107078402.0,116039025.0,141980863.0,140893898.0,
Beginning Cash Position,116039024.0,141980862.0,140893898.0,52181381.0,
Effect Of Exchange Rate Changes,-748886.0,-1172926.0,2352873.0,702163.0,
Changes In Cash,-8211736.0,-24768911.0,-1265908.0,88010354.0,
Financing Cash Flow,-31892143.0,85609464.0,-34020672.0,79171968.0,
Net Other Financing Charges,2000000.0,,,-7792619.0,
Interest Paid Cff,,,-25277774.0,-4444448.0,
Cash Dividends Paid,-33892143.0,-9390536.0,-992779.0,-11883584.0,
Common Stock Dividend Paid,-33892143.0,-9390536.0,-992779.0,-11883584.0,
Net Common Stock Issuance,0.0,100000000.0,42500.0,75500000.0,
Common Stock Issuance,0.0,100000000.0,42500.0,75500000.0,
Net Issuance Payments Of Debt,0.0,0.0,-25277774.0,20000000.0,
Net Short Term Debt Issuance,0.0,0.0,,,
Short Term Debt Payments,0.0,-60000000.0,,,
Short Term Debt Issuance,0.0,60000000.0,,,
Net Long Term Debt Issuance,,0.0,-25277774.0,20000000.0,9722222.0
Long Term Debt Payments,,-60000000.0,-25277774.0,-4444448.0,-277778.0
Long Term Debt Issuance,,60000000.0,0.0,20000000.0,10000000.0
Investing Cash Flow,-28535404.0,-176755192.0,-5447078.0,-29814595.0,
Net Other Investing Changes,,,,,-1000.0
Net Business Purchase And Sale,-25904218.0,-176286696.0,-5205100.0,-29686861.0,
Sale Of Business,,,0.0,152555.0,0.0
Purchase Of Business,-25904218.0,-176286696.0,-5205100.0,-29839416.0,
Net Intangibles Purchase And Sale,,,,,-20000.0
Purchase Of Intangibles,,,,,-20000.0
Net PPE Purchase And Sale,-2631186.0,-468496.0,-241978.0,-127734.0,
Purchase Of PPE,-2631186.0,-468496.0,-241978.0,-127734.0,
Operating Cash Flow,52215811.0,66376817.0,38201842.0,38652981.0,
Taxes Refund Paid,-10082650.0,-9875406.0,-8737814.0,-6384787.0,
Interest Received Cfo,1325019.0,,,,
Interest Paid Cfo,1325019.0,-903805.0,-477516.0,-478898.0,
Change In Working Capital,9683758.0,2383903.0,7092583.0,10629215.0,
Change In Other Current Liabilities,7348424.0,-1804143.0,45658301.0,30203344.0,
Change In Payable,-2671516.0,1802872.0,-1275811.0,-3806924.0,
Change In Receivables,5006850.0,2385174.0,-37289907.0,-15767205.0,
Depreciation And Amortization,70278477.0,67759876.0,15681178.0,8249506.0,
Depreciation,70278477.0,67759876.0,15681178.0,8249506.0,
Net Income From Continuing Operations,-18988793.0,7012248.0,24643410.0,26637944.0,
