,2024-12-31,2023-12-31,2021-12-31,2020-12-31
Free Cash Flow,-34680840.0,8312000.0,3405000.0,9463000.0
Repayment Of Debt,-12257094.0,-3829000.0,-2327000.0,-27825000.0
Issuance Of Debt,0.0,3795000.0,2799000.0,10281000.0
Capital Expenditure,-14299529.0,-15584000.0,-9202000.0,-8237000.0
End Cash Position,6373126.0,10609000.0,8561000.0,11504000.0
Other Cash Adjustment Outside Changein Cash,,,,-14000.0
Beginning Cash Position,10609000.0,9038000.0,11504000.0,10295000.0
Effect Of Exchange Rate Changes,,,0.0,-174000.0
Changes In Cash,-4236782.0,1571000.0,-2943000.0,1397000.0
Other Cash Adjustment Inside Changein Cash,,,0.0,-5738000.0
Financing Cash Flow,30444058.0,8049000.0,-6322000.0,-25178000.0
Net Other Financing Charges,45828000.0,10332000.0,,
Interest Paid Cff,-596622.0,-1053000.0,-3801000.0,-4479000.0
Net Issuance Payments Of Debt,-12257094.0,-34000.0,472000.0,-17544000.0
Net Long Term Debt Issuance,-12257094.0,-34000.0,472000.0,-17544000.0
Long Term Debt Payments,-12257094.0,-3829000.0,-2327000.0,-27825000.0
Long Term Debt Issuance,0.0,3795000.0,2799000.0,10281000.0
Investing Cash Flow,-14299529.0,-30374000.0,-9228000.0,14613000.0
Net Business Purchase And Sale,0.0,-14790000.0,-26000.0,22850000.0
Sale Of Business,,,,22850000.0
Purchase Of Business,0.0,-14790000.0,-26000.0,
Net Intangibles Purchase And Sale,-13497000.0,-14803000.0,-8625000.0,-6564000.0
Purchase Of Intangibles,-13497000.0,-14803000.0,-8625000.0,-6564000.0
Net PPE Purchase And Sale,-802529.0,-781000.0,-577000.0,-1673000.0
Purchase Of PPE,-802529.0,-781000.0,-577000.0,-1673000.0
Operating Cash Flow,-20381311.0,23896000.0,12607000.0,17700000.0
Taxes Refund Paid,-79000.0,-272000.0,,
Change In Working Capital,-13725691.0,3884000.0,-3089000.0,15461000.0
Change In Other Current Assets,,,282000.0,-135000.0
Change In Payable,-8955114.0,11044000.0,-9632000.0,-1523000.0
Change In Receivables,-4770577.0,-7160000.0,6261000.0,17119000.0
Stock Based Compensation,1274363.0,883000.0,645000.0,-357000.0
Provisionand Write Offof Assets,374773.0,3079000.0,,
Deferred Tax,,,520000.0,0.0
Depreciation And Amortization,21232538.0,15688000.0,14593000.0,19404000.0
Amortization Cash Flow,,,10341000.0,14314000.0
Depreciation,16126777.0,15688000.0,4252000.0,5090000.0
Net Income From Continuing Operations,-79676402.0,634000.0,-62000.0,-17684000.0
