,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-180641000.0,-79209000.0,-47727000.0,-35005000.0,
Repayment Of Debt,-19213000.0,-2616000.0,-3427000.0,-5226000.0,
Issuance Of Debt,334663000.0,104126000.0,0.0,,
Issuance Of Capital Stock,57607000.0,14000.0,35782000.0,86521000.0,
Capital Expenditure,-139520000.0,-75843000.0,-37329000.0,-19996000.0,
End Cash Position,81136000.0,34490000.0,12712000.0,28084000.0,
Other Cash Adjustment Outside Changein Cash,,1000.0,-1000.0,,
Beginning Cash Position,34489000.0,12712000.0,28084000.0,429000.0,
Effect Of Exchange Rate Changes,3240000.0,0.0,,,
Changes In Cash,43407000.0,21777000.0,-15372000.0,27655000.0,
Financing Cash Flow,372629000.0,100876000.0,32355000.0,64361000.0,
Net Common Stock Issuance,57607000.0,14000.0,35782000.0,86521000.0,
Common Stock Issuance,57607000.0,14000.0,35782000.0,86521000.0,
Net Issuance Payments Of Debt,315450000.0,101510000.0,-3427000.0,-5226000.0,
Net Long Term Debt Issuance,315450000.0,101510000.0,-3427000.0,-5226000.0,
Long Term Debt Payments,-19213000.0,-2616000.0,-3427000.0,-5226000.0,
Long Term Debt Issuance,334663000.0,104126000.0,0.0,,
Investing Cash Flow,-288101000.0,-75733000.0,-37329000.0,-21697000.0,
Net Other Investing Changes,,110000.0,,-1701000.0,-1326000.0
Net Business Purchase And Sale,-148581000.0,0.0,,,
Purchase Of Business,-148581000.0,0.0,,,
Net Intangibles Purchase And Sale,-96551000.0,-43384000.0,-36625000.0,-18998000.0,
Purchase Of Intangibles,-96551000.0,-43384000.0,-36625000.0,-18998000.0,
Net PPE Purchase And Sale,-42969000.0,-32459000.0,-704000.0,-998000.0,
Purchase Of PPE,-42969000.0,-32459000.0,-704000.0,-998000.0,
Operating Cash Flow,-41121000.0,-3366000.0,-10398000.0,-15009000.0,
Taxes Refund Paid,-59000.0,-98000.0,-98000.0,-417000.0,
Interest Received Cfo,131000.0,86000.0,1000.0,0.0,
Interest Paid Cfo,-1422000.0,-8908000.0,-387000.0,-417000.0,
Change In Working Capital,8350000.0,17973000.0,1580000.0,-5886000.0,
Change In Other Current Liabilities,745000.0,32189000.0,2380000.0,-2062000.0,
Change In Inventory,387000.0,272000.0,-1360000.0,-510000.0,
Change In Receivables,7218000.0,-14488000.0,560000.0,-3314000.0,
Other Non Cash Items,,5314000.0,,,
Depreciation And Amortization,18138000.0,1421000.0,,,
Depreciation,18138000.0,1421000.0,,,
Net Foreign Currency Exchange Gain Loss,11961000.0,1420000.0,,,
Net Income From Continuing Operations,-78220000.0,-20574000.0,-11684000.0,-10789000.0,
