,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,295192000.0,234356000.0,17922000.0,143818000.0
Repayment Of Debt,,,-18340000.0,-15263000.0
Issuance Of Capital Stock,55678000.0,4459000.0,4461000.0,8387000.0
Capital Expenditure,-13918000.0,-11784000.0,-24935000.0,-9674000.0
End Cash Position,463050000.0,321236000.0,161880000.0,235732000.0
Beginning Cash Position,321236000.0,161880000.0,235732000.0,143218000.0
Effect Of Exchange Rate Changes,321236000.0,161880000.0,,
Changes In Cash,141814000.0,159356000.0,-73852000.0,92514000.0
Financing Cash Flow,-68626000.0,-74866000.0,-81284000.0,-48996000.0
Cash Dividends Paid,-102923000.0,-59256000.0,-67405000.0,-42120000.0
Common Stock Dividend Paid,-102923000.0,-59256000.0,-67405000.0,-42120000.0
Net Common Stock Issuance,55678000.0,4459000.0,4461000.0,8387000.0
Common Stock Issuance,55678000.0,4459000.0,4461000.0,8387000.0
Net Issuance Payments Of Debt,,,-18340000.0,-15263000.0
Net Long Term Debt Issuance,,,-18340000.0,-15263000.0
Long Term Debt Payments,,,-18340000.0,-15263000.0
Investing Cash Flow,-98670000.0,-11918000.0,-35425000.0,-11982000.0
Net Other Investing Changes,-23185000.0,,,
Net Investment Purchase And Sale,-33259000.0,-134000.0,-166000.0,-2308000.0
Purchase Of Investment,-33259000.0,-134000.0,-166000.0,-2308000.0
Net Business Purchase And Sale,-28308000.0,0.0,-10324000.0,
Purchase Of Business,-28308000.0,0.0,-10324000.0,
Net Intangibles Purchase And Sale,-9823000.0,-10436000.0,-16835000.0,-5836000.0
Purchase Of Intangibles,-9823000.0,-10436000.0,-16835000.0,-5836000.0
Net PPE Purchase And Sale,-4095000.0,-1348000.0,-8100000.0,-3838000.0
Purchase Of PPE,-4095000.0,-1348000.0,-8100000.0,-3838000.0
Operating Cash Flow,309110000.0,246140000.0,42857000.0,153492000.0
Taxes Refund Paid,-54929000.0,-23570000.0,-30039000.0,-20521000.0
Interest Received Cfo,6100000.0,3123000.0,364000.0,383000.0
Interest Paid Cfo,-3611000.0,-309000.0,-100000.0,-1432000.0
Change In Working Capital,99103000.0,7913000.0,-41593000.0,43235000.0
Change In Other Current Liabilities,235555000.0,39983000.0,2010000.0,64692000.0
Change In Inventory,-116213000.0,-10209000.0,-26111000.0,-31709000.0
Change In Receivables,-20239000.0,-21861000.0,-17492000.0,10252000.0
Other Non Cash Items,-556000.0,11266000.0,,
Depreciation And Amortization,30774000.0,31798000.0,25074000.0,21602000.0
Depreciation,30774000.0,31798000.0,25074000.0,21602000.0
Net Foreign Currency Exchange Gain Loss,12329000.0,7086000.0,2165000.0,-5743000.0
Net Income From Continuing Operations,219900000.0,208833000.0,86986000.0,115968000.0
