,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-25276000.0,-34025000.0,-30566000.0,-15821000.0,
Repayment Of Debt,,-726000.0,-3261000.0,-2443000.0,0.0
Issuance Of Debt,,15650000.0,1403000.0,0.0,0.0
Issuance Of Capital Stock,,18802000.0,35834000.0,16150000.0,0.0
Capital Expenditure,,-6198000.0,-1261000.0,-1839000.0,-2257000.0
End Cash Position,,2258000.0,6722000.0,4759000.0,7548000.0
Other Cash Adjustment Outside Changein Cash,,1000.0,,,
Beginning Cash Position,,6722000.0,4759000.0,7548000.0,21435000.0
Effect Of Exchange Rate Changes,,139000.0,426000.0,82000.0,-275000.0
Changes In Cash,11253000.0,-4604000.0,1537000.0,-2871000.0,
Financing Cash Flow,39803000.0,29451000.0,32113000.0,12951000.0,
Net Common Stock Issuance,,18802000.0,35834000.0,16150000.0,0.0
Common Stock Issuance,,18802000.0,35834000.0,16150000.0,0.0
Net Issuance Payments Of Debt,,14924000.0,-1858000.0,-2443000.0,0.0
Net Long Term Debt Issuance,,14924000.0,-1858000.0,-2443000.0,0.0
Long Term Debt Payments,,-726000.0,-3261000.0,-2443000.0,0.0
Long Term Debt Issuance,,15650000.0,1403000.0,0.0,0.0
Investing Cash Flow,-3274000.0,-6228000.0,-1271000.0,-1840000.0,
Net Other Investing Changes,,-1000.0,-1000.0,,
Net Investment Purchase And Sale,,-29000.0,-9000.0,26000.0,30000.0
Sale Of Investment,,,,26000.0,30000.0
Purchase Of Investment,,-29000.0,-9000.0,,
Net Business Purchase And Sale,,0.0,0.0,-27000.0,0.0
Purchase Of Business,,0.0,0.0,-27000.0,0.0
Net Intangibles Purchase And Sale,,-1271000.0,-1239000.0,-1818000.0,-2212000.0
Purchase Of Intangibles,,-1271000.0,-1239000.0,-1818000.0,-2212000.0
Net PPE Purchase And Sale,,-4927000.0,-22000.0,-21000.0,-45000.0
Purchase Of PPE,,-4927000.0,-22000.0,-21000.0,-45000.0
Operating Cash Flow,-25276000.0,-27827000.0,-29305000.0,-13982000.0,
Taxes Refund Paid,,0.0,352000.0,1467000.0,7579000.0
Interest Received Cfo,,200000.0,1321000.0,2702000.0,1249000.0
Interest Paid Cfo,,-5190000.0,-3931000.0,-2159000.0,-1357000.0
Change In Working Capital,,-4896000.0,806000.0,3080000.0,-1000000.0
Change In Payable,,-2148000.0,2564000.0,3064000.0,2172000.0
Change In Receivables,,-2748000.0,-1758000.0,16000.0,-3172000.0
Stock Based Compensation,,192000.0,333000.0,618000.0,0.0
Depreciation And Amortization,,10057000.0,9134000.0,8750000.0,7641000.0
Depreciation,,10057000.0,9134000.0,8750000.0,7641000.0
Net Income From Continuing Operations,,-28190000.0,-37320000.0,-28440000.0,-24814000.0
