,2024-12-31,2023-12-31
Free Cash Flow,10200000.0,8200000.0
Changes In Cash,4600000.0,8200000.0
Financing Cash Flow,-5600000.0,0.0
Investing Cash Flow,0.0,0.0
Operating Cash Flow,10200000.0,8200000.0
Change In Working Capital,-1800000.0,-1000000.0
Net Income From Continuing Operations,12000000.0,9100000.0
