,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-6093000.0,-10759000.0,-2197000.0,273000.0,
Repayment Of Debt,-2275000.0,-1050000.0,-540000.0,-830000.0,
Issuance Of Debt,0.0,7000000.0,0.0,,
Issuance Of Capital Stock,20984000.0,9150000.0,0.0,4152000.0,
Capital Expenditure,-10702000.0,-16731000.0,-9496000.0,-4335000.0,
End Cash Position,21863000.0,9852000.0,5742000.0,8479000.0,
Other Cash Adjustment Outside Changein Cash,-1000.0,1000.0,,-1000.0,
Beginning Cash Position,9852000.0,5742000.0,8479000.0,4939000.0,
Changes In Cash,12011000.0,4110000.0,-2737000.0,3541000.0,
Financing Cash Flow,18105000.0,14868000.0,-540000.0,3268000.0,
Net Other Financing Charges,1000.0,,,27200.0,-157360.0
Net Common Stock Issuance,20984000.0,9150000.0,0.0,4152000.0,
Common Stock Issuance,20984000.0,9150000.0,0.0,4152000.0,
Net Issuance Payments Of Debt,-2275000.0,5950000.0,-540000.0,-830000.0,
Net Long Term Debt Issuance,-2275000.0,5950000.0,-540000.0,-830000.0,
Long Term Debt Payments,-2275000.0,-1050000.0,-540000.0,-830000.0,
Long Term Debt Issuance,0.0,7000000.0,0.0,,
Investing Cash Flow,-10703000.0,-16730000.0,-9496000.0,-4335000.0,
Net Other Investing Changes,-1000.0,1000.0,,,
Net Intangibles Purchase And Sale,-10214000.0,-15039000.0,-7837000.0,-2783000.0,
Purchase Of Intangibles,-10214000.0,-15039000.0,-7837000.0,-2783000.0,
Net PPE Purchase And Sale,-488000.0,-1692000.0,-1659000.0,-1552000.0,
Purchase Of PPE,-488000.0,-1692000.0,-1659000.0,-1552000.0,
Operating Cash Flow,4609000.0,5972000.0,7299000.0,4608000.0,
Taxes Refund Paid,-60000.0,-237000.0,,,
Interest Received Cfo,334000.0,116000.0,5000.0,0.0,
Interest Paid Cfo,-433000.0,-408000.0,-10000.0,-47000.0,
Change In Working Capital,-822000.0,2025000.0,392000.0,1812000.0,
Change In Other Current Liabilities,-1357000.0,3118000.0,-216000.0,2503000.0,
Change In Receivables,535000.0,-1093000.0,608000.0,-691000.0,
Other Non Cash Items,80000.0,-80000.0,49000.0,,
Stock Based Compensation,444000.0,184000.0,49000.0,,
Depreciation And Amortization,4192000.0,3868000.0,3913000.0,,
Depreciation,4192000.0,3868000.0,3913000.0,,
Net Income From Continuing Operations,874000.0,504000.0,2900000.0,-1106000.0,
