,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,45800000.0,152466000.0,107100000.0
Repayment Of Debt,-27599000.0,-21712000.0,-50866000.0
Issuance Of Debt,141080000.0,1620000.0,20051000.0
Issuance Of Capital Stock,0.0,54310000.0,21300000.0
Capital Expenditure,-111507000.0,-110239000.0,-105855000.0
End Cash Position,50820000.0,14498000.0,32847000.0
Beginning Cash Position,14498000.0,32847000.0,20111000.0
Effect Of Exchange Rate Changes,-378000.0,-329000.0,1641000.0
Changes In Cash,36700000.0,-18020000.0,11095000.0
Financing Cash Flow,93936000.0,-130164000.0,-96369000.0
Net Other Financing Charges,38018000.0,-76253000.0,-31404000.0
Cash Dividends Paid,-10241000.0,-50000000.0,-40000000.0
Common Stock Dividend Paid,0.0,-50000000.0,-40000000.0
Net Common Stock Issuance,0.0,54310000.0,21300000.0
Common Stock Issuance,0.0,54310000.0,21300000.0
Net Issuance Payments Of Debt,113481000.0,-20092000.0,-30815000.0
Net Long Term Debt Issuance,113481000.0,-20092000.0,-30815000.0
Long Term Debt Payments,-27599000.0,-21712000.0,-50866000.0
Long Term Debt Issuance,141080000.0,1620000.0,20051000.0
Investing Cash Flow,-214543000.0,-150561000.0,-105491000.0
Net Investment Purchase And Sale,-162000.0,79000.0,-107000.0
Sale Of Investment,,79000.0,
Purchase Of Investment,-162000.0,,-107000.0
Net Business Purchase And Sale,-102874000.0,-78905000.0,0.0
Purchase Of Business,-102874000.0,-78905000.0,0.0
Net Intangibles Purchase And Sale,-3101000.0,-1391000.0,-2703000.0
Purchase Of Intangibles,-3101000.0,-1391000.0,-2703000.0
Net PPE Purchase And Sale,-108406000.0,-70344000.0,-102681000.0
Sale Of PPE,0.0,38504000.0,471000.0
Purchase Of PPE,-108406000.0,-108848000.0,-103152000.0
Operating Cash Flow,157307000.0,262705000.0,212955000.0
Taxes Refund Paid,-81258000.0,-10774000.0,-19484000.0
Interest Received Cfo,33776000.0,42332000.0,32449000.0
Interest Paid Cfo,-79833000.0,-74539000.0,-57563000.0
Change In Working Capital,-75164000.0,-71265000.0,20233000.0
Change In Payable,-27381000.0,90215000.0,13752000.0
Change In Inventory,-24257000.0,32734000.0,-27827000.0
Change In Receivables,-23526000.0,-194214000.0,34308000.0
Provisionand Write Offof Assets,617000.0,55332000.0,-1407000.0
Depreciation And Amortization,160509000.0,136591000.0,122108000.0
Depreciation,160509000.0,136591000.0,122108000.0
Net Foreign Currency Exchange Gain Loss,-122000.0,-6601000.0,-15167000.0
Gain Loss On Sale Of PPE,0.0,-5043000.0,-460000.0
Net Income From Continuing Operations,198782000.0,196672000.0,132246000.0
