,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-30346000.0,-96807000.0,-98661000.0,-55731000.0,
Repayment Of Debt,,-816000.0,-1252000.0,-3168000.0,-3168000.0
Issuance Of Debt,,0.0,6500000.0,0.0,
Issuance Of Capital Stock,0.0,300000000.0,0.0,151536000.0,
Capital Expenditure,-84587000.0,-39005000.0,-32925000.0,-14432000.0,
End Cash Position,75306000.0,214896000.0,29979000.0,123245000.0,
Other Cash Adjustment Outside Changein Cash,,,,1000.0,
Beginning Cash Position,214896000.0,29979000.0,123245000.0,39576000.0,
Changes In Cash,-139590000.0,184917000.0,-93266000.0,83668000.0,
Financing Cash Flow,-816000.0,281725000.0,5248000.0,139399000.0,
Net Common Stock Issuance,0.0,300000000.0,0.0,151536000.0,
Common Stock Issuance,0.0,300000000.0,0.0,151536000.0,
Net Issuance Payments Of Debt,-816000.0,-816000.0,5248000.0,-3168000.0,
Net Long Term Debt Issuance,-816000.0,-816000.0,5248000.0,-3168000.0,
Long Term Debt Payments,,-816000.0,-1252000.0,-3168000.0,-3168000.0
Long Term Debt Issuance,,0.0,6500000.0,0.0,
Investing Cash Flow,-193015000.0,-39006000.0,-32778000.0,-14432000.0,
Net Other Investing Changes,-1000.0,-1000.0,147000.0,,-1000.0
Net Investment Purchase And Sale,-108427000.0,0.0,,,
Purchase Of Investment,-108427000.0,0.0,,,
Net Intangibles Purchase And Sale,-73260000.0,-31451000.0,-18413000.0,-8095000.0,
Purchase Of Intangibles,-73260000.0,-31451000.0,-18413000.0,-8095000.0,
Net PPE Purchase And Sale,-11327000.0,-7554000.0,-14512000.0,-6337000.0,
Purchase Of PPE,-11327000.0,-7554000.0,-14512000.0,-6337000.0,
Operating Cash Flow,54241000.0,-57802000.0,-65736000.0,-41299000.0,
Interest Received Cfo,5203000.0,5477000.0,407000.0,163000.0,
Interest Paid Cfo,-1519000.0,-4192000.0,-212000.0,-298000.0,
Change In Working Capital,-15627000.0,19059000.0,3820000.0,2289000.0,
Change In Other Current Liabilities,3214000.0,20342000.0,2361000.0,1709000.0,
Change In Payable,7469000.0,808000.0,3789000.0,2326000.0,
Change In Inventory,-1202000.0,-24000.0,207000.0,-508000.0,
Change In Receivables,-25108000.0,-2067000.0,-2537000.0,-1238000.0,
Depreciation And Amortization,,15463000.0,14031000.0,13446000.0,12822000.0
Depreciation,,15463000.0,14031000.0,13446000.0,12822000.0
Net Income From Continuing Operations,49933000.0,-93608000.0,-83783000.0,-56900000.0,
