,2023-12-31,2022-12-31
Free Cash Flow,-50019815.132148,-496280048.547057
Repayment Of Debt,0.0,-90472512.447963
Issuance Of Debt,0.0,43639682.4749
Capital Expenditure,-21404074.675529,-22017816.382336
End Cash Position,395729719.084795,396592112.419394
Beginning Cash Position,366138207.525761,427619926.659048
Changes In Cash,29591511.559034,-31027814.239654
Financing Cash Flow,-87006747.956816,-131907858.766631
Interest Paid Cff,-13372879.086368,-13235596.379887
Cash Dividends Paid,-68964317.733816,-67601061.301118
Common Stock Dividend Paid,-68964317.733816,-67601061.301118
Net Issuance Payments Of Debt,0.0,-46832829.973063
Net Long Term Debt Issuance,0.0,-46832829.973063
Long Term Debt Payments,0.0,-90472512.447963
Long Term Debt Issuance,0.0,43639682.4749
Investing Cash Flow,145213999.972469,575142276.691699
Net Other Investing Changes,-982.64965,57476654.966941
Net Investment Purchase And Sale,166619057.297648,539683438.107093
Sale Of Investment,718908449.213404,1318968956.268876
Purchase Of Investment,-552289391.915756,-779285518.161783
Net Intangibles Purchase And Sale,-21172169.358137,-21548423.700106
Purchase Of Intangibles,-21172169.358137,-21548423.700106
Net PPE Purchase And Sale,-231905.317392,-469392.68223
Purchase Of PPE,-231905.317392,-469392.68223
Operating Cash Flow,-28615740.456619,-474262232.164721
Change In Working Capital,-213987683.674192,-625154417.190433
Change In Accrued Expense,-5596189.756548,-71812822.851196
Depreciation And Amortization,14529457.724377,11530455.615868
Depreciation,14529457.724377,11530455.615868
Net Foreign Currency Exchange Gain Loss,33192922.526154,-58995528.793568
Net Income From Continuing Operations,137650545.616692,198357258.203412
