,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-3822380.0,-3934274.0,-14725931.0,-5114397.0,
Repayment Of Debt,-9472404.0,-3627594.0,-5251227.0,-5049443.0,
Issuance Of Debt,2947500.0,12318755.0,15467072.0,986869.0,
Issuance Of Capital Stock,8518266.0,21223111.0,34509382.0,18783775.0,
Capital Expenditure,-4699904.0,-7280924.0,-4803200.0,-2719993.0,
End Cash Position,298692.0,2923816.0,3642158.0,303092.0,
Beginning Cash Position,2923816.0,3642158.0,303092.0,24441.0,
Effect Of Exchange Rate Changes,0.0,-412.0,1038.0,220.0,
Changes In Cash,-2625124.0,-717930.0,3338028.0,278431.0,
Financing Cash Flow,1993362.0,29914272.0,41569849.0,20009056.0,
Net Common Stock Issuance,8518266.0,21223111.0,34509382.0,18783775.0,
Common Stock Issuance,8518266.0,21223111.0,34509382.0,18783775.0,
Net Issuance Payments Of Debt,-6524904.0,8691161.0,7060467.0,1225281.0,
Net Short Term Debt Issuance,,0.0,-3155378.0,5287855.0,
Net Long Term Debt Issuance,-6524904.0,8691161.0,10215845.0,-4062574.0,
Long Term Debt Payments,-9472404.0,-3627594.0,-5251227.0,-5049443.0,
Long Term Debt Issuance,2947500.0,12318755.0,15467072.0,986869.0,
Investing Cash Flow,-5496010.0,-33978852.0,-28309090.0,-17336221.0,
Net Investment Purchase And Sale,-1578693.0,-116133.0,0.0,3957.0,
Sale Of Investment,,,0.0,3957.0,11952.0
Purchase Of Investment,-1578693.0,-116133.0,0.0,,-839944.0
Net Business Purchase And Sale,0.0,-26808519.0,-23824852.0,-14620185.0,
Purchase Of Business,0.0,-26808519.0,-23824852.0,-14620185.0,
Net Intangibles Purchase And Sale,-1238633.0,-6284725.0,-3956178.0,-2455059.0,
Purchase Of Intangibles,-1238633.0,-6284725.0,-3956178.0,-2455059.0,
Net PPE Purchase And Sale,-2678684.0,-769475.0,-528060.0,-264934.0,
Sale Of PPE,782587.0,226724.0,318962.0,0.0,
Purchase Of PPE,-3461271.0,-996199.0,-847022.0,-264934.0,
Operating Cash Flow,877524.0,3346650.0,-9922731.0,-2394404.0,
Taxes Refund Paid,-2185284.0,-2841342.0,888728.0,-716800.0,
Change In Working Capital,14657595.0,19571789.0,5294977.0,6455157.0,
Change In Other Current Liabilities,12628480.0,18074429.0,8478111.0,4950354.0,
Change In Payable,3744111.0,-3636071.0,-907191.0,1679005.0,
Change In Inventory,-5667099.0,-2569408.0,-4482456.0,-2617181.0,
Change In Receivables,3952103.0,7702839.0,2206513.0,2442979.0,
Other Non Cash Items,1.0,1.0,,,
Provisionand Write Offof Assets,-5213000.0,,,,
Depreciation And Amortization,13564182.0,19536104.0,6182938.0,,
Depreciation,13564182.0,19536104.0,6182938.0,,
Net Foreign Currency Exchange Gain Loss,118218.0,119608.0,,,
Gain Loss On Sale Of Business,38447548.0,,,,
Net Income From Continuing Operations,-59698203.0,-41747883.0,-22049978.0,-12749878.0,
