,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-27830000.0,-25021000.0,-32534000.0,16701000.0,
Issuance Of Capital Stock,,0.0,254911000.0,0.0,
End Cash Position,42010000.0,85272000.0,131078000.0,42398000.0,
Beginning Cash Position,85272000.0,131078000.0,42398000.0,75869000.0,
Changes In Cash,-43262000.0,-45806000.0,88680000.0,-33471000.0,
Financing Cash Flow,-1063000.0,-803000.0,235022000.0,-714000.0,
Net Common Stock Issuance,,0.0,254911000.0,0.0,
Common Stock Issuance,,0.0,254911000.0,0.0,
Investing Cash Flow,-14369000.0,-19982000.0,-113808000.0,-49458000.0,
Net Other Investing Changes,887000.0,18271000.0,5358000.0,-3121000.0,
Net Investment Purchase And Sale,0.0,60336000.0,-10000000.0,-50005000.0,
Sale Of Investment,0.0,60336000.0,0.0,,0.0
Purchase Of Investment,,0.0,-10000000.0,-50005000.0,0.0
Net Business Purchase And Sale,-15256000.0,-98589000.0,-109166000.0,3668000.0,
Sale Of Business,41497000.0,0.0,0.0,56427000.0,
Purchase Of Business,-56753000.0,-98589000.0,-109166000.0,-52759000.0,
Operating Cash Flow,-27830000.0,-25021000.0,-32534000.0,16701000.0,
Interest Paid Cfo,,,,,0.0
Change In Working Capital,1393000.0,-999000.0,-1245000.0,44623000.0,
Change In Other Current Liabilities,2677000.0,-895000.0,-1661000.0,46084000.0,
Change In Receivables,-1284000.0,-104000.0,416000.0,-1461000.0,
Other Non Cash Items,-21062000.0,-21315000.0,55442000.0,-189312000.0,
Depreciation And Amortization,997000.0,798000.0,690000.0,690000.0,
Depreciation,997000.0,798000.0,690000.0,690000.0,
Gain Loss On Investment Securities,,,55648000.0,-189312000.0,172301000.0
Net Income From Continuing Operations,-9158000.0,-3505000.0,-87421000.0,160700000.0,
