,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,802000000.0,1271000000.0,1045000000.0,-479000000.0,
Repayment Of Debt,-19283000000.0,-14168000000.0,-13601000000.0,-8088000000.0,
Issuance Of Debt,20760000000.0,12944000000.0,12811000000.0,8196000000.0,
Issuance Of Capital Stock,2000000000.0,0.0,,,
Capital Expenditure,-1024000000.0,-922000000.0,-1332000000.0,-909000000.0,
End Cash Position,1286000000.0,769000000.0,1630000000.0,1593000000.0,
Other Cash Adjustment Outside Changein Cash,,-1000000.0,,,
Beginning Cash Position,769000000.0,1630000000.0,1593000000.0,2622000000.0,
Effect Of Exchange Rate Changes,115000000.0,129000000.0,103000000.0,-31000000.0,
Changes In Cash,402000000.0,-989000000.0,-66000000.0,-998000000.0,
Financing Cash Flow,2697000000.0,-1701000000.0,-806000000.0,93000000.0,
Cash Dividends Paid,-735000000.0,-460000000.0,,,
Common Stock Dividend Paid,-735000000.0,-460000000.0,0.0,,
Net Common Stock Issuance,2000000000.0,0.0,,,
Common Stock Issuance,2000000000.0,0.0,,,
Net Issuance Payments Of Debt,1477000000.0,-1224000000.0,-790000000.0,108000000.0,
Net Long Term Debt Issuance,1477000000.0,-1224000000.0,-790000000.0,108000000.0,
Long Term Debt Payments,-19283000000.0,-14168000000.0,-13601000000.0,-8088000000.0,
Long Term Debt Issuance,20760000000.0,12944000000.0,12811000000.0,8196000000.0,
Investing Cash Flow,-4121000000.0,-1481000000.0,-1637000000.0,-1521000000.0,
Net Investment Purchase And Sale,-15000000.0,12000000.0,3000000.0,-49000000.0,
Sale Of Investment,,12000000.0,3000000.0,,
Purchase Of Investment,-15000000.0,,,-49000000.0,-2000000.0
Net Investment Properties Purchase And Sale,-3082000000.0,-571000000.0,-432000000.0,-563000000.0,
Sale Of Investment Properties,680000000.0,894000000.0,,,
Purchase Of Investment Properties,-3762000000.0,-1465000000.0,-432000000.0,-563000000.0,
Net PPE Purchase And Sale,-1024000000.0,-922000000.0,-1208000000.0,-909000000.0,
Sale Of PPE,,894000000.0,124000000.0,0.0,
Purchase Of PPE,-1024000000.0,-922000000.0,-1332000000.0,-909000000.0,
Operating Cash Flow,1826000000.0,2193000000.0,2377000000.0,430000000.0,
Taxes Refund Paid,-280000000.0,-178000000.0,-86000000.0,-60000000.0,
Change In Working Capital,-39000000.0,230000000.0,132000000.0,-386000000.0,
Change In Other Current Liabilities,4000000.0,93000000.0,146000000.0,-8000000.0,
Change In Other Current Assets,-43000000.0,137000000.0,,,
Change In Receivables,,137000000.0,-14000000.0,-378000000.0,-36000000.0
Other Non Cash Items,-127000000.0,40000000.0,69000000.0,63000000.0,
Provisionand Write Offof Assets,,-2000000.0,-18000000.0,-76000000.0,34000000.0
Depreciation And Amortization,287000000.0,286000000.0,334000000.0,280000000.0,
Depreciation,287000000.0,286000000.0,334000000.0,280000000.0,
Gain Loss On Investment Securities,-374000000.0,2312000000.0,-3499000000.0,-353000000.0,
Net Foreign Currency Exchange Gain Loss,,-162000000.0,94000000.0,66000000.0,-84000000.0
Net Income From Continuing Operations,2359000000.0,-497000000.0,5351000000.0,886000000.0,
