,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,-4474625.0,-8398441.0,-17693748.0,-9335115.0
Repayment Of Debt,-1012806.0,-1734208.0,-1868227.0,-463320.0
Issuance Of Debt,40960.0,11000000.0,0.0,3689174.0
Issuance Of Capital Stock,,,0.0,28453026.0
Capital Expenditure,-1302344.0,-953573.0,-462802.0,-1918599.0
End Cash Position,1838570.0,7288467.0,6319968.0,26600021.0
Other Cash Adjustment Outside Changein Cash,,1.0,-8648.0,
Beginning Cash Position,7288466.0,6319968.0,26600021.0,4436397.0
Changes In Cash,-5449896.0,968498.0,-20271405.0,22163624.0
Financing Cash Flow,-971846.0,9265792.0,-1868227.0,31678880.0
Net Common Stock Issuance,,,0.0,28453026.0
Common Stock Issuance,,,0.0,28453026.0
Net Issuance Payments Of Debt,-971846.0,9265792.0,-1868227.0,3225854.0
Net Long Term Debt Issuance,-971846.0,9265792.0,-1868227.0,3225854.0
Long Term Debt Payments,-1012806.0,-1734208.0,-1868227.0,-463320.0
Long Term Debt Issuance,40960.0,11000000.0,0.0,3689174.0
Investing Cash Flow,-1305769.0,-852426.0,-1172232.0,-2098740.0
Net Other Investing Changes,-3425.0,101501.0,-709430.0,-180141.0
Net Business Purchase And Sale,0.0,-354.0,0.0,
Purchase Of Business,0.0,-354.0,0.0,
Net Intangibles Purchase And Sale,-1302344.0,-855073.0,-354442.0,-1918599.0
Purchase Of Intangibles,-1302344.0,-855073.0,-354442.0,-1918599.0
Net PPE Purchase And Sale,0.0,-98500.0,-108360.0,0.0
Purchase Of PPE,0.0,-98500.0,-108360.0,0.0
Operating Cash Flow,-3172281.0,-7444868.0,-17230946.0,-7416516.0
Taxes Refund Paid,101371.0,394378.0,586918.0,0.0
Interest Received Cfo,446027.0,142861.0,356563.0,33726.0
Interest Paid Cfo,-1096327.0,-1086187.0,-1391339.0,-926023.0
Change In Working Capital,3105874.0,7662363.0,1305315.0,-50606.0
Change In Payable,5536850.0,7516482.0,-1808889.0,-940237.0
Change In Receivables,-2430976.0,145881.0,3114204.0,889632.0
Other Non Cash Items,-291226.0,-199147.0,-3592844.0,405272.0
Deferred Tax,,,-106370.0,-981296.0
Depreciation And Amortization,1026134.0,1910529.0,3050931.0,3883682.0
Depreciation,1026134.0,1910529.0,3050931.0,3883682.0
Net Income From Continuing Operations,-6464134.0,-16269665.0,-17546491.0,-9781271.0
