,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,213000000.0,117000000.0,70000000.0,-5000000.0,
Repayment Of Debt,-3718000000.0,-530000000.0,-970000000.0,-642000000.0,
Issuance Of Debt,4053000000.0,378000000.0,1072000000.0,1256000000.0,
Issuance Of Capital Stock,251000000.0,436000000.0,350000000.0,47000000.0,
Capital Expenditure,,,-6000000.0,,-3113000.0
End Cash Position,376000000.0,29000000.0,52000000.0,218000000.0,
Other Cash Adjustment Outside Changein Cash,,,,,1000.0
Beginning Cash Position,29000000.0,52000000.0,218000000.0,58000000.0,
Effect Of Exchange Rate Changes,-2000000.0,0.0,,,-863000.0
Changes In Cash,349000000.0,-23000000.0,-166000000.0,160000000.0,
Financing Cash Flow,568000000.0,270000000.0,440000000.0,658000000.0,
Net Common Stock Issuance,251000000.0,436000000.0,350000000.0,47000000.0,
Common Stock Issuance,251000000.0,436000000.0,350000000.0,47000000.0,
Net Issuance Payments Of Debt,335000000.0,-152000000.0,102000000.0,614000000.0,
Net Long Term Debt Issuance,335000000.0,-152000000.0,102000000.0,614000000.0,
Long Term Debt Payments,-3718000000.0,-530000000.0,-970000000.0,-642000000.0,
Long Term Debt Issuance,4053000000.0,378000000.0,1072000000.0,1256000000.0,
Investing Cash Flow,-432000000.0,-410000000.0,-682000000.0,-493000000.0,
Net Other Investing Changes,-199000000.0,-299000000.0,-6000000.0,-1000000.0,
Net Investment Purchase And Sale,,,,,778000.0
Sale Of Investment,,,,,778000.0
Net Investment Properties Purchase And Sale,-233000000.0,-111000000.0,-196000000.0,-161000000.0,
Purchase Of Investment Properties,-233000000.0,-111000000.0,-196000000.0,-161000000.0,
Net Business Purchase And Sale,-199000000.0,-299000000.0,-480000000.0,-331000000.0,
Sale Of Business,100000000.0,30000000.0,4000000.0,0.0,
Purchase Of Business,-299000000.0,-329000000.0,-484000000.0,-331000000.0,
Net Intangibles Purchase And Sale,0.0,0.0,,,-3009000.0
Purchase Of Intangibles,,,,,-3009000.0
Net PPE Purchase And Sale,,0.0,-6000000.0,,-104000.0
Purchase Of PPE,,,,,-104000.0
Operating Cash Flow,213000000.0,117000000.0,76000000.0,-5000000.0,
Taxes Refund Paid,-5000000.0,-7000000.0,-6000000.0,-1000000.0,
Interest Received Cfo,9000000.0,3000000.0,4000000.0,0.0,
Interest Paid Cfo,-229000000.0,-132000000.0,-67000000.0,-17000000.0,
Change In Working Capital,-82000000.0,13000000.0,1000000.0,-15000000.0,
Change In Other Current Liabilities,-48000000.0,-28000000.0,8000000.0,43000000.0,
Change In Other Current Assets,-34000000.0,41000000.0,,,
Change In Inventory,,,0.0,-22000000.0,15000000.0
Change In Receivables,-34000000.0,41000000.0,-7000000.0,-36000000.0,
Other Non Cash Items,-80000000.0,-35000000.0,-37000000.0,-13000000.0,
Depreciation And Amortization,,,,,10112000.0
Depreciation,,,,,10112000.0
Gain Loss On Investment Securities,,,,,-441000.0
Net Foreign Currency Exchange Gain Loss,,,,,4000.0
Net Income From Continuing Operations,600000000.0,275000000.0,181000000.0,41000000.0,
