,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-113133000.0,-101219000.0,-85795000.0,-55623000.0,
Repurchase Of Capital Stock,,0.0,-20000.0,0.0,
Issuance Of Capital Stock,2013000.0,101546000.0,1904000.0,91000.0,
End Cash Position,223388000.0,329064000.0,335840000.0,386752000.0,
Other Cash Adjustment Outside Changein Cash,-1000.0,2000.0,-1000.0,,
Beginning Cash Position,329064000.0,335840000.0,386752000.0,423438000.0,
Effect Of Exchange Rate Changes,5445000.0,-2074000.0,33000000.0,18846000.0,
Changes In Cash,-111120000.0,-4704000.0,-83911000.0,-55532000.0,
Financing Cash Flow,2013000.0,96515000.0,1884000.0,91000.0,
Net Other Financing Charges,,-1000.0,,,
Net Common Stock Issuance,2013000.0,101546000.0,1884000.0,91000.0,
Common Stock Payments,,0.0,-20000.0,0.0,
Common Stock Issuance,2013000.0,101546000.0,1904000.0,91000.0,
Investing Cash Flow,0.0,0.0,,,
Operating Cash Flow,-113133000.0,-101219000.0,-85795000.0,-55623000.0,
Interest Received Cfo,8438000.0,11549000.0,650000.0,0.0,
Interest Paid Cfo,0.0,0.0,-293000.0,-413000.0,
Change In Working Capital,28400000.0,18959000.0,11840000.0,7398000.0,
Change In Other Current Liabilities,23123000.0,28267000.0,4689000.0,3060000.0,
Change In Receivables,5277000.0,-9308000.0,7151000.0,4338000.0,
Depreciation And Amortization,816000.0,816000.0,816000.0,816000.0,
Amortization Cash Flow,,,,816000.0,816000.0
Depreciation,816000.0,816000.0,816000.0,816000.0,
Gain Loss On Investment Securities,,,,,15125000.0
Net Foreign Currency Exchange Gain Loss,-5445000.0,2074000.0,-33000000.0,-18846000.0,
Net Income From Continuing Operations,-145343000.0,-134617000.0,-65808000.0,-44578000.0,
