,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-25016000.0,-14319000.0,-37467000.0,-35419000.0,
Issuance Of Capital Stock,4841000.0,43265000.0,22600000.0,56312000.0,
Capital Expenditure,-235000.0,,,-119000.0,
End Cash Position,11775000.0,31927000.0,9637000.0,28467000.0,
Other Cash Adjustment Outside Changein Cash,-1000.0,-1000.0,,,
Beginning Cash Position,31927000.0,9637000.0,28467000.0,12551000.0,
Effect Of Exchange Rate Changes,283000.0,-91000.0,23000.0,243000.0,
Changes In Cash,-20435000.0,22382000.0,-18853000.0,15673000.0,
Financing Cash Flow,4581000.0,36701000.0,18614000.0,51092000.0,
Net Common Stock Issuance,4841000.0,43265000.0,22600000.0,56312000.0,
Common Stock Issuance,4841000.0,43265000.0,22600000.0,56312000.0,
Investing Cash Flow,-235000.0,0.0,0.0,-119000.0,
Net Other Investing Changes,,,,,-251000.0
Net Investment Purchase And Sale,,,,0.0,1249000.0
Net PPE Purchase And Sale,-235000.0,0.0,0.0,-119000.0,
Purchase Of PPE,-235000.0,0.0,0.0,-119000.0,
Operating Cash Flow,-24781000.0,-14319000.0,-37467000.0,-35300000.0,
Interest Received Cfo,370000.0,244000.0,37000.0,78000.0,
Change In Working Capital,649000.0,-2308000.0,237000.0,6033000.0,
Change In Other Current Liabilities,1845000.0,-1788000.0,479000.0,4207000.0,
Change In Receivables,-1196000.0,-520000.0,-242000.0,1826000.0,
Depreciation And Amortization,59000.0,24000.0,24000.0,23000.0,
Depreciation,59000.0,24000.0,24000.0,23000.0,
Net Foreign Currency Exchange Gain Loss,-283000.0,93000.0,-23000.0,-243000.0,
Net Income From Continuing Operations,-25576000.0,-12371000.0,-37742000.0,-41191000.0,
