Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_DIFF,RSI
2023-06-12,163.57127360518118,164.72453466667224,162.7063314751904,163.95570373535156,166969,0.0,0.0,,,,
2023-06-13,165.58949279785156,166.83886506809796,165.01285493019626,165.58949279785156,306194,0.0,0.0,,,,100.0
2023-06-14,165.205049653861,167.22326736719975,163.95569214651783,166.83885192871094,198811,0.0,0.0,,,,100.0
2023-06-15,165.68557628422653,167.12715617532308,164.7245230234955,166.83885192871094,263777,0.0,0.0,,,,100.0
2023-06-16,166.6466256267893,168.4726355779508,165.78168357827133,166.74273681640625,715625,0.0,0.0,,,,96.12668904642129
2023-06-19,166.26221949155484,166.26221949155484,162.70632524457957,162.99464416503906,182615,0.0,0.0,,,,36.59712735361699
2023-06-20,162.99463407196882,162.99463407196882,158.76599105093393,159.15042114257812,336469,0.0,0.0,,,,21.731945043184183
2023-06-21,158.57378032290637,159.24651463985947,157.22831168900018,158.28546142578125,755118,0.0,0.0,,,,19.784683285228667
2023-06-22,156.84389096691513,159.72705078125,156.1711566098055,159.72705078125,301540,0.0,0.0,,,,30.89806681750416
2023-06-26,159.72703606714387,165.3011474609375,159.34262065978203,165.3011474609375,555790,0.0,0.0,,,,56.1788448339571
2023-06-27,165.30115153648543,167.70378455300414,163.3790451232705,165.01283264160156,317742,0.0,0.0,,,,55.05685533507563
2023-06-28,165.3011474609375,166.45440834753086,164.62841316580037,165.3011474609375,122384,0.0,0.0,,,,56.003141175522806
2023-06-29,164.8206290111076,166.45441656986117,164.14789468273946,164.72451782226562,281923,0.0,0.0,,,,53.57359929910246
2023-06-30,165.30115605241213,167.799900323659,165.20504486332243,167.51158142089844,437549,0.0,0.0,,,,62.125995786657676
2023-07-03,167.60767554246755,169.91421206697447,166.35831808926488,169.04925537109375,279852,0.0,0.0,,,,65.8624310540014
2023-07-04,168.8570515780818,169.3375781987733,167.70379062132403,169.14537048339844,306859,0.0,0.0,,,,66.08764037058634
2023-07-05,168.18431892335104,169.24148336524422,167.70379229785576,167.9921112060547,222426,0.0,0.0,,,,60.89646381909409
2023-07-06,166.3583189704859,166.3583189704859,164.34010133391516,165.87779235839844,338627,0.0,0.0,,,,52.7202665931479
2023-07-07,164.34011257005773,166.2622191498245,162.61021371536577,165.7816925048828,432325,0.0,0.0,,,,52.37605224180447
2023-07-10,165.01283101528418,167.2232563015977,164.34009671019083,166.1660919189453,160286,0.0,0.0,165.09933776855468,,,53.678845275546585
2023-07-11,167.89598562791755,169.3375653808725,166.8388359411218,167.22325134277344,660095,0.0,0.0,165.2627151489258,,,57.15051271472296
2023-07-12,168.18432426463613,170.01031963370562,167.12715978916899,169.72201538085938,483205,0.0,0.0,165.46934127807617,,,64.01555202586061
2023-07-13,169.7219954470317,170.1064108486833,167.12714016010673,167.22325134277344,609858,0.0,0.0,165.4885612487793,,,54.59576585106644
2023-07-14,167.22326753934843,167.4154752587907,165.49336873534992,166.4544219970703,487772,0.0,0.0,165.46933975219727,,,52.05754938273138
2023-07-17,165.20504262362945,166.934941352232,163.66736627060035,166.26220703125,390332,0.0,0.0,165.44531326293946,,,51.41398369547482
2023-07-18,165.20504598471828,174.81557837858225,165.10894945948482,172.3168487548828,471453,0.0,0.0,165.91142349243165,,,65.76925596989989
2023-07-19,170.20253780803958,170.97136868260853,163.76346924970753,164.43621826171875,1570022,0.0,0.0,166.17571334838868,,,46.507987381521396
2023-07-20,160.59200664004587,166.4544227648765,160.59200664004587,166.07000732421875,657894,0.0,0.0,166.56494064331054,,,49.79093387884262
2023-07-21,166.06999364296604,168.08819653691836,164.53230267799563,167.7037811279297,130874,0.0,0.0,166.96377716064453,,,52.903671710186835
2023-07-24,166.55054257610132,168.3765380104825,166.4544313787087,167.89601135253906,119110,0.0,0.0,167.0935203552246,,,53.270754142829816
2023-07-25,167.2232527919322,172.3168375627489,167.2232527919322,172.0285186767578,195155,0.0,0.0,167.4443046569824,,,60.41398906588566
2023-07-26,172.50903954345978,172.50903954345978,170.01029550042574,170.68304443359375,131791,0.0,0.0,167.71339950561523,,,57.34061818943868
2023-07-27,171.0674736148671,172.50905344870026,169.52978259297507,171.45188903808594,204545,0.0,0.0,168.04976806640624,,,58.635566420267054
2023-07-28,171.35580052360578,171.83632715734302,168.95316735491951,171.2596893310547,268759,0.0,0.0,168.23717346191407,,,58.16027157042936
2023-07-31,171.1635846474505,172.412942104031,170.20253142576803,171.83631896972656,376875,0.0,0.0,168.37652664184571,,,59.228076946040055
2023-08-01,172.3168487548828,172.89347189980944,171.06747661077875,172.3168487548828,287031,0.0,0.0,168.53510055541992,,,60.1410072017084
2023-08-02,170.49083413955233,171.06747193322045,168.37652000361643,170.20252990722656,298580,0.0,0.0,168.6456214904785,,,54.37217432560861
2023-08-03,170.2025481093735,170.49085237253172,167.0310692340448,167.89601135253906,222775,0.0,0.0,168.74653244018555,,,48.86548439026939
2023-08-04,168.4726346537613,168.76095355652186,166.07000157160414,167.51158142089844,222552,0.0,0.0,168.83302688598633,,,47.99304127558099
2023-08-07,167.6076828056886,168.08820943605411,165.49336856498212,166.83885192871094,155182,0.0,0.0,168.8666648864746,,,46.43079677624661
2023-08-08,166.45442147687046,166.45442147687046,163.76346941956126,164.05178833007812,115035,0.0,0.0,168.70809173583984,,,40.54270525649645
2023-08-09,165.68557314219368,167.60767962720524,165.68557314219368,166.3583221435547,135626,0.0,0.0,168.5399070739746,,,46.580344104845146
