Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,SMA_200,Close_10_%_D,10_50_%_D,50_200_%_D
2020-07-07,60.73170471191406,60.73170471191406,58.89134979248047,59.811527252197266,361,0.0,0.0,,,,,,
2020-07-08,60.73170471191406,61.65188217163086,59.811527252197266,61.2838134765625,317,0.0,0.0,,,,,,
2020-07-09,61.46784973144531,61.46784973144531,59.811527252197266,60.73170471191406,556,0.0,0.0,,,,,,
2020-07-10,60.17959976196289,61.46784973144531,60.17959976196289,61.46784973144531,197,0.0,0.0,,,,,,
2020-07-13,61.2838134765625,61.2838134765625,57.97117233276367,60.17959976196289,38,0.0,0.0,,,,,,
2020-07-14,60.17959976196289,60.3636360168457,59.811527252197266,60.17959976196289,824,0.0,0.0,,,,,,
2020-07-15,59.99556350708008,61.2838134765625,59.811527252197266,61.09977722167969,2684,0.0,0.0,,,,,,
2020-07-16,59.99556350708008,60.547672271728516,59.811527252197266,59.811527252197266,466,0.0,0.0,,,,,,
2020-07-17,59.811527252197266,60.73170471191406,59.811527252197266,59.811527252197266,2724,0.0,0.0,,,,,,
2020-07-20,59.811527252197266,59.811527252197266,57.97117233276367,57.97117233276367,393,0.0,0.0,60.23480987548828,,,-3.7580222256927303,,
2020-07-21,60.915740966796875,67.72505187988281,59.07538604736328,59.07538604736328,14443,0.0,0.0,60.16119575500488,,,-1.8048339864509286,,
2020-07-22,62.572059631347656,62.572059631347656,59.811527252197266,60.17959976196289,678,0.0,0.0,60.05077438354492,,,0.2145274224028529,,
2020-07-23,59.99556350708008,64.04434204101562,59.99556350708008,62.2039909362793,765,0.0,0.0,60.19800300598145,,,3.3323164060750123,,
2020-07-24,61.09977722167969,61.46784973144531,59.811527252197266,60.17959976196289,542,0.0,0.0,60.0691780090332,,,0.1838243115513978,,
2020-07-27,60.17959976196289,61.46784973144531,57.23503112792969,59.811527252197266,1367,0.0,0.0,60.03237075805664,,,-0.36787403707480526,,
2020-07-28,59.811527252197266,62.572059631347656,59.62749481201172,60.547672271728516,2046,0.0,0.0,60.0691780090332,,,0.7965720167227158,,
2020-07-29,59.443458557128906,60.73170471191406,58.89134979248047,60.547672271728516,6399,0.0,0.0,60.013967514038086,,,0.8893009074355713,,
2020-07-30,60.73170471191406,60.73170471191406,59.259422302246094,59.443458557128906,441,0.0,0.0,59.97716064453125,,,-0.8898422027102242,,
2020-07-31,59.443458557128906,60.3636360168457,59.443458557128906,60.3636360168457,316,0.0,0.0,60.032371520996094,,,0.5518097777192609,,
2020-08-03,57.60310363769531,60.73170471191406,57.60310363769531,60.73170471191406,2055,0.0,0.0,60.30842475891113,,,0.701858744769136,,
2020-08-04,60.547672271728516,60.73170471191406,60.547672271728516,60.547672271728516,1527,0.0,0.0,60.45565338134766,,,0.15220890890122618,,
2020-08-05,60.547672271728516,60.547672271728516,59.443458557128906,60.547672271728516,334,0.0,0.0,60.49246063232422,,,0.09127028199411001,,
2020-08-06,60.73170471191406,60.73170471191406,59.443458557128906,59.811527252197266,1047,0.0,0.0,60.253214263916014,,,-0.7330513684865153,,
2020-08-07,59.443458557128906,59.811527252197266,59.443458557128906,59.811527252197266,373,0.0,0.0,60.216407012939456,,,-0.6723744919805473,,
2020-08-10,59.62749481201172,60.73170471191406,59.62749481201172,60.3636360168457,793,0.0,0.0,60.2716178894043,,,0.15267240313717043,,
2020-08-11,59.811527252197266,60.3636360168457,59.62749481201172,59.62749481201172,65,0.0,0.0,60.179600143432616,,,-0.9174293782361531,,
2020-08-12,60.73170471191406,60.73170471191406,59.62749481201172,59.811527252197266,372,0.0,0.0,60.10598564147949,,,-0.48989861182647193,,
2020-08-13,60.73170471191406,62.572059631347656,59.62749481201172,62.572059631347656,2125,0.0,0.0,60.41884574890137,,,3.56381168120121,,
2020-08-14,62.2039909362793,62.2039909362793,59.62749481201172,60.547672271728516,1496,0.0,0.0,60.43724937438965,,,0.18270668913939053,,
2020-08-17,60.17959976196289,62.388023376464844,59.811527252197266,60.73170471191406,63,0.0,0.0,60.43724937438965,,,0.48720836995799316,,
2020-08-18,60.73170471191406,61.65188217163086,59.62749481201172,59.811527252197266,3500,0.0,0.0,60.36363487243652,,,-0.9146361404610519,,
2020-08-19,60.547672271728516,63.308204650878906,60.547672271728516,61.65188217163086,891,0.0,0.0,60.47405586242676,,,1.9476555564315927,,
2020-08-20,64.41241455078125,66.06873321533203,59.811527252197266,60.73170471191406,1368,0.0,0.0,60.56607360839844,,,0.2734717534878384,,
2020-08-21,59.811527252197266,60.547672271728516,59.62749481201172,59.62749481201172,1625,0.0,0.0,60.54767036437988,,,-1.5197538515197806,,
2020-08-24,58.3392448425293,60.73170471191406,58.3392448425293,59.811527252197266,1700,0.0,0.0,60.49245948791504,,,-1.1256481245465153,,
2020-08-25,59.811527252197266,60.547672271728516,59.811527252197266,60.547672271728516,539,0.0,0.0,60.584477233886716,,,-0.06074982213036933,,
2020-08-26,59.99556350708008,59.99556350708008,59.07538604736328,59.07538604736328,3318,0.0,0.0,60.51086311340332,,,-2.372263412190652,,
2020-08-27,59.811527252197266,61.09977722167969,58.89134979248047,59.811527252197266,1531,0.0,0.0,60.23480987548828,,,-0.7027209418706318,,
2020-08-28,59.07538604736328,61.65188217163086,59.07538604736328,59.07538604736328,116,0.0,0.0,60.08758125305176,,,-1.684533117460224,,
2020-08-31,63.308204650878906,63.308204650878906,59.62749481201172,59.811527252197266,333,0.0,0.0,59.99556350708008,,,-0.30674977302462436,,
2020-09-01,59.99556350708008,63.308204650878906,59.99556350708008,60.17959976196289,937,0.0,0.0,60.03237075805664,,,0.24524935804986228,,
2020-09-02,60.17959976196289,60.73170471191406,59.811527252197266,60.547672271728516,322,0.0,0.0,59.921949768066405,,,1.0442292116395229,,
2020-09-03,60.547672271728516,62.2039909362793,59.811527252197266,62.019954681396484,1804,0.0,0.0,60.05077476501465,,,3.2791915243183,,
2020-09-04,60.73170471191406,61.65188217163086,59.62749481201172,59.99556350708008,2113,0.0,0.0,60.087581634521484,,,-0.15314000819853274,,
2020-09-07,59.99556350708008,62.2039909362793,59.99556350708008,62.2039909362793,494,0.0,0.0,60.32682800292969,,,3.111655287525556,,
2020-09-08,62.2039909362793,64.22837829589844,60.3636360168457,63.308204650878906,774,0.0,0.0,60.602881240844724,,,4.46401780681488,,
2020-09-09,62.572059631347656,63.308204650878906,59.259422302246094,59.259422302246094,1072,0.0,0.0,60.621284866333006,,,-2.2465089070443716,,
2020-09-10,59.259422302246094,62.388023376464844,59.259422302246094,59.99556350708008,624,0.0,0.0,60.63968849182129,,,-1.0622168430632466,,
2020-09-11,59.99556350708008,59.99556350708008,59.811527252197266,59.811527252197266,103,0.0,0.0,60.71330261230469,,,-1.4853011140999275,,
2020-09-14,59.99556350708008,61.65188217163086,59.99556350708008,59.99556350708008,1391,0.0,0.0,60.73170623779297,60.341550750732424,,-1.2121225901846884,0.6465784889623688,
2020-09-15,59.811527252197266,59.99556350708008,59.811527252197266,59.99556350708008,926,0.0,0.0,60.71330261230469,60.345231475830076,,-1.1821776683898368,0.6099423723679547,
