Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI_3_months
2020-07-01,175.64520263671875,178.58486938476562,174.1753692626953,176.380126953125,3032,0.0,0.0,,,,,,,
2020-07-02,176.8700714111328,188.38377380371094,173.93040466308594,180.2996826171875,2761,0.0,0.0,,,,,,,100.0
2020-07-03,180.05471801757812,184.7091827392578,179.5647735595703,182.01449584960938,3503,0.0,0.0,,,,,,,100.0
2020-07-06,182.01449584960938,186.17901611328125,173.93040466308594,176.8700714111328,6025,0.0,0.0,,,,,,,51.80019312974051
2020-07-07,182.01449584960938,186.17901611328125,176.380126953125,179.8097381591797,5173,0.0,0.0,,,,,,,62.30036208384691
2020-07-08,184.21923828125,184.21923828125,173.44046020507812,173.44046020507812,3849,0.0,0.0,,,,,,,42.17164374335319
2020-07-09,173.44046020507812,173.44046020507812,165.11138916015625,168.78598022460938,7967,0.0,0.0,,,,,,,34.0434720828284
2020-07-10,170.01084899902344,173.1954803466797,166.5812225341797,166.5812225341797,4318,0.0,0.0,,,,,,,31.1660940898893
2020-07-13,166.82620239257812,170.50079345703125,163.6415557861328,167.31614685058594,5727,0.0,0.0,,,,,,,33.07286944286544
2020-07-14,167.0711669921875,169.0309600830078,164.13150024414062,165.60133361816406,2957,0.0,0.0,173.70992584228514,,,-4.667892283531939,,,31.04379213342078
2020-07-15,165.60133361816406,170.99073791503906,156.78233337402344,160.21194458007812,9876,0.0,0.0,172.09310760498047,,,-6.903915671145973,,,25.97838772956672
2020-07-16,161.19183349609375,165.60133361816406,158.7421112060547,165.3563690185547,3814,0.0,0.0,170.5987762451172,,,-3.072945387972882,,,36.050614462742104
2020-07-17,165.11138916015625,166.09127807617188,159.7220001220703,164.13150024414062,4969,0.0,0.0,168.81047668457032,,,-2.771733444703532,,,34.90698696150915
2020-07-20,164.13150024414062,165.8463134765625,159.47703552246094,162.4167022705078,5879,0.0,0.0,167.36513977050782,,,-2.956671566603022,,,33.40667665176424
2020-07-21,163.6415557861328,163.88653564453125,160.21194458007812,162.17172241210938,6132,0.0,0.0,165.6013381958008,,,-2.0710072883809483,,,33.20052651777813
2020-07-22,162.17172241210938,164.37648010253906,158.25216674804688,159.96697998046875,7666,0.0,0.0,164.25399017333984,,,-2.6099884625919554,,,31.43511719500745
2020-07-23,159.96697998046875,165.60133361816406,158.25216674804688,162.4167022705078,6819,0.0,0.0,163.6170623779297,,,-0.7336399333764123,,,35.30067095583507
2020-07-24,162.4167022705078,162.4167022705078,153.1077423095703,158.25216674804688,9143,0.0,0.0,162.7841567993164,,,-2.784048607910081,,,32.181635504239225
2020-07-27,158.4971466064453,176.380126953125,154.8225555419922,157.76222229003906,11750,0.0,0.0,161.82876434326172,,,-2.5128672703679245,,,31.846872908110456
2020-07-28,158.0072021484375,160.70188903808594,154.8225555419922,157.02731323242188,9955,0.0,0.0,160.9713623046875,,,-2.4501557393794653,,,31.352179856075892
2020-07-29,157.02731323242188,159.2320556640625,154.33261108398438,157.5172576904297,4140,0.0,0.0,160.70189361572267,,,-1.9817040444515357,,,32.06361805920184
2020-07-30,157.76222229003906,158.4971466064453,151.3929443359375,154.8225555419922,8692,0.0,0.0,159.6485122680664,,,-3.022863575434353,,,30.316181750900952
2020-07-31,155.55746459960938,161.19183349609375,154.33261108398438,159.7220001220703,7232,0.0,0.0,159.2075622558594,,,0.3231240142878282,,,36.66271892921984
2020-08-03,160.45692443847656,160.45692443847656,153.35272216796875,154.8225555419922,14050,0.0,0.0,158.44814758300782,,,-2.2881883419408617,,,33.57085877105506
2020-08-04,155.3125,160.70188903808594,153.1077423095703,155.3125,6786,0.0,0.0,157.76222534179686,,,-1.5527958841157672,,,34.13257678319219
2020-08-05,155.3125,157.02731323242188,151.8828887939453,152.6177978515625,9249,0.0,0.0,157.02730712890624,,,-2.80811621747032,,,32.59942189304836
2020-08-06,153.1077423095703,156.537353515625,151.3929443359375,155.8024444580078,5477,0.0,0.0,156.36588134765626,,,-0.360332372249241,,,36.033217524394146
2020-08-07,154.8225555419922,157.76222229003906,152.86277770996094,157.5172576904297,3855,0.0,0.0,156.29239044189453,,,0.7837024215139482,,,37.75980988506172
2020-08-10,157.76222229003906,159.7220001220703,155.55746459960938,157.5172576904297,2883,0.0,0.0,156.26789398193358,,,0.7995012133717924,,,37.75980988506172
2020-08-11,157.5172576904297,158.98709106445312,155.06752014160156,157.76222229003906,6621,0.0,0.0,156.3413848876953,,,0.9088044111700685,,,38.00425911343142
2020-08-12,157.76222229003906,158.4971466064453,151.8828887939453,155.3125,13785,0.0,0.0,156.12090911865235,,,-0.5178096407560349,,,36.552479701077964
2020-08-13,155.3125,155.55746459960938,150.9029998779297,154.33261108398438,22980,0.0,0.0,156.07191467285156,,,-1.1144244577975542,,,35.99627025418468
