Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2023-12-20,207.234693932768,208.0878959202875,205.52827549226512,207.6138916015625,2624203,0.0,0.0,205.08271026611328,193.291849899292,192.8751215616862,1.2342246365696958,6.100029759642993,0.2160612183840018,65.77096673640956,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2023-12-21,206.66588208898222,206.8554809225766,205.43346797242305,206.57107543945312,1514009,0.0,0.0,205.48087310791016,193.98626594543458,193.01179262797038,0.5305614654315971,5.925474727014352,0.5048776057649993,63.25546576749132,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2023-12-22,206.2866920768253,207.61389842670064,205.62307443642328,206.7606964111328,1007243,0.0,0.0,206.14447937011718,194.71860313415527,193.13345387776693,0.29892483315512836,5.867891435154669,0.820753331212924,63.52861864112197,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2023-12-27,206.8554908789595,209.03591373390262,206.47629319351915,207.0450897216797,1108854,0.0,0.0,206.4857620239258,195.42723960876464,193.25037485758463,0.27087954746685655,5.658639213908843,1.1264478802611588,63.96133116051444,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2023-12-28,207.23469765848458,207.61389533409638,205.81268467674417,206.47628784179688,875511,0.0,0.0,206.84600524902345,196.09558563232423,193.3451758066813,-0.17874041453276718,5.48223438178566,1.422538635457319,62.36753721582132,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2023-12-29,206.47629091745543,207.51909177365343,206.0022865831479,206.7606964111328,842536,0.0,0.0,207.44325256347656,196.81488761901855,193.42022654215495,-0.32903270841980814,5.400183427704773,1.7550703654686033,62.86579619447307,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2024-01-02,207.70870736939696,208.75150823709015,204.95947352082888,207.0450897216797,1436783,0.0,0.0,207.3958541870117,197.39080276489258,193.51897748311362,-0.16912800244103757,5.068651265396543,2.000747075111443,63.38780714840141,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2024-01-03,206.9502910191473,207.13988985589972,200.59863596242533,201.92584228515625,1619315,0.0,0.0,206.62796630859376,197.82333183288574,193.59481824239094,-2.275647438941058,4.450756336035156,2.184208042800235,49.81334493005604,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2024-01-04,202.02063515164497,202.9686437361849,200.40900898555668,201.546630859375,1387339,0.0,0.0,206.021240234375,198.23690071105958,193.66196886698404,-2.1719165314748956,3.9267863326119574,2.3623284792781436,48.97665223509353,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
2024-01-05,202.02064044531872,203.9166576640811,200.5986275312469,201.0726318359375,1406211,0.0,0.0,205.28179321289062,198.68246459960938,193.68566907246907,-2.050430927689697,3.3215455760428587,2.5798478282204327,47.893772967121954,2.0,0.01,0.11959,0.41082,0.15799,49.676,2.963343,16.132353,Sandvik AB (publ),Industrials,"Sandvik AB (publ), an engineering company, provides products and solutions for mining and rock excavation, metal cutting, and materials technology worldwide. The company offers mining and rock excavation equipment, including drill rigs and bolters, underground loaders and trucks, mechanical cutting equipment, rock tools and rock drills, and mining automation; rock processing equipment, such as crushers, screens, hydraulic breakers, demolition tools, and breaker booms. It provides metal-cutting tools and tooling systems, and digital solutions and software; metal powder for additive manufacturing, and components made from controlled expansion alloys; and tungsten powders, as well as recycling services of secondary tungsten raw materials. It serves aerospace, automotive, energy, general engineering, infrastructure, and mining industries. Sandvik AB (publ) was founded in 1862 and is headquartered in Stockholm, Sweden."
