Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,SMA_200,Close_10_%_D,10_50_%_D,50_200_%_D
2020-07-02,13.712965869909363,13.712965869909363,13.11302377657212,13.13444995880127,339920,0.0,0.0,,,,,,
2020-07-03,13.155876720817304,13.412994172349896,12.98446399665365,13.327288627624512,349878,0.0,0.0,,,,,,
2020-07-06,13.455847353390809,14.14149579797609,13.327288627624512,13.327288627624512,445860,0.0,0.0,,,,,,
2020-07-07,13.541552767320596,13.584405945361016,12.984463087507898,13.348713874816895,380202,0.0,0.0,,,,,,
2020-07-08,13.477273997648638,13.477273997648638,13.13444937570649,13.241581916809082,245738,0.0,0.0,,,,,,
2020-07-09,13.305861473083496,13.648686100051975,13.284435291491407,13.305861473083496,240986,0.0,0.0,,,,,,
2020-07-10,13.305860476989196,13.541552543640137,13.113022405027197,13.541552543640137,233550,0.0,0.0,,,,,,
2020-07-13,13.712964079357608,13.991509316104642,13.627257726919082,13.734390258789062,443250,0.0,0.0,,,,,,
2020-07-14,13.734392356589524,13.905805087648273,13.434421711949668,13.477274894714355,221214,0.0,0.0,,,,,,
2020-07-15,13.584407045408884,13.862950681836757,13.562980045975348,13.648686408996582,202714,0.0,0.0,13.408708858489991,,,1.7897140808948546,,
2020-07-16,13.648686427799046,16.755529422573712,13.648686427799046,16.155588150024414,2567670,0.0,0.0,13.710822677612304,,,17.830917443079773,,
2020-07-17,16.1984413589144,16.262721543299033,15.277102402583665,15.85561752319336,917002,0.0,0.0,13.963655567169189,,,13.549188082757343,,
2020-07-20,15.812765785708123,15.898470522012596,15.49136812042717,15.791337966918945,506604,0.0,0.0,14.210060501098633,,,11.127872859500194,,
2020-07-21,15.812764551201319,16.069882009467626,15.727058186874904,15.941323280334473,400142,0.0,0.0,14.46932144165039,,,10.173261024161643,,
2020-07-22,16.069879760936345,16.43412971496582,15.877040876862567,16.43412971496582,406388,0.0,0.0,14.788576221466064,,,11.127193509752384,,
2020-07-23,16.45555999290656,16.648397271140357,16.1341623495663,16.284147262573242,389842,0.0,0.0,15.086404800415039,,,7.939217315216494,,
2020-07-24,16.0698782114408,16.177010732850405,15.85561316862159,15.984171867370605,295564,0.0,0.0,15.330666732788085,,,4.262731334344724,,
2020-07-27,16.155584555510995,16.155584555510995,15.85561316862159,15.984171867370605,238162,0.0,0.0,15.55564489364624,,,2.7548004383887568,,
2020-07-28,15.98417689303013,16.19844200321743,15.641353043673057,15.791337966918945,273178,0.0,0.0,15.7870512008667,,,0.027153684356270108,,
2020-07-29,15.748480647211984,16.027025856761977,15.641348125802379,15.984171867370605,244716,0.0,0.0,16.0205997467041,,,-0.22738149575822802,,
2020-07-30,16.027028157589314,16.027028157589314,15.298526580478384,15.534217834472656,344342,0.0,0.0,15.958462715148926,,,-2.6584320071979466,,
2020-07-31,15.427085297683188,15.877041625256393,15.234246404519594,15.534217834472656,514056,0.0,0.0,15.926322746276856,,,-2.4619927528208825,,
2020-08-03,15.534217301737353,15.855614901083644,15.341378415187036,15.684202194213867,234538,0.0,0.0,15.915609169006348,,,-1.4539624109589044,,
2020-08-04,15.727055398488414,16.69124814810635,15.727055398488414,16.498409271240234,579532,0.0,0.0,15.971317768096924,,,3.300238031680692,,
2020-08-05,16.71267528016633,18.276810928220836,16.71267528016633,18.148250579833984,829828,0.0,0.0,16.14272985458374,,,12.423677676057828,,
2020-08-06,18.31966328787463,18.919606131304157,18.126824400007088,18.148250579833984,567138,0.0,0.0,16.329140186309814,,,11.14027053946964,,
2020-08-07,18.148252299793572,18.148252299793572,17.462604672075756,17.78400230407715,335076,0.0,0.0,16.509123229980467,,,7.722270022077904,,
2020-08-10,17.998265504773418,18.23395674991719,17.741148080018885,17.826852798461914,237198,0.0,0.0,16.6933913230896,,,6.7898814173520154,,
2020-08-11,17.826854015033344,18.405370712280273,17.805427833960383,18.405370712280273,259844,0.0,0.0,16.95479459762573,,,8.555551093834387,,
2020-08-12,18.255387290075372,18.319667478974562,17.955417434447448,18.23396110534668,190536,0.0,0.0,17.17977352142334,,,6.13621351066566,,
2020-08-13,18.426798072575938,18.426798072575938,18.105400431775195,18.19110679626465,111228,0.0,0.0,17.44546241760254,,,4.27414510898692,,
2020-08-14,18.19110547003122,18.19110547003122,17.826853856185267,18.083972930908203,119940,0.0,0.0,17.700437927246092,,,2.166810816989672,,
2020-08-17,18.10540060488942,18.72676970998798,18.01969423958049,18.555356979370117,333222,0.0,0.0,17.98755340576172,,,3.1566470481000524,,
2020-08-18,18.512502589468646,18.512502589468646,17.59116212390689,17.7197208404541,585210,0.0,0.0,18.109684562683107,,,-2.153343537703391,,
2020-08-19,17.998265504773418,17.998265504773418,17.41975048171936,17.826852798461914,539040,0.0,0.0,18.0775447845459,,,-1.3867590376448518,,
2020-08-20,17.912559294674516,18.962458451113754,17.24833791315997,18.662487030029297,681846,0.0,0.0,18.12896842956543,,,2.942906556082832,,
2020-08-21,18.85532737267944,19.605255165911007,18.791047193660162,19.048166275024414,596346,0.0,0.0,18.255384826660155,,,4.342726575703195,,
2020-08-24,19.112442587976382,19.47669416870493,18.469647411680594,19.00531005859375,580160,0.0,0.0,18.37323055267334,,,3.4402197485539086,,
2020-08-25,19.026741698636048,20.398037042739585,19.026741698636048,19.8409481048584,646778,0.0,0.0,18.516788291931153,,,7.151131135977071,,
2020-08-26,19.926653015209837,20.869419721366643,19.690961747348855,20.805139541625977,449144,0.0,0.0,18.77390613555908,,,10.819450099516578,,
2020-08-27,20.805139588079694,20.912272131411427,20.162344328089304,20.248050689697266,369088,0.0,0.0,18.979600524902345,,,6.683228991730568,,
2020-08-28,20.505165388474182,20.71943044638807,19.8195178570348,19.990930557250977,375170,0.0,0.0,19.170296287536623,,,4.280759448918279,,
2020-08-31,20.548017469743225,21.38365144482882,20.033781051635742,20.033781051635742,693192,0.0,0.0,19.318138694763185,,,3.704509881516461,,
2020-09-01,20.290902508979844,20.61230013035574,19.75523980668668,20.398035049438477,353528,0.0,0.0,19.58597011566162,,,4.146156299541685,,
2020-09-02,20.398035049438477,20.740860486676368,20.0123588846151,20.398035049438477,364480,0.0,0.0,19.843088340759277,,,2.7966750898311297,,
2020-09-03,20.398034615415124,20.890844944924098,20.012358458798055,20.22662353515625,451316,0.0,0.0,19.999501991271973,,,1.1356359972533079,,
2020-09-04,19.776666109693007,20.398033489050064,19.669533577429693,19.926651000976562,349502,0.0,0.0,20.08735046386719,,,-0.8000032815661284,,
2020-09-07,20.140918768651318,20.290903680064613,19.7766687639545,20.18377113342285,340654,0.0,0.0,20.205196571350097,,,-0.1060392451594632,,
2020-09-08,20.119487393772406,20.162339747484484,19.690957317801587,20.033781051635742,277734,0.0,0.0,20.22447986602783,,,-0.9429108469306863,,
2020-09-09,19.712385894104994,19.92665095817135,19.58382718260772,19.883798599243164,229914,0.0,0.0,20.132345771789552,17.103066806793212,,-1.2345663807079295,17.71190511746778,
2020-09-10,19.71238461056271,19.883797304539602,19.51954573851686,19.819517135620117,223660,0.0,0.0,20.089492416381837,17.23676815032959,,-1.343863125887495,16.55022705632727,
2020-09-11,19.798092246674077,20.055209669668624,19.498120830038633,19.883798599243164,144146,0.0,0.0,20.078779220581055,17.367898349761962,,-0.9710780680233413,15.608571723683811,
2020-09-14,19.883798498385534,19.948077036451775,19.369562020292122,19.64810562133789,305382,0.0,0.0,20.04021167755127,17.49431468963623,,-1.9565963799305073,14.552710598165064,
2020-09-15,19.648104598651972,20.440886271239485,19.648104598651972,20.09806251525879,376044,0.0,0.0,20.010214424133302,17.62930166244507,,0.4390162407232266,13.505428673673373,
2020-09-16,20.09806598159583,20.440889796703754,19.798094530359062,20.012359619140625,446548,0.0,0.0,19.971646881103517,17.7647172164917,,0.20385268315368096,12.42310607997202,
2020-09-17,20.076635903141486,20.548020026183185,19.862370838498727,20.483739852905273,505708,0.0,0.0,19.997358512878417,17.908274784088135,,2.4322279350726435,11.66546612656667,
2020-09-18,20.483742590962372,20.483742590962372,20.098066403879788,20.18377113342285,201916,0.0,0.0,20.023070526123046,18.041119155883788,,0.8025772425370413,10.985745136508788,
2020-09-21,20.1837700344897,20.20519785042173,19.155298623553083,19.283857345581055,473910,0.0,0.0,19.933079147338866,18.15210849761963,,-3.257007093379672,9.811370673290012,
2020-09-22,19.112444399157624,19.840945994938142,19.06959203722876,19.476696014404297,254454,0.0,0.0,19.877370643615723,18.27209692001343,,-2.015732545290725,8.785383148028503,
2020-09-23,19.476697506680722,20.312331706021315,19.476697506680722,19.94808006286621,305258,0.0,0.0,19.883798789978027,18.39808479309082,,0.3232846679206179,8.075373135823073,
2020-09-24,19.712387274438715,19.712387274438715,19.283857116298744,19.476696014404297,316458,0.0,0.0,19.849516677856446,18.464506950378418,,-1.878235472947597,7.500929925722405,
