Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI_3_months
2020-07-01,3.5663693404867804,3.8539796826916266,3.377368191294207,3.7060658931732178,78890,0.0,0.0,,,,,,,
2020-07-02,3.7060656341354967,3.862196649573005,3.4513246489019163,3.7882399559020996,45267,0.0,0.0,,,,,,,100.0
2020-07-03,3.7882405556135725,3.837545156478882,3.6978485914414367,3.837545156478882,19404,0.0,0.0,,,,,,,100.0
2020-07-06,3.8293275195750023,4.018328685107227,3.7060662135724463,3.738935947418213,32826,0.0,0.0,,,,,,,56.698060089486106
2020-07-07,3.9032841955695483,3.9361539258694025,3.7471527807261955,3.82932710647583,18401,0.0,0.0,,,,,,,69.10075791043462
2020-07-08,3.829326911656665,3.862196640284253,3.623890911815203,3.845761775970459,7147,0.0,0.0,,,,,,,70.64656489101264
2020-07-09,3.8457623463592094,4.0101114057108465,3.8375451089026,3.9443719387054443,27098,0.0,0.0,,,,,,,77.48181032808567
2020-07-10,3.8293271064758305,3.9361539258694025,3.8211098698199133,3.82932710647583,11131,0.0,0.0,,,,,,,60.78330998236378
2020-07-13,3.829327208943268,4.100502687092386,3.673195789922057,4.0840678215026855,33705,0.0,0.0,,,,,,,73.5481923658541
2020-07-14,4.067632858238794,4.0840677234338525,3.911501834804789,4.075850486755371,45734,0.0,0.0,3.8679493188858034,,,5.3749713537987995,,,72.7754831395695
2020-07-15,4.075850766763038,4.100502870330158,4.042981034114797,4.092285633087158,17229,0.0,0.0,3.906571292877197,,,4.753896096778566,,,73.3419411412996
2020-07-16,4.092285450216588,4.100502687092386,4.026545987857784,4.0840678215026855,4392,0.0,0.0,3.936154079437256,,,3.7578239845371204,,,72.57836939770738
2020-07-17,4.034762946260117,4.0840675396262895,3.7718051149738683,4.067632675170898,2760,0.0,0.0,3.9591628313064575,,,2.7397166645113122,,,71.08170245054819
2020-07-20,4.108720054011395,4.108720054011395,3.911501679501126,3.9854583740234375,10949,0.0,0.0,3.98381507396698,,,0.041249406057926374,,,64.37022780474805
2020-07-21,4.026545612309876,4.0676325765329775,4.026545612309876,4.059415340423584,10741,0.0,0.0,4.006823897361755,,,1.3125469052048135,,,67.18968858465905
2020-07-22,4.026545507597348,4.05941523485626,3.7718049254217476,3.9032838344573975,18021,0.0,0.0,4.012576103210449,,,-2.723743199926037,,,57.479456161499584
2020-07-23,4.059415705971378,4.108720302581787,3.9115019161401503,4.108720302581787,25436,0.0,0.0,4.029010939598083,,,1.978385369975075,,,64.33720888113693
2020-07-24,4.10872025154995,4.601766603368325,4.10872025154995,4.273068904876709,250642,0.0,0.0,4.073385119438171,,,4.9021582684546,,,68.4532408425786
2020-07-27,4.897594451904297,5.42351052157833,4.749680667512937,4.897594451904297,2339599,0.0,0.0,4.154737782478333,,,17.879748574237205,,,78.14574677960623
2020-07-28,4.881159812240764,5.4235107718770355,4.81542034947735,5.078378200531006,433498,0.0,0.0,4.254990553855896,,,19.351103986093502,,,79.94908506048122
2020-07-29,5.259162231832835,5.259162231832835,4.930464518873635,5.029073715209961,110997,0.0,0.0,4.3486693620681764,,,15.646265477819451,,,78.17014348457643
2020-07-30,4.9797686663626735,5.029073260068671,4.91402920808801,4.946898937225342,190177,0.0,0.0,4.4349524736404415,,,11.543448698214972,,,75.34458158932384
2020-07-31,4.914029487052163,4.963334083557129,4.897594621550508,4.963334083557129,166369,0.0,0.0,4.524522614479065,,,9.698514218357747,,,75.52351870763862
2020-08-03,4.930464158487453,5.012638482761294,4.930464158487453,4.979768753051758,42019,0.0,0.0,4.623953652381897,,,7.695040379277433,,,75.70183924542548
2020-08-04,5.012638680062095,5.012638680062095,4.897594621550508,4.963334083557129,39925,0.0,0.0,4.714345526695252,,,5.281508439548296,,,75.14820430492904
2020-08-05,4.881159920705473,5.111248045490232,4.881159920705473,5.029073715209961,230578,0.0,0.0,4.826924514770508,,,4.187950315379315,,,75.86226059403157
2020-08-06,5.02907315097066,5.07837774360707,4.97976855833425,4.996203422546387,57317,0.0,0.0,4.915672826766968,,,1.6382415717521217,,,74.7759218790359
2020-08-07,4.946899578913263,5.012639045715332,4.881160112111194,5.012639045715332,63035,0.0,0.0,4.98962984085083,,,0.46114051740116235,,,74.95724645229409
2020-08-10,4.996203983097852,5.045508581266015,4.94689938492969,5.029073715209961,116993,0.0,0.0,5.002777767181397,,,0.525626946714837,,,75.1379660778719
2020-08-11,5.094813379217919,5.111248245918436,4.8975949788117115,5.012639045715332,84497,0.0,0.0,4.996203851699829,,,0.3289536316639903,,,74.5936171043036
2020-08-12,5.012638680062095,5.012638680062095,4.946899218055473,4.963334083557129,26437,0.0,0.0,4.989629888534546,,,-0.5270091282289561,,,72.98941162962646
2020-08-13,4.963334007907094,5.193422513261413,4.963334007907094,5.176987648010254,71417,0.0,0.0,5.012638759613037,,,3.2786900528595826,,,75.31563934613531
2020-08-14,5.176987648010254,5.176987648010254,5.01263860366057,5.176987648010254,9097,0.0,0.0,5.03400411605835,,,2.8403538943440667,,,75.31563934613531
2020-08-17,5.176987623294239,5.324901409848496,5.176987623294239,5.259161949157715,32991,0.0,0.0,5.061943435668946,,,3.896102672721912,,,76.12436999799263
2020-08-18,5.259162145449192,5.259162145449192,4.963334169461183,5.242727279663086,8838,0.0,0.0,5.089882755279541,,,3.002908548826685,,,75.62328085418761
2020-08-19,5.324901409848496,5.341336275021192,5.029073444901887,5.259161949157715,50927,0.0,0.0,5.112891578674317,,,2.86081502477945,,,75.78447072635842
2020-08-20,5.341336300521841,5.390640896275317,5.111247795167523,5.176987648010254,94190,0.0,0.0,5.130970001220703,,,0.8968605698065429,,,73.33265703722256
2020-08-21,5.209857412546383,5.439945527565675,5.209857412546383,5.374206066131592,20521,0.0,0.0,5.167126703262329,,,4.007630831628742,,,75.274094489736
2020-08-24,5.3742061779116135,5.390641043611969,5.1441180581066375,5.324901580810547,24285,0.0,0.0,5.196709489822387,,,2.466793482283746,,,73.91371477230732
2020-08-25,5.324901522478908,5.324901522478908,5.144118001755391,5.20985746383667,16850,0.0,0.0,5.216431331634522,4.583893764019012,,-0.12602232023999207,13.799132357311017,,70.89073944318923
2020-08-26,5.094812481406186,5.193422056070366,5.094812481406186,5.127682209014893,11891,0.0,0.0,5.2328661441802975,4.619434171915055,,-2.0100635534578815,13.279374690405762,,68.85658374210428
2020-08-27,5.094812481406186,5.275596375092132,5.094812481406186,5.127682209014893,39694,0.0,0.0,5.2279356002807615,4.652920228242874,,-1.9176477854946212,12.358160979154281,,68.85658374210428
2020-08-28,5.094813066221859,5.193422652205086,5.012638737767592,5.078378200531006,22507,0.0,0.0,5.218074655532837,4.683941054344177,,-2.6771647441591804,11.403508178081594,,67.66532248580589
2020-08-31,5.0783780646652055,5.176987648010254,5.045508334162888,5.176987648010254,30318,0.0,0.0,5.209857225418091,4.719892346858979,,-0.6309112896121474,10.380848598913001,,68.7584794052627
2020-09-01,5.2098579230699205,5.2098579230699205,5.0290739945727445,5.045508861541748,27865,0.0,0.0,5.190135383605957,4.750296890735626,,-2.786565501182109,9.259179015276626,,65.76089544153626
2020-09-02,5.078378257304581,5.1769878443902115,5.0619433914299945,5.160552978515625,10065,0.0,0.0,5.180274486541748,4.783166670799256,,-0.38070391978956214,8.302194823500402,,67.03261351472668
2020-09-03,5.160552524645768,5.1769873890749105,5.012638352945408,5.111247539520264,8783,0.0,0.0,5.173700475692749,4.812338560819626,,-1.2071231503621858,7.509070908169379,,65.9706679769973
2020-09-04,5.012638849153906,5.160553035496509,5.012638849153906,5.029073715209961,8992,0.0,0.0,5.139187240600586,4.842332226037979,,-2.1426252875300382,6.130414038226684,,64.25507331003644
2020-09-07,5.012638737767592,5.160552920823379,5.012638737767592,5.078378200531006,29736,0.0,0.0,5.114534902572632,4.867189985513687,,-0.706940175996039,5.081883341211702,,64.81031821100191
2020-09-08,5.07837839736423,5.094813263692084,4.930464600413548,5.061943531036377,21228,0.0,0.0,5.099743509292603,4.891842311620712,,-0.7412133215591712,4.249957059695397,,64.47274082249939
2020-09-09,5.012639045715332,5.078378512517401,4.930464712212745,5.012639045715332,56068,0.0,0.0,5.0882391929626465,4.9148511469364164,,-1.4857821022225957,3.527839213081933,,63.46980233204929
2020-09-10,5.029073715209961,5.029073715209961,4.94689938492969,5.029073715209961,91075,0.0,0.0,5.078378343582154,4.9384762942790985,,-0.9708734764612783,2.832899075877362,,63.66035101079538
