Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_DIFF,RSI,MACD
2024-06-10 00:00:00+02:00,304.3192573634037,304.4174308574478,299.41088224463914,303.1412353515625,1512993,0.0,0.0,,,,,
2024-06-11 00:00:00+02:00,303.8284358150522,307.7551361163776,303.2394247781843,304.2210998535156,1488112,0.0,0.0,,,,,
2024-06-12 00:00:00+02:00,305.88993686665435,312.0744774010075,303.63206638518966,310.99462890625,1428759,0.0,0.0,,,,,
2024-06-13 00:00:00+02:00,310.99462648218804,311.7799844533191,304.31924849846234,304.6137390136719,1739405,0.0,0.0,,,,,
2024-06-14 00:00:00+02:00,304.22108316900994,304.7119206797564,296.8585205078125,296.8585205078125,2077180,0.0,0.0,,,,,
2024-06-17 00:00:00+02:00,298.1347071847159,299.60721967336286,292.9318117498242,296.2695007324219,1568193,0.0,0.0,,,,,
2024-06-18 00:00:00+02:00,297.3493759662037,298.42922454669315,290.37947690124,293.91351318359375,1198037,0.0,0.0,,,,,
2024-06-19 00:00:00+02:00,293.5208088001746,294.4043102597442,291.164794921875,291.164794921875,1173067,0.0,0.0,,,,,
2024-06-20 00:00:00+02:00,291.6556422077515,293.81530918621394,290.77214071845583,291.8519592285156,2563150,0.0,0.0,,,,,
2024-06-24 00:00:00+02:00,287.63076781689455,292.342795715882,287.63076781689455,291.7538146972656,1338446,0.0,0.0,,,,,
2024-06-25 00:00:00+02:00,290.96844788938,291.75380582087917,288.71060749779633,289.103271484375,1040681,0.0,0.0,,,,,
2024-06-26 00:00:00+02:00,290.6739500834651,291.26296102770027,286.35458642297556,288.6124267578125,2305288,0.0,0.0,,,,,
2024-06-27 00:00:00+02:00,288.41609988230744,293.52082181016937,287.43442489297576,292.0483093261719,1512330,0.0,0.0,,,,,
2024-06-28 00:00:00+02:00,293.029984283855,294.6988437488759,291.16480779599493,294.1098327636719,4984826,0.0,0.0,,,,,
2024-07-01 00:00:00+02:00,296.7603471139599,297.9383691234859,291.3611344939296,294.7969970703125,3117874,0.0,0.0,,,,38.961040009689526,
2024-07-02 00:00:00+02:00,293.22636038264835,293.422677424982,290.67399916554155,291.9501647949219,2916354,0.0,0.0,,,,36.037726418259616,
2024-07-03 00:00:00+02:00,293.7171872340584,296.465865393441,293.03000271504015,295.3860168457031,2172366,0.0,0.0,,,,41.721186607014495,
2024-07-04 00:00:00+02:00,295.68054062536106,296.1713781563073,292.7355154396835,293.5208435058594,1085532,0.0,0.0,,,,39.66093029056066,
2024-07-05 00:00:00+02:00,294.8951550668754,296.07317701449426,291.6556396484375,291.6556396484375,779507,0.0,0.0,,,,37.658228536002305,
2024-07-08 00:00:00+02:00,291.7538346168455,296.46586283754806,291.45931412908607,295.189697265625,972468,0.0,0.0,295.55780029296875,,,43.4816091217215,
2024-07-09 00:00:00+02:00,294.6006776568653,294.99334167074824,289.49595560135504,290.4776306152344,1252425,0.0,0.0,294.9246200561523,,,38.33925283938345,
2024-07-10 00:00:00+02:00,290.6739703327762,292.53914682083774,288.0234358782434,292.0483093261719,1360227,0.0,0.0,294.3159805297852,,,40.85038235576432,
2024-07-11 00:00:00+02:00,294.0116917961522,298.4292297363281,291.8519945976165,298.4292297363281,1534110,0.0,0.0,293.6877105712891,,,49.795457574239094,
2024-07-12 00:00:00+02:00,298.7236865084767,307.951455351336,297.0548570058746,306.47894287109375,1641224,0.0,0.0,293.78097076416014,,,58.352157846128904,
