Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI_3_months
2020-10-14,31.784151077270508,32.55937576293945,28.29564666748047,29.846092224121094,7077,0.0,0.0,0.0,,,,,,,
2020-10-15,29.846092224121094,30.62131690979004,27.1328125,29.45848274230957,5672,0.0,0.0,0.0,,,,,,,0.0
2020-10-16,29.45848274230957,30.233705520629883,27.520423889160156,27.520423889160156,2013,0.0,0.0,0.0,,,,,,,0.0
2020-10-19,27.520423889160156,30.62131690979004,27.520423889160156,29.07086944580078,4123,0.0,0.0,0.0,,,,,,,40.31304801912307
2020-10-20,29.07086944580078,29.07086944580078,26.357589721679688,28.683258056640625,5227,0.0,0.0,0.0,,,,,,,36.58453482210936
2020-10-21,28.683258056640625,28.683258056640625,25.9699764251709,25.9699764251709,2611,0.0,0.0,0.0,,,,,,,22.109495952720835
2020-10-22,25.9699764251709,27.908035278320312,24.419530868530273,25.9699764251709,2866,0.0,0.0,0.0,,,,,,,22.10949595272082
2020-10-23,27.1328125,27.520423889160156,24.80714225769043,24.80714225769043,1206,0.0,0.0,0.0,,,,,,,18.842243271915066
2020-10-26,28.683258056640625,28.683258056640625,25.582366943359375,26.357589721679688,4709,0.0,0.0,0.0,,,,,,,32.32617070118013
2020-10-27,29.07086944580078,29.07086944580078,26.357589721679688,28.29564666748047,3337,0.0,0.0,0.0,27.597945785522462,,,2.5280899070539213,,,44.07186495024182
2020-10-28,29.45848274230957,29.45848274230957,24.80714225769043,27.908035278320312,2215,0.0,0.0,0.0,27.404140090942384,,,1.8387556978825825,,,42.577287489697
2020-10-29,24.80714225769043,26.74519920349121,24.419530868530273,25.194753646850586,2079,0.0,0.0,0.0,26.977767181396484,,,-6.609196093053396,,,34.33504375345257
2020-10-30,25.582366943359375,25.582366943359375,22.869083404541016,25.582366943359375,275,0.0,0.0,0.0,26.783961486816406,,,-4.486246532457415,,,36.121444311681294
2020-11-02,27.1328125,28.29564666748047,22.869083404541016,26.74519920349121,3001,0.0,0.0,0.0,26.55139446258545,,,0.7299230222309383,,,40.991466254298004
2020-11-03,26.357589721679688,26.74519920349121,23.64430809020996,25.9699764251709,1241,0.0,0.0,0.0,26.280066299438477,,,-1.1799432723432837,,,38.98761950227987
2020-11-04,25.9699764251709,25.9699764251709,23.64430809020996,24.80714225769043,1469,0.0,0.0,0.0,26.16378288269043,,,-5.18518530398574,,,36.29623128203026
2020-11-05,25.582366943359375,27.520423889160156,24.419530868530273,27.1328125,4117,0.0,0.0,0.0,26.28006649017334,,,3.2448396207274417,,,44.100629169629464
2020-11-06,26.74519920349121,27.1328125,25.582366943359375,26.74519920349121,1485,0.0,0.0,0.0,26.473872184753418,,,1.0248860342162303,,,43.20846224131326
