Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2022-06-27,5.429999828338623,5.489999771118164,5.179999828338623,5.429999828338623,940,0.0,0.0,,,,,,,,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-06-28,5.199999809265137,5.400000095367432,5.059999942779541,5.300000190734863,52398,0.0,0.0,,,,,,,0.0,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-06-29,5.25,5.289999961853027,5.099999904632568,5.159999847412109,134599,0.0,0.0,,,,,,,0.0,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-06-30,5.309999942779541,5.309999942779541,5.010000228881836,5.099999904632568,17229,0.0,0.0,,,,,,,0.0,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-07-01,5.0,5.599999904632568,5.0,5.25,10983,0.0,0.0,,,,,,,34.842103027435925,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-07-04,5.25,5.25,4.954999923706055,5.099999904632568,1057,0.0,0.0,,,,,,,25.33560880372133,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-07-05,4.880000114440918,5.099999904632568,4.880000114440918,4.90500020980835,31170,0.0,0.0,,,,,,,18.33280420696876,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-07-06,4.949999809265137,5.170000076293945,4.949999809265137,5.0,459,0.0,0.0,,,,,,,28.675896144060673,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-07-07,5.0,5.570000171661377,5.0,5.300000190734863,130352,0.0,0.0,,,,,,,50.14780291795179,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
2022-07-08,5.199999809265137,5.400000095367432,5.199999809265137,5.25,160175,0.0,0.0,5.179500007629395,,,1.3611350954099573,,,47.57701475669329,5.553,0.017,0.0035499998,0.21679,0.02027,22.699,0.9733416,,TradeDoubler AB (publ),Communication Services,"TradeDoubler AB (publ), together with its subsidiaries, provides performance marketing and technology solutions for publishers and advertisers in Europe. The company offers affiliate marketing solutions; white-label partner management platform to manage and run affiliate networks; campaign management solutions; and business intelligence solutions. It also provides influencer marketing; mobile marketing to engage customers via mobile devices; app marketing; lead generation campaigns; programmatic advertising; referral and partner marketing; SaaS partner marketing; and e-mail marketing solutions. In addition, the company offers C2C display advertising that promotes products and services to customers through e-commerce marketplaces and social media; CTV marketing that targets audiences via internet-connected TVs, smart TVs, and streaming services; and Metapic, an influencer network platform. It serves e-commerce companies, brands, agencies, and digital platforms. The company also operates in Germany, Switzerland, France, the Netherlands, Sweden, Norway, Denmark, Finland, Poland, Italy, Brazil, Spain, the United Kingdom, and Ireland. The company was incorporated in 1999 and is headquartered in Stockholm, Sweden. Tradedoubler AB (publ) is a subsidiary of Reworld Media Société Anonyme."
