Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_DIFF,RSI
2023-06-12,48.50554159874339,53.22135579750742,46.2919921875,46.2919921875,133198,0.0,0.0,,,,
2023-06-13,46.436351919767574,47.15816049883132,45.37770080566406,45.37770080566406,35174,0.0,0.0,,,,0.0
2023-06-14,45.425822916395475,46.291991051829044,43.934085845947266,43.934085845947266,63663,0.0,0.0,,,,0.0
2023-06-15,44.70401357569297,44.70401357569297,42.63482744389561,43.35663604736328,84573,0.0,0.0,,,,0.0
2023-06-16,43.549117450808346,43.93408349348245,42.82730887427561,42.97167205810547,22533,0.0,0.0,,,,0.0
2023-06-19,41.38369285769579,41.38369285769579,38.49645847227515,39.45886993408203,143414,0.0,0.0,,,,0.0
2023-06-20,39.555112699442255,39.94007878273911,38.4964614773389,38.737064361572266,47984,0.0,0.0,,,,0.0
2023-06-21,39.31450623937603,39.69947228765847,38.400218299494796,39.02578353881836,33130,0.0,0.0,,,,4.576942153685479
2023-06-22,39.45886890511716,39.98819446104609,38.40021779325927,38.59269714355469,65879,0.0,0.0,,,,4.261836766296426
2023-06-26,39.314509815208886,39.314509815208886,37.67841313946891,38.737064361572266,89291,0.0,0.0,,,,6.570928400717648
2023-06-27,38.97766310981563,39.940074544625894,38.25585453370793,38.44833755493164,129186,0.0,0.0,,,,6.246445202108887
2023-06-28,38.59270213309574,40.22880252129147,38.59270213309574,39.747596740722656,63918,0.0,0.0,,,,24.35013194318573
2023-06-29,39.747595188774724,39.84383854391591,37.967135338711785,38.15961837768555,86180,0.0,0.0,,,,19.415440530047974
2023-06-30,38.59269510989112,39.02578096785065,38.49645543981482,38.9776611328125,33331,0.0,0.0,,,,27.559757736279423
2023-07-03,38.929541908768904,39.89195330986921,38.737058894287216,39.55510711669922,40021,0.0,0.0,,,,32.72815876817974
2023-07-04,39.55511235098772,41.19121268362339,39.55511235098772,40.8543701171875,135845,0.0,0.0,,,,42.64392196592711
2023-07-05,40.46940226077505,41.52805709838867,39.41075109446989,41.52805709838867,266488,0.0,0.0,,,,47.005738957444805
2023-07-06,41.576176481772734,42.153621898631464,39.74759320953939,40.03631591796875,264556,0.0,0.0,,,,39.78998416146058
2023-07-07,40.036315878191246,41.094970703125,40.036315878191246,41.094970703125,62822,0.0,0.0,,,,46.11216855958071
2023-07-10,41.383693082911215,41.768659138252346,39.603233337402344,39.603233337402344,34101,0.0,0.0,40.72444171905518,,,39.774546451005655
2023-07-11,40.036320088436824,41.768663862083116,39.65135766086672,41.672420501708984,54291,0.0,0.0,40.493463134765626,,,50.03308355015427
2023-07-12,40.13256076349253,43.26039817584265,40.13256076349253,42.68294906616211,45996,0.0,0.0,40.35872554779053,,,54.14136318547905
2023-07-13,42.39422524908389,43.54911976722787,42.15362237744175,42.73107147216797,79990,0.0,0.0,40.29857482910156,,,54.33391810593508
2023-07-14,43.16415608743181,43.16415608743181,41.816782134624205,42.634830474853516,29413,0.0,0.0,40.262484550476074,,,53.8469594050014
2023-07-17,42.63482660172651,42.63482660172651,41.335572609672326,41.43181228637695,47376,0.0,0.0,40.18549156188965,,,48.04986896211906
2023-07-18,41.43181529753174,43.50100153883929,41.33557561383266,43.11603546142578,35001,0.0,0.0,40.36834983825683,,,55.304636394424456
2023-07-19,43.500996572281515,45.52205906968394,43.500996572281515,45.425819396972656,34559,0.0,0.0,40.70278759002686,,,62.94683848227736
2023-07-20,46.34011224441572,46.34011224441572,44.655892226600315,45.37770080566406,49990,0.0,0.0,41.02038345336914,,,62.706295098145574
2023-07-21,45.28145428075113,46.05138264345042,44.655889092255215,45.955142974853516,50886,0.0,0.0,41.38850574493408,,,64.46138846655049
2023-07-24,45.955147855870415,47.639367934357814,45.955147855870415,46.96567916870117,54441,0.0,0.0,41.79993648529053,,,67.35664802009342
2023-07-25,46.96568063309227,46.96568063309227,45.858909606933594,45.858909606933594,50966,0.0,0.0,42.170465087890626,,,61.45176342602343
2023-07-26,45.47393963153546,46.91755676269531,45.18521693956513,46.91755676269531,31691,0.0,0.0,42.52896308898926,,,64.64452397330356
2023-07-27,47.879975031071645,47.879975031071645,45.90703207058572,46.0513916015625,48380,0.0,0.0,42.92355175018311,,,60.24772466820816
2023-07-28,46.00326787744204,46.00326787744204,45.04085640020975,45.90702819824219,26148,0.0,0.0,43.27002010345459,,,59.52108876756919
2023-07-31,46.19575174029959,46.43635461394699,45.23334024571002,45.57018280029297,30582,0.0,0.0,43.570773887634275,,,57.77027941018909
2023-08-01,45.570181950659126,45.666425301108774,44.65589398489228,44.70401382446289,42000,0.0,0.0,43.76325607299805,,,53.418967910132274
2023-08-02,44.46341599643752,44.80025858293046,43.78972715214278,44.65589904785156,35672,0.0,0.0,43.91964817047119,,,53.179350006570004
2023-08-03,45.61830777029871,45.8107871383226,44.75213592895675,45.66642761230469,15816,0.0,0.0,44.20115375518799,,,57.492045383357365
2023-08-04,45.714547422208575,46.869441986083984,45.61830773826421,46.869441986083984,50988,0.0,0.0,44.48987731933594,,,61.9816816104796
2023-08-07,46.291991846429994,46.58071823450563,45.088977467143266,45.858909606933594,51069,0.0,0.0,44.8026611328125,,,56.57614971434893
2023-08-08,45.425821439673236,46.29198954694904,45.377701601153746,46.099510192871094,15266,0.0,0.0,45.02401561737061,,,57.52594484041642
2023-08-09,46.09950614905689,47.01379401465154,45.955142974853516,45.955142974853516,28621,0.0,0.0,45.187625312805174,,,56.724217467566966
2023-08-10,46.2438735504922,48.313059820518696,46.2438735504922,47.4468879699707,73306,0.0,0.0,45.42341613769531,,,62.53459171288448
2023-08-11,47.44689134548936,47.44689134548936,46.86944585158188,47.0138053894043,33288,0.0,0.0,45.64236488342285,,,60.01528046175053
2023-08-14,47.01379929084225,48.794262730164185,46.91755961144471,47.25440216064453,62523,0.0,0.0,45.93349437713623,,,60.95633723068476
2023-08-15,48.1205733364852,48.1205733364852,45.473941802978516,45.473941802978516,201523,0.0,0.0,46.05138969421387,,,51.32889575961309
2023-08-16,44.27092970178482,45.281461058542114,44.27092970178482,45.233341217041016,22333,0.0,0.0,46.04176578521729,,,50.17561827802195
2023-08-17,45.47394040346032,45.47394040346032,43.88596006370506,44.174686431884766,43769,0.0,0.0,45.98161506652832,,,45.347603415206336
2023-08-18,44.174684290707305,44.174684290707305,42.05737849743033,42.44234085083008,97957,0.0,0.0,45.80597496032715,,,38.77299273945523
2023-08-21,42.44234672207904,42.44234672207904,40.71000671386719,40.71000671386719,74489,0.0,0.0,45.49319133758545,43.246922454833985,5.194054871990979,33.53676337648221
2023-08-22,40.90248795442803,41.86489943570869,40.661885084107865,41.38369369506836,41584,0.0,0.0,45.269430541992186,43.14875648498535,4.914797620517239,37.09461891483862
2023-08-23,41.768657163013565,41.81677699982852,41.046848596864535,41.3355712890625,20476,0.0,0.0,44.99033126831055,43.06791389465332,4.463688160888341,36.94249171565344
2023-08-24,41.67241381807543,42.49046572916259,41.287451452247545,41.3355712890625,32927,0.0,0.0,44.754540252685544,43.01594360351562,4.041749415507017,36.94249171565344
2023-08-25,41.43181967675108,41.72054242967405,41.09497707689246,41.143096923828125,15614,0.0,0.0,44.516343688964845,42.97167282104492,3.594625869820548,36.25283517072387
2023-08-28,41.383696197876255,41.57617924003509,40.95061027084605,41.28745651245117,32178,0.0,0.0,44.30220737457275,42.93798851013184,3.177183915168749,37.19978126475141
2023-08-29,41.67241381807543,43.26039413212657,41.09496843367949,41.3355712890625,47132,0.0,0.0,44.133785247802734,42.97552253723145,2.695168417249228,37.532849792823136
2023-08-30,41.72053365489038,42.153619528841446,41.14308827049445,41.3355712890625,57205,0.0,0.0,43.967768859863284,43.02749267578125,2.185291602202254,37.532849792823136
2023-08-31,41.33557590624498,42.68294984410653,41.33557590624498,42.201744079589844,90161,0.0,0.0,43.79453468322754,43.09101188659668,1.632643945522396,43.76030778302681
2023-09-01,41.96113660582274,43.019791374703566,41.23932803803009,42.5385856628418,65799,0.0,0.0,43.57799186706543,43.16992965698242,0.9452464095387025,46.01425657849571
2023-09-04,42.5385863964298,43.21227513891584,41.81677781618939,42.05738067626953,33941,0.0,0.0,43.387915420532224,43.23633598327637,0.35058344748381276,43.34187825261353
2023-09-05,41.67241689790966,42.53858870982692,41.23933099195103,41.81678009033203,23880,0.0,0.0,43.17377891540527,43.303704833984376,-0.30003418662954595,42.02758813192221
2023-09-06,41.431815058108675,42.009264170892024,40.99872914134832,41.624298095703125,32356,0.0,0.0,42.95723667144775,43.34123886108399,-0.8859972620234197,40.95755877769126
2023-09-07,41.14308885897278,42.442342828101246,41.14308885897278,41.91301727294922,42607,0.0,0.0,42.68054313659668,43.41630683898926,-1.6946713250419423,43.28989872923852
2023-09-08,42.10550252158995,42.34610539314189,41.33557406688543,41.52805709838867,23623,0.0,0.0,42.4062557220459,43.46731475830078,-2.441050343585477,40.96620880727219
2023-09-11,41.864903551148444,42.39422918362534,41.046855180166766,41.672420501708984,164823,0.0,0.0,42.12715663909912,43.50966102600098,-3.177465312992637,42.21878532190448
2023-09-12,41.57617651124477,42.201741768067095,40.80624806445121,41.23933029174805,86959,0.0,0.0,41.915426063537595,43.51736022949219,-3.6811381883153556,39.51033870247666
