Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2022-06-27,169.82778930664062,169.82778930664062,169.82778930664062,169.82778930664062,8,0.0,0.0,,,,,,,,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-06-28,168.86285749893614,172.7225799560547,168.86285749893614,172.7225799560547,98,0.0,0.0,,,,,,,100.0,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-06-29,172.24011822665378,172.24011822665378,166.45053442071585,170.3102569580078,664,0.0,0.0,,,,,,,52.702728981309235,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-06-30,164.52065696918143,182.3718719482422,164.0381916994771,182.3718719482422,3004,0.0,0.0,,,,,,,86.66471486741062,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-07-01,178.5121612121411,178.5121612121411,169.82778580182074,172.2401123046875,10038,0.0,0.0,,,,,,,52.537993027555395,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-07-04,172.24012483426225,178.0297088623047,172.24012483426225,178.0297088623047,6751,0.0,0.0,,,,,,,61.79585756813637,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-07-05,154.87135351489403,161.14340209960938,154.3888882391467,161.14340209960938,154,0.0,0.0,,,,,,,38.31866541520486,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-07-06,163.07327043805805,173.20504167829242,163.07327043805805,168.86285400390625,377,0.0,0.0,,,,,,,48.03748326996093,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-07-07,174.65245193309997,174.65245193309997,167.89793721745522,171.75765991210938,683,0.0,0.0,,,,,,,51.14616331398282,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
2022-07-08,175.13490286690848,175.13490286690848,168.86285400390625,168.86285400390625,67,0.0,0.0,171.61290893554687,,,-1.6024755647452285,,,48.05040141121817,0.14,0.129,0.07453,0.28959998,0.13607,78.047,3.7540927,19.58763,Exsitec Holding AB (publ),Technology,"Exsitec Holding AB (publ) provides digital solutions to medium-sized companies in Sweden, Norway, Denmark, and Finland. It offers ERP systems; AP automation; cloud-based payroll system; budget and forecasting; analytics and reporting; CRM system; procurement; warehouse management; service, construction, and contracting system; integrations; application development; IT operations; e-commerce; project management; and digital marketing. The company was founded in 2000 and is based in Linköping, Sweden."
