Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,debtToEquity_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_40_%_D_rank,40_120_%_D_rank,RSI_3_months_rank
AQ,40.2,45.2,65.5,56.9,82.2,88.9,71.8,29.2,57.7,10.0,23.6,76.6,77.8,80.6
BERG-B,,53.4,33.1,53.0,41.1,44.4,21.4,25.9,19.2,15.8,36.8,26.4,53.3,52.4
BTS-B,15.3,48.3,77.5,48.1,90.4,82.2,62.3,36.0,33.4,44.6,75.2,53.5,19.0,32.1
BUFAB,67.9,42.3,64.8,28.5,82.7,82.4,27.2,25.3,73.2,14.6,40.4,78.4,48.4,71.0
AJA-B,,,30.3,99.4,43.3,94.4,98.8,74.5,6.6,5.0,40.3,87.2,39.5,68.9
CCC,1.6,25.2,43.4,58.8,58.8,70.8,48.4,3.3,2.3,,7.5,74.6,39.0,42.2
COOR,35.7,35.8,39.4,9.8,63.5,66.9,7.1,37.3,59.6,41.2,80.1,62.7,85.3,80.9
CTT,3.6,12.0,85.6,85.4,89.1,95.2,74.0,12.4,26.4,40.4,66.7,64.1,28.5,40.2
ELAN-B,,37.3,38.3,14.4,49.2,49.7,4.2,87.6,71.7,90.0,61.8,51.4,13.4,13.7
EPEN,21.3,26.4,62.1,58.4,73.6,76.9,42.7,41.2,43.6,13.3,77.3,42.0,29.0,51.5
EWRK,13.7,18.5,39.2,5.7,96.8,60.5,33.3,21.0,60.7,89.2,42.8,10.0,15.7,6.3
FAG,17.3,23.3,50.9,40.9,53.7,62.3,43.5,69.3,51.8,59.2,50.6,36.9,32.0,17.7
FG,,61.1,36.7,55.8,44.6,56.0,16.7,81.0,74.4,79.2,21.7,93.0,57.1,39.3
FMM-B,77.5,51.7,61.2,36.6,73.1,77.2,80.0,42.1,42.1,59.6,58.9,71.9,86.5,86.3
GREEN,,22.4,46.4,63.8,70.5,72.8,8.5,43.7,51.2,,51.0,51.9,40.8,38.6
HANZA,61.0,51.0,45.3,44.5,63.8,62.6,19.0,41.6,40.2,9.6,91.6,73.7,66.3,86.5
INSTAL,12.0,39.2,44.1,59.7,64.6,66.3,22.4,48.9,59.0,48.3,77.4,15.2,15.0,17.3
IVSO,25.3,55.5,81.6,62.8,95.3,98.7,89.3,7.6,9.7,5.4,83.5,21.9,49.3,71.5
INWI,83.1,58.7,61.7,24.0,73.4,80.1,52.4,44.6,36.2,46.7,76.0,32.9,72.4,80.0
ITAB,8.0,89.4,49.1,24.6,61.4,61.1,23.2,58.5,43.1,50.8,82.3,10.4,80.2,56.2
KAR,,52.2,44.5,44.9,49.5,48.5,23.8,23.3,7.0,,80.6,88.3,73.6,93.5
MILDEF,,83.2,19.3,54.3,28.3,69.8,45.8,17.8,6.8,0.4,60.7,4.3,88.7,68.7
MMGR-B,50.6,59.6,61.4,53.2,90.7,90.5,31.5,10.7,16.1,7.9,60.2,23.8,49.5,48.9
NMAN,24.1,39.9,57.8,40.7,75.6,75.6,24.8,42.2,44.6,38.3,69.9,21.5,22.7,27.0
NOTE,51.0,31.0,62.5,11.5,83.5,85.5,53.4,33.5,37.6,66.2,84.0,79.8,63.3,85.1
PCELL,,81.0,22.7,32.2,31.5,23.4,83.5,29.8,97.7,,73.0,33.3,16.0,29.4
REJL-B,49.4,57.5,57.0,36.2,74.4,81.2,54.0,45.0,39.1,42.9,31.3,69.6,86.9,89.7
SDIP-B,20.5,46.6,61.6,30.1,69.4,77.6,19.2,51.0,44.2,,55.6,17.2,68.5,32.5
SDIP-PREF,20.5,46.6,61.6,30.1,69.4,77.6,19.2,66.4,,85.4,36.3,53.1,65.6,80.2
VOLO,95.6,63.5,50.6,40.1,77.9,73.6,10.7,25.5,24.9,22.9,21.6,38.7,81.4,69.2
VOLO-PREF,95.6,63.5,50.6,40.1,77.9,73.6,10.7,4.3,,84.6,39.8,56.7,60.6,94.7
XANO-B,94.0,55.0,53.0,17.9,64.1,58.5,,48.0,,23.3,86.7,88.6,40.6,61.4
ARISE,,13.5,87.9,98.0,56.1,48.2,58.9,79.7,72.1,63.3,21.2,65.3,41.9,35.6
ARP,,20.2,42.8,12.8,51.7,45.7,70.4,60.1,69.3,96.2,27.6,10.2,10.0,4.2
BEIA-B,54.2,55.0,71.4,29.4,85.2,82.7,32.5,33.6,25.8,23.3,71.4,72.5,85.4,89.9
NPAPER,57.8,50.5,71.8,57.5,95.8,93.2,22.8,36.1,63.4,92.1,94.4,92.4,76.1,99.9
RROS,,30.5,32.4,35.7,40.7,36.9,55.0,94.1,77.2,85.8,3.9,1.3,3.9,0.3
VISC,,83.4,19.7,99.4,38.6,33.6,93.3,65.5,91.8,,40.2,12.4,26.6,23.0
ACAD,60.6,56.7,53.2,29.6,75.4,74.1,6.2,61.5,67.2,35.4,59.6,45.2,76.2,82.9
ALLIGO-B,29.7,45.2,47.9,42.1,63.3,63.5,24.4,57.0,64.5,23.8,33.1,33.0,20.6,25.0
BHG,,59.6,25.6,14.6,33.8,34.2,48.0,81.5,30.2,,44.3,14.8,69.3,63.3
BONAV-A,,22.4,23.9,7.4,34.2,38.0,39.5,86.1,8.9,,69.1,65.8,86.1,76.0
BONAV-B,,22.4,23.9,7.4,34.2,38.0,39.5,85.8,8.7,,83.7,61.8,88.3,83.7
BOOZT,85.1,44.2,54.2,26.8,76.3,76.1,58.5,52.7,46.5,,47.0,12.3,9.4,7.3
BMAX,,54.1,42.4,34.0,55.4,54.3,18.5,61.6,41.0,18.8,45.0,37.0,68.2,70.0
CLAS-B,84.7,54.8,65.7,39.4,97.5,95.0,33.9,13.2,20.3,16.2,47.4,90.5,87.3,97.3
G2M,,22.8,10.4,99.4,92.3,92.9,,100.0,7.2,,9.7,13.0,8.4,3.1
KABE-B,10.8,25.7,54.0,10.9,65.2,66.1,83.9,62.2,,20.8,55.7,53.2,20.5,17.5
MEKO,42.2,52.4,45.1,49.9,62.6,67.8,22.0,71.9,67.9,62.1,27.1,15.3,33.7,21.3
MTG-A,,89.2,31.6,80.4,42.8,59.5,48.8,65.0,,,84.4,63.9,50.5,81.9
MTG-B,,89.2,31.6,80.4,42.8,59.5,48.8,64.4,49.7,,88.9,62.6,51.7,86.0
NOBI,,30.0,22.0,36.4,23.9,,15.9,81.3,14.8,,76.2,82.4,62.6,57.6
PRFO,2.0,32.5,79.2,90.9,91.4,93.0,35.1,40.4,70.0,94.6,56.7,24.7,7.1,5.8
RVRC,34.5,42.5,80.5,69.1,90.2,97.0,94.6,28.6,45.0,47.9,64.1,21.6,49.1,45.3
RUSTA,,61.8,53.6,46.2,93.1,79.7,2.8,17.9,39.3,19.6,40.7,29.0,56.8,54.9
SHOT,,45.2,50.2,57.1,95.5,65.0,0.8,16.7,42.7,56.2,78.9,72.7,62.3,88.1
SKIS-B,44.2,29.3,74.8,84.1,77.8,83.6,30.6,36.4,35.5,25.0,32.2,14.9,50.7,32.0
SF,,22.6,7.6,50.8,12.3,51.5,35.5,89.8,76.3,,7.4,63.3,83.2,48.5
SYNSAM,66.3,58.7,59.5,82.8,80.0,82.6,12.7,34.1,46.7,59.6,43.8,79.9,78.9,81.8
VBG-B,20.1,21.6,69.9,30.7,76.6,84.4,56.9,55.6,59.2,49.2,76.5,29.4,20.9,24.4
VESTUM,,26.2,31.4,56.4,42.6,47.5,51.6,70.8,50.3,,64.3,12.7,57.2,47.0
CINT,,36.8,29.5,93.9,41.9,40.4,63.1,17.3,6.1,,90.8,33.5,32.4,34.3
DUST,,48.1,21.0,12.0,18.2,39.7,23.4,94.2,78.0,,93.7,69.0,4.5,2.6
DYVOX,85.9,79.1,65.3,76.0,97.3,89.4,7.3,3.9,9.3,,52.2,88.1,96.2,99.0
ENEA,,53.1,76.9,85.0,61.1,72.6,67.3,77.6,47.6,,82.0,37.3,9.3,17.8
IAR-B,7.6,49.8,80.9,44.7,87.0,92.5,80.8,34.2,41.4,17.1,32.8,54.8,21.3,28.9
KNOW,22.9,25.2,40.9,11.8,48.1,47.2,64.5,75.7,51.4,23.8,29.8,26.8,31.8,22.8
LIME,63.5,60.1,78.6,53.6,94.4,92.0,34.5,7.3,11.2,11.2,61.5,52.7,79.5,76.5
PRIC-B,,15.4,56.2,21.6,72.9,79.9,57.5,79.0,71.9,,28.8,8.0,5.4,2.3
PACT,35.3,43.3,55.3,23.3,87.4,71.3,43.8,41.9,53.5,37.1,18.5,19.2,43.6,18.4
HTRO,72.3,50.5,56.8,44.0,70.0,74.3,32.1,60.6,67.7,,65.1,25.8,17.1,17.1
NETI-B,,16.6,65.0,66.0,61.6,69.6,93.1,45.2,11.4,,89.3,93.9,5.0,14.4
VPLAY-A,,26.7,29.9,10.2,29.3,36.5,26.8,52.3,,,89.9,85.1,21.1,7.4
VPLAY-B,,26.7,29.9,10.2,29.3,36.5,26.8,72.9,91.5,,91.0,86.3,25.7,14.2
MSON-A,12.4,40.6,39.8,26.6,47.0,48.3,69.0,86.5,40.4,21.7,33.9,62.0,60.5,84.7
MSON-B,12.4,40.6,39.8,26.6,47.0,48.3,69.0,90.7,78.2,37.5,58.1,44.7,58.9,58.5
CTEK,9.2,51.4,27.5,60.6,36.9,61.0,41.3,55.4,38.1,,51.2,77.1,71.1,59.7
MAHA-A,48.6,24.5,36.0,72.8,21.9,31.2,97.6,21.9,94.1,,19.1,68.4,7.9,9.6
ACRI-A,97.6,52.2,91.5,73.9,58.9,56.6,21.8,74.4,,77.5,27.5,78.1,91.7,78.9
ACRI-B,97.6,52.2,91.5,73.9,58.9,56.6,21.8,75.4,,78.8,41.2,81.2,90.0,93.6
ANNE-B,,40.1,76.5,82.4,47.5,54.2,25.0,88.0,49.0,,30.1,66.8,53.1,49.4
FASTAT,,8.4,7.0,60.1,10.6,34.9,1.4,92.1,81.6,,16.9,5.7,31.4,29.1
K2A-B,,38.5,12.3,81.5,35.9,49.0,5.8,93.0,20.1,,45.3,46.5,28.6,26.2
K2A-PREF,,38.5,12.3,81.5,35.9,49.0,5.8,13.9,,97.9,67.2,44.3,28.3,39.0
HAV-B,,98.6,70.3,99.4,45.1,39.0,,56.9,,89.6,83.3,72.8,18.4,59.1
MANG,,24.5,35.8,91.5,43.9,38.2,49.8,24.9,,14.6,39.1,80.8,44.1,44.9
NAXS,100.0,99.0,97.3,99.4,50.8,47.0,,84.1,,93.3,57.6,32.1,58.0,48.8
QLIRO,,50.0,24.1,5.2,37.5,36.4,,71.4,25.4,,86.2,87.6,26.1,60.6
SEAF,,29.8,19.9,50.6,26.4,38.4,49.2,91.6,31.3,,63.7,58.2,44.6,46.0
STWK,,38.0,33.0,65.6,38.4,65.8,6.9,82.2,98.3,,25.2,64.4,67.7,70.7
SFAB,28.5,28.8,77.1,83.9,93.9,85.7,,38.1,,85.0,47.2,49.2,57.3,62.8
ACTI,,,36.0,5.2,3.5,2.7,85.3,11.4,,,6.8,87.4,98.7,50.2
ATORX,,1.0,36.0,0.6,,0.3,,97.5,98.5,,97.0,97.0,0.1,13.0
ACE,,,36.0,5.2,5.9,7.6,47.8,15.9,96.2,,36.2,74.0,93.8,71.4
BOUL,,13.9,9.8,51.6,9.8,88.2,17.3,49.3,66.8,,77.5,65.5,33.1,57.4
CRAD-B,,40.1,63.4,76.5,71.5,93.9,89.1,29.6,38.3,,71.3,83.0,74.5,76.9
CANTA,,,36.0,5.2,4.7,2.8,,24.0,83.9,,94.6,5.3,19.2,10.4
CARA,,76.0,22.2,90.6,38.7,33.1,86.9,41.0,11.8,,72.1,89.6,85.0,96.7
DEDI,24.9,17.1,47.0,13.1,79.3,63.8,80.2,58.2,75.7,79.6,10.7,79.3,22.4,19.5
EGTX,,49.0,36.0,66.4,11.6,12.1,64.1,28.9,13.1,,90.7,92.5,11.0,54.0
EPIS-B,,86.8,36.0,1.1,7.7,5.1,78.2,73.8,82.9,,73.3,6.2,21.0,9.1
EQL,89.6,82.0,75.6,43.6,89.6,86.2,6.0,10.1,17.1,,51.4,84.6,76.0,88.7
IMMNOV,,23.6,36.0,99.4,1.3,0.8,97.2,29.9,80.5,,8.0,90.0,59.8,23.5
IBT-B,,,36.0,5.2,15.0,10.6,,25.2,,,14.7,9.5,92.5,44.2
IRLAB-A,,,8.5,3.3,3.4,13.1,1.0,1.9,94.7,,0.6,2.7,5.9,5.0
ISOFOL,,,36.0,5.2,16.2,11.0,,44.0,92.6,,9.2,2.3,6.0,11.4
KDEV,,62.7,36.0,99.4,41.4,34.4,98.6,94.8,90.1,,90.3,37.7,48.0,43.6
MVIR,,69.7,36.0,5.2,12.1,9.5,80.4,54.2,83.7,,15.4,18.3,16.9,15.4
IMMU,,7.2,36.0,5.2,27.9,21.9,88.7,84.6,92.0,,91.9,97.3,16.4,65.5
MOB,,96.6,36.0,71.2,20.4,10.5,96.4,85.0,96.8,,87.9,66.7,46.3,27.3
NICA,,92.3,0.2,15.3,5.2,11.8,31.2,55.7,75.5,,29.5,52.8,7.2,6.4
ONCO,,94.7,36.0,96.7,,2.0,,99.3,85.0,,40.6,4.9,69.0,15.0
ORX,,49.0,12.9,92.6,,21.4,,98.2,87.7,,16.7,94.6,58.4,77.8
QLINEA,,92.1,36.0,2.0,5.1,3.2,51.0,48.7,81.4,,76.7,93.1,0.9,1.2
SANION,,87.3,96.8,98.7,99.8,99.8,86.3,23.1,,,89.7,92.7,89.1,90.4
SEZI,,91.3,3.2,38.4,21.0,17.3,82.1,44.7,92.4,,65.0,55.1,32.3,40.3
SYNACT,,,36.0,5.2,17.3,13.5,94.8,22.7,90.9,,94.2,20.7,80.8,77.3
VICO,,0.2,36.0,99.4,19.9,14.1,,53.0,87.5,,22.5,16.5,64.0,25.9
VIVE,,,36.0,5.2,25.6,20.3,,77.2,85.2,,33.2,43.1,40.2,34.0
XBRANE,,97.1,10.0,88.0,16.7,25.1,35.3,51.1,49.5,,85.3,72.9,93.2,1.7
XSPRAY,,,36.0,5.2,19.4,14.5,66.7,33.0,95.3,,98.4,95.7,73.8,84.1
ARPL,30.9,86.1,60.2,19.0,80.8,86.5,68.8,55.0,41.9,52.5,62.4,62.2,58.7,70.5
BALCO,,34.1,31.1,12.2,39.2,44.2,41.5,77.3,71.2,,84.6,75.0,7.3,12.5
BERNER-B,74.7,34.9,54.9,39.6,83.8,77.9,33.1,27.4,37.2,22.5,24.0,70.1,95.1,92.3
BONG,9.2,32.9,33.9,13.9,40.2,42.0,36.1,93.8,68.5,,32.4,50.4,41.7,38.1
CNCJO-B,,24.0,26.1,39.7,37.7,34.6,80.6,82.5,25.6,,21.8,40.4,55.9,44.5
ELTEL,,33.2,35.0,10.0,42.9,65.6,35.7,11.7,0.4,,92.9,89.1,90.9,97.4
FNM,,45.2,25.2,15.2,27.1,39.2,10.3,89.3,68.1,,68.7,58.7,14.6,19.6
HAKI-A,,55.8,44.9,34.6,52.9,57.6,28.8,67.4,,29.2,43.5,47.2,42.5,49.6
HAKI-B,,55.8,44.9,34.6,52.9,57.6,28.8,71.3,62.6,35.8,26.2,50.9,35.2,36.6
IS,,43.8,48.5,78.4,57.6,50.8,73.8,57.8,60.5,,77.1,39.1,17.2,53.9
INFREA,,75.7,34.7,31.8,42.3,39.5,40.7,78.1,55.6,54.2,54.5,92.2,86.6,95.4
INISS-B,0.8,18.8,43.0,48.6,58.6,60.0,30.2,62.7,64.7,33.8,31.1,82.0,33.9,51.0
KARNEL-B,96.4,74.0,62.3,64.5,64.8,76.2,40.7,40.6,,,33.3,78.5,79.9,80.5
MEAB-B,,23.1,26.5,49.5,35.0,32.7,60.3,70.2,74.2,72.5,17.1,32.5,49.9,38.8
NETEL,,45.0,32.0,35.5,56.9,61.6,24.6,91.0,75.9,,45.5,18.4,11.7,11.6
NGS,,18.0,18.4,5.9,13.1,27.9,59.9,78.2,,,39.3,26.3,41.6,30.2
PION-B,,15.9,27.7,6.3,20.2,26.1,71.2,47.4,,68.8,34.5,40.3,43.8,39.8
PENG-B,4.4,23.8,40.0,89.3,47.3,45.2,59.3,85.3,58.4,,36.7,99.0,93.0,98.3
RAIL,45.0,34.4,56.4,77.6,72.1,70.4,7.5,47.1,63.8,47.1,17.2,59.3,55.2,47.8
SINT,67.1,19.5,88.8,80.0,94.6,99.2,92.5,14.8,32.3,75.0,48.8,77.6,73.9,82.8
SVIK,51.4,55.3,40.2,21.3,50.2,56.3,49.4,31.6,30.7,15.4,80.0,94.3,67.8,92.9
SVED-B,51.8,47.6,66.1,51.8,73.7,83.7,44.8,50.1,43.8,47.5,34.6,74.4,82.7,87.5
TRANS,,69.2,36.9,59.9,47.1,54.7,32.3,65.9,64.1,,27.4,47.4,55.8,47.2
WTW-A,,21.9,30.9,80.6,40.6,38.5,60.5,84.3,,29.6,12.4,10.6,49.7,9.5
WISE,,15.1,29.0,45.5,24.1,30.9,28.0,49.2,,,76.6,27.5,43.0,39.2
WBGR-B,,78.8,26.7,5.4,24.6,31.1,34.1,88.3,77.6,,11.1,87.8,6.8,3.3
BEGR,,19.7,32.6,9.6,38.9,31.9,39.3,91.9,77.8,,33.6,36.5,25.6,18.6
DURC-B,93.2,40.6,37.7,44.4,49.7,42.2,62.1,86.2,,26.2,63.3,58.0,45.3,49.7
NORB-B,,58.2,38.6,27.0,47.6,44.7,14.1,88.4,69.1,,66.8,57.4,24.5,19.9
PROF-B,81.1,58.4,56.6,11.1,85.5,86.4,71.6,52.4,,51.2,88.0,91.7,92.7,97.9
ATIC,,52.4,39.0,70.8,52.5,58.6,2.2,39.4,3.4,,61.1,8.5,99.1,83.8
BORG,81.9,56.5,68.8,57.9,90.1,84.9,50.0,28.7,44.8,74.2,50.5,63.5,72.7,75.6
BULTEN,2.8,28.4,40.7,15.9,57.4,61.3,26.0,83.1,73.4,69.6,58.4,56.5,29.4,36.8
CTM,,9.9,7.2,30.9,23.1,36.0,70.0,56.1,79.7,,57.8,39.9,4.1,3.0
ELON,,45.7,38.1,13.3,56.4,44.0,20.4,83.9,,76.2,57.2,45.3,54.6,55.6
EG7,,54.8,20.6,86.1,36.4,32.2,76.4,92.9,70.6,57.9,85.4,83.3,47.4,66.4
ENRO,93.6,43.8,67.6,29.0,93.8,72.4,81.7,67.6,74.6,96.7,67.4,83.2,18.9,50.7
G5EN,8.4,21.2,68.6,76.2,85.4,90.4,97.8,56.0,65.3,90.0,30.9,59.7,32.5,53.4
LAMM-B,,39.7,23.3,34.9,28.6,42.5,50.2,81.9,71.5,53.3,37.5,22.8,90.7,79.2
MOMENT,,47.4,28.2,60.8,13.3,40.9,1.2,24.4,0.8,,49.7,17.5,80.3,47.9
NELLY,,60.3,69.5,60.4,98.3,90.9,23.0,23.0,37.8,28.3,31.0,60.9,87.8,83.2
NIL-B,43.0,52.6,60.6,51.4,85.9,91.5,61.1,45.8,61.7,37.9,65.4,68.5,48.7,64.4
PIERCE,,61.8,32.2,49.0,39.1,37.9,65.7,67.7,50.1,,90.4,8.9,52.0,50.1
STAR-A,,69.0,3.8,1.5,18.9,15.6,78.8,84.7,,,86.3,2.6,91.1,41.3
STAR-B,,69.0,3.8,1.5,18.9,15.6,78.8,89.5,88.4,,26.5,19.4,71.3,28.2
ANOT,,7.5,36.0,45.8,5.4,11.3,87.5,63.1,,,96.9,4.7,25.3,24.1
B3,59.4,64.2,64.4,11.6,97.0,62.5,13.1,40.3,68.9,80.4,32.0,67.5,29.8,33.4
FING-B,,91.6,5.1,10.4,6.2,19.3,93.5,88.9,,,93.8,3.1,11.5,2.7
FPIP,91.2,60.3,52.1,63.6,54.4,51.2,87.3,33.9,23.5,27.5,57.1,32.8,67.6,62.5
GARO,,26.0,27.3,44.2,33.5,39.4,42.1,52.1,42.3,,56.2,29.8,37.1,28.5
MSAB-B,,41.8,72.2,96.9,96.5,95.5,54.6,14.1,35.9,48.8,35.3,86.1,46.7,74.2
SAFETY-B,,59.1,33.3,41.0,38.0,40.2,11.1,31.0,,81.2,10.2,90.4,96.9,94.4
NTEK-B,37.3,44.2,80.7,74.5,95.6,94.7,96.2,26.1,,30.4,51.6,80.3,82.2,92.2
PREC,,26.9,20.5,80.2,34.3,29.7,74.4,51.6,95.6,,13.0,13.7,31.0,34.7
PREV-B,25.7,51.0,57.6,38.6,74.7,86.9,50.4,50.7,62.2,76.7,81.5,30.4,34.5,34.1
SGG,,71.4,34.3,37.5,43.1,48.0,34.9,76.0,69.8,,18.9,55.2,12.9,12.3
SIVE,,84.1,10.6,86.3,31.6,30.4,74.6,74.7,93.0,,28.0,27.1,78.5,53.5
SLEEP,63.9,44.0,86.9,64.3,99.5,98.8,77.8,17.5,40.8,83.3,13.7,50.3,10.1,16.3
SOF-B,39.4,43.8,70.1,16.1,91.9,95.7,91.1,29.3,,83.8,34.0,60.0,59.2,66.8
TOBII,,72.4,24.6,87.8,32.2,36.2,38.7,54.4,91.3,,96.1,96.2,97.0,96.5
TRAD,96.0,42.5,37.5,19.6,48.0,45.0,66.1,74.1,,,12.8,62.4,85.8,78.3
DORO,,62.3,68.0,54.0,79.8,81.7,90.3,50.2,27.7,80.8,19.4,94.4,69.7,84.9
OVZON,,77.6,13.4,24.8,35.7,33.9,50.6,32.0,0.6,,82.8,98.2,95.7,97.8
LEA,34.1,56.0,89.0,5.2,59.6,42.7,,79.9,,98.8,25.5,9.1,,57.9
CHEF,88.8,66.1,52.7,21.8,67.8,71.8,64.9,57.5,29.2,87.1,77.9,46.4,96.1,97.6
VIVA,18.1,37.5,51.3,18.7,68.7,73.1,58.1,45.5,39.5,65.0,39.4,40.5,67.3,60.3
CLIME-B,,6.7,0.6,2.2,18.4,14.3,,86.8,93.2,,20.4,57.3,85.6,40.8
HEXI,,98.8,36.0,0.9,,25.4,,96.9,80.1,,3.7,3.4,90.3,23.1
MIDS,,11.1,36.0,4.6,9.3,18.1,8.7,36.6,87.3,,19.0,39.6,82.9,47.1
AGROUP,,22.4,15.2,5.5,40.9,37.0,55.6,92.7,74.8,,15.1,15.4,40.7,12.8
FNOVA-B,38.2,48.8,89.6,67.7,56.2,55.0,16.9,85.9,,,53.7,34.1,68.8,58.7
STUDBO,,58.2,93.6,68.8,68.5,54.0,3.8,91.3,72.7,,54.4,86.5,63.1,69.1
NAVIGO-STAM,,44.5,12.7,70.1,29.8,24.1,76.0,95.7,,,67.6,74.1,41.3,32.3
NAVIGO-PREF,,44.5,12.7,70.1,29.8,24.1,76.0,14.7,,95.4,70.2,77.8,76.4,93.1
VER,6.4,75.5,60.0,55.3,62.3,73.3,21.6,9.8,8.0,,23.0,3.0,50.9,21.6
ACARIX,,60.1,36.0,93.7,10.1,5.8,,18.1,0.2,,97.5,96.6,61.3,86.6
ADDV-A,17.7,44.0,55.5,61.4,66.2,78.2,5.2,76.7,74.0,,38.1,50.0,3.7,6.8
ADDV-B,17.7,44.0,55.5,61.4,66.2,78.2,5.2,90.5,71.0,,44.7,68.0,18.5,9.9
ALZCUR,,,36.0,5.2,2.7,1.7,,8.3,93.9,,57.5,30.6,94.9,72.5
BIOVIC-B,,71.9,36.0,96.3,6.4,4.3,77.2,49.6,82.2,,95.3,25.4,3.4,15.5
DVYSR,,54.8,14.8,87.1,27.4,25.2,70.8,18.4,1.9,,92.0,84.1,41.2,76.3
IMP-A-SDB,,73.6,36.0,2.4,26.3,21.3,96.6,0.3,90.5,,20.9,90.9,76.5,72.7
KAN,,,36.0,5.2,14.0,9.8,,25.0,79.3,,60.6,98.8,77.6,78.6
NANOFS,,82.5,36.0,91.1,21.2,15.4,78.4,6.2,,,82.2,89.2,11.9,33.5
PTRK,,34.1,11.7,22.7,23.6,35.5,66.3,9.9,70.8,,13.3,90.7,83.3,73.3
SPEC,,,36.0,5.2,26.6,21.8,86.1,94.7,,,1.6,0.4,0.8,7.7
SPRINT,,15.6,13.6,64.7,5.6,11.1,,12.0,79.9,,87.1,67.7,2.1,7.2
BYGGP,73.1,44.2,40.5,7.0,75.8,66.6,52.2,49.5,73.8,38.8,15.0,65.0,92.9,81.5
KBC,62.7,70.0,51.9,58.6,,,11.5,24.1,57.3,52.9,24.5,50.8,59.3,65.9
NYAB,,89.7,55.9,21.4,65.7,78.7,66.9,5.2,37.4,28.7,39.7,38.3,77.7,43.8
QBEN,,,36.0,5.2,,,,,55.0,,16.1,21.1,37.8,17.6
QAIR,9.2,35.6,31.8,71.0,39.6,41.9,22.2,60.4,73.6,65.8,91.7,85.2,68.1,60.8
QSYS,20.9,69.5,79.9,78.9,,,69.8,24.6,,67.1,49.2,73.4,,46.5
SALT-B,,0.5,2.1,1.8,15.7,15.1,64.3,12.6,,,98.2,24.0,44.0,74.6
TAGM-B,,41.1,36.2,74.1,44.3,37.5,47.2,78.7,3.2,,12.3,85.6,44.5,48.3
TSEC,,62.5,22.5,8.1,9.1,20.6,9.3,29.0,67.0,,39.0,67.6,37.4,24.3
NEXAM,,27.4,25.9,52.7,36.7,32.4,77.0,51.9,11.6,,71.7,82.5,59.6,66.0
AGES-B,4.0,24.3,21.8,8.7,19.5,52.3,32.7,60.9,,43.8,14.2,65.7,42.1,32.2
DRIL,,30.0,52.3,90.8,66.7,71.6,39.7,63.9,,77.9,35.7,54.3,31.6,36.3
GRANGX,,76.4,36.0,72.1,4.2,24.4,0.2,1.5,,,33.9,50.1,52.8,55.8
ACROUD,,45.9,17.0,93.3,18.0,35.0,34.3,14.2,79.5,,1.8,36.8,5.2,8.2
BOKUS,,56.2,43.9,23.8,60.3,64.5,38.9,58.8,56.2,86.7,74.3,74.7,74.9,90.5
EMBELL,75.5,29.6,68.4,67.1,78.1,85.0,63.3,56.4,56.0,62.9,46.1,42.2,62.7,67.3
LYKO-A,89.2,63.9,38.4,49.2,55.6,63.1,4.0,26.8,13.3,,90.2,44.9,70.3,73.2
MAGI,,23.3,36.4,70.4,44.1,37.2,88.3,68.0,36.8,94.6,96.3,96.8,55.0,92.8
PDX,46.6,33.2,88.3,63.0,88.9,97.5,92.1,17.2,17.5,20.0,59.9,25.5,50.1,56.7
RAKE,,7.7,6.4,42.5,11.3,44.9,75.8,35.1,78.6,,63.8,48.1,16.8,3.5
RUG,70.3,60.8,67.2,54.7,70.4,80.6,87.1,44.9,31.1,30.4,23.9,79.0,92.3,87.8
THUNDR,,20.0,2.8,88.9,13.5,10.1,73.4,96.3,80.3,,27.9,43.8,21.5,9.2
ZZ-B,78.3,86.5,65.9,22.9,98.7,96.3,75.6,6.5,12.3,22.1,94.8,94.0,95.5,100.0
4C,,70.0,34.5,41.4,43.4,58.3,52.8,44.3,,,56.1,61.5,79.3,62.1
ACAST,,76.9,33.5,39.0,41.6,33.7,75.2,42.8,98.7,,60.9,30.3,43.7,55.3
ADVE,,88.9,71.6,64.1,86.7,84.6,70.6,11.3,1.5,2.1,95.0,53.8,97.2,95.6
AVEN,90.0,64.4,58.9,20.9,99.0,94.0,21.0,12.9,48.8,68.3,44.1,69.4,93.3,91.9
BRIGHT,,10.6,9.1,6.8,14.3,15.0,84.3,94.5,82.0,,0.5,0.9,4.3,2.4
CAG,40.6,37.7,58.7,16.8,81.0,87.0,72.4,42.5,46.9,64.6,43.9,51.0,64.4,72.0
CX,43.4,52.4,58.0,17.2,74.9,76.6,62.9,51.7,53.9,58.8,72.7,73.2,85.7,89.6
DEVP-B,8.8,18.3,54.5,9.2,81.5,77.7,71.4,60.0,,91.2,19.5,22.2,22.3,8.6
DIST,,12.7,31.2,19.8,30.1,29.2,5.4,96.6,84.1,,93.3,1.8,0.4,2.2
FRACTL,31.7,66.6,59.3,41.8,71.0,78.9,91.9,37.0,22.6,52.9,78.0,87.3,74.3,87.3
FREJA,,73.1,14.4,98.3,0.5,18.4,,99.1,94.9,,30.5,75.3,75.2,67.0
GIG-SDB,,57.5,10.8,61.2,,,82.3,5.9,100.0,,38.4,95.3,94.6,98.1
