Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,debtToEquity_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_40_%_D_rank,40_120_%_D_rank,RSI_3_months_rank
CORE-B,,31.5,16.1,70.2,37.9,53.5,9.9,93.5,59.4,39.6,86.4,46.8,44.9,31.5
CORE-D,,31.5,16.1,70.2,37.9,53.5,9.9,8.9,,94.2,37.0,82.9,68.4,81.3
CORE-PREF,,31.5,16.1,70.2,37.9,53.5,9.9,8.6,,91.7,66.9,76.9,60.8,79.8
FABG,,19.5,71.2,78.6,46.0,49.2,25.6,82.4,30.0,39.2,53.0,67.2,54.5,61.7
FPAR-A,26.5,37.0,87.5,77.4,53.9,57.5,17.9,80.0,33.6,27.9,66.4,64.5,45.4,46.3
FPAR-D,26.5,37.0,87.5,77.4,53.9,57.5,17.9,69.5,,86.2,50.9,74.9,69.8,94.5
HEM,76.3,76.7,90.9,92.2,97.6,98.5,53.6,4.9,14.6,4.2,73.9,8.7,15.1,16.4
HUFV-A,,51.2,87.7,56.0,51.3,51.0,53.0,75.1,23.0,37.1,38.9,72.2,61.7,69.3
NP3,53.0,60.8,93.9,83.7,72.6,69.1,12.9,54.1,27.3,28.3,71.8,68.9,69.6,77.0
NP3-PREF,53.0,60.8,93.9,83.7,72.6,69.1,12.9,95.1,,87.5,39.5,60.4,62.1,89.0
NYF,,37.7,59.8,77.3,46.6,65.3,17.7,68.4,52.0,52.1,79.6,71.1,30.3,52.9
PNDX-B,5.2,41.1,83.9,62.3,54.7,60.8,16.3,69.6,40.6,43.3,48.6,66.2,27.8,43.9
SAGA-A,36.5,58.4,99.2,90.0,76.8,63.6,29.8,41.8,,21.2,80.7,54.4,46.2,51.2
SAGA-B,36.5,58.4,99.2,90.0,76.8,63.6,29.8,42.4,36.4,20.4,64.7,61.1,45.5,46.2
SAGA-D,36.5,58.4,99.2,90.0,76.8,63.6,29.8,92.0,,82.5,40.1,54.1,72.8,85.4
WALL-B,82.3,57.9,91.1,69.5,52.2,46.8,20.8,69.8,19.9,12.1,65.8,55.3,63.6,62.3
WIHL,66.7,41.1,93.2,78.9,64.0,62.0,14.9,61.0,37.0,54.2,67.7,70.2,50.3,68.2
BURE,,,96.4,99.4,45.3,39.4,100.0,71.6,,10.8,74.0,16.8,16.7,14.9
EQT,,,89.4,74.3,70.7,83.2,61.3,1.6,24.7,16.7,93.9,69.2,24.7,67.7
INDU-A,14.1,6.5,98.7,99.4,49.3,46.2,85.5,75.3,49.9,39.6,49.5,36.4,39.2,42.1
INDU-C,14.1,6.5,98.7,99.4,49.3,46.2,85.5,75.3,,39.6,50.4,36.3,39.8,43.5
INVE-A,,1.4,92.8,74.9,58.1,64.3,74.8,68.7,,25.8,54.9,30.2,37.7,40.4
INVE-B,,1.4,92.8,74.9,58.1,64.3,74.8,68.6,34.2,25.8,55.3,31.1,36.7,40.1
KINV-A,,,36.0,5.2,31.3,24.9,84.5,80.4,,,89.0,33.2,78.3,73.6
KINV-B,,,36.0,5.2,31.3,24.9,84.5,84.4,38.9,,85.5,39.4,54.9,60.5
LATO-B,11.6,61.3,83.7,39.9,74.2,64.6,51.2,30.1,,25.4,72.9,21.0,30.7,28.0
LUND-B,28.5,21.4,81.1,61.0,55.1,51.3,74.2,70.4,,11.2,44.4,19.3,44.2,20.9
SAVE,58.6,61.1,94.7,94.1,96.1,43.7,1.6,15.3,21.8,55.4,65.2,30.1,72.3,75.5
ROKO-B,55.0,56.2,75.0,45.3,78.3,79.4,68.1,19.3,14.2,,39.9,64.2,,70.1
STOR-B,80.7,30.8,36.6,17.0,46.5,53.3,42.5,73.0,58.8,9.2,61.4,47.9,20.7,54.4
SAMPO-SDB,31.3,39.7,75.4,39.2,81.1,67.9,52.6,2.5,,63.7,48.7,44.2,75.5,77.4
ALIF-B,84.3,49.3,48.1,37.0,59.3,67.4,25.2,24.7,8.5,2.9,53.9,49.0,87.9,88.2
ALVO-SDB,,95.4,82.0,66.9,,86.0,,99.6,,,31.5,,,4.7
ASKER,78.7,65.1,46.0,40.5,,,36.3,17.0,13.7,,46.5,88.7,,99.1
AZN,71.5,53.8,79.4,89.8,88.2,89.7,31.7,1.3,48.0,41.7,20.0,45.1,28.0,20.0
BIOA-B,,99.5,95.8,98.2,99.2,99.7,90.9,13.8,7.8,,14.1,40.7,27.7,38.5
BIOT,3.2,16.3,78.0,68.6,60.9,71.9,82.9,35.6,16.7,14.2,35.9,53.4,86.0,63.5
BONEX,14.5,84.6,76.7,95.7,87.5,94.2,92.7,4.0,7.4,,78.4,40.0,13.0,35.8
CAMX,88.4,81.2,88.4,95.9,86.4,93.5,89.5,11.6,12.9,,58.8,54.5,51.2,59.2
EKTA-B,,44.7,40.7,37.2,50.0,70.9,28.2,47.6,59.8,72.9,43.7,27.2,19.8,14.8
GETI-B,23.3,59.1,54.4,52.5,55.9,70.6,54.2,54.7,35.7,42.1,53.4,40.8,32.7,42.5
MCOV-B,92.4,65.6,41.1,20.5,57.1,58.0,4.6,0.9,1.1,5.4,87.3,53.6,85.2,93.7
SECT-B,36.9,43.3,82.4,37.9,95.1,96.0,85.9,2.7,5.3,1.7,88.2,71.8,90.6,95.9
SOBI,55.0,45.7,80.3,86.0,72.4,75.4,55.8,40.9,31.9,,69.5,18.5,45.8,43.0
VIMIAN,54.6,67.3,57.2,76.3,52.4,62.1,57.7,3.4,16.9,,18.2,43.9,58.1,50.8
VITR,39.0,38.9,79.0,65.8,53.4,59.8,72.2,57.6,17.3,7.5,51.3,11.1,13.6,11.3
ABB,65.5,40.4,77.3,37.7,94.1,91.2,37.9,1.0,25.2,24.6,62.3,60.5,42.0,59.6
ADDT-B,65.1,62.0,69.1,30.5,93.3,92.7,27.0,9.2,12.5,8.8,75.3,22.9,71.7,71.1
AFRY,27.3,36.3,54.5,16.5,65.0,72.6,43.1,59.9,54.1,64.6,61.0,13.6,36.9,33.8
ALFA,61.4,58.9,74.6,34.2,87.9,89.2,59.7,28.4,32.8,34.6,36.0,31.9,30.1,22.6
ASSA-B,28.1,54.6,70.8,43.8,80.1,85.2,32.9,31.9,29.4,30.0,38.5,32.6,45.1,37.0
ATCO-A,41.0,38.0,82.2,45.1,92.4,94.9,59.1,16.9,22.2,28.7,53.2,28.0,26.9,25.8
ATCO-B,41.0,38.0,82.2,45.1,92.4,94.9,59.1,20.3,,36.7,42.9,27.6,26.5,23.4
BEIJ-B,63.5,65.6,61.9,29.8,71.4,75.9,41.9,30.5,18.0,10.4,55.9,54.7,38.3,47.6
BRAV,58.2,30.3,51.5,12.6,75.9,70.1,57.9,45.9,44.4,66.7,73.8,60.6,65.5,81.0
EPRO-B,60.2,39.9,62.9,33.6,83.2,79.6,40.5,30.4,33.0,15.0,83.9,66.3,34.4,65.0
ENGCON-B,55.4,62.3,77.8,50.3,94.9,97.8,71.0,6.1,15.9,12.9,18.6,39.2,33.6,33.6
EPI-A,56.2,57.7,78.8,35.9,89.4,92.4,45.4,20.0,20.5,24.2,37.1,31.0,67.2,60.1
EPI-B,56.2,57.7,78.8,35.9,89.4,92.4,45.4,22.1,15.2,32.5,46.9,24.6,66.5,57.5
INDT,53.8,46.9,68.2,34.4,85.7,86.7,37.7,20.7,17.8,13.8,52.6,28.8,28.2,30.8
LIFCO-B,64.7,64.9,77.7,49.4,88.7,91.4,53.8,12.1,10.6,4.2,55.8,40.2,76.6,81.6
LIAB,66.7,43.5,46.8,25.3,55.7,70.3,37.5,46.5,42.9,47.9,57.9,15.9,65.9,37.7
LOOMIS,56.6,50.7,58.1,25.7,76.4,80.4,22.6,48.1,54.3,61.3,70.5,67.1,57.7,82.7
MTRS,,67.5,52.5,32.7,86.5,81.1,8.9,24.3,34.9,13.3,82.7,50.5,38.6,40.7
NCC-A,,32.2,46.2,7.9,88.6,69.9,38.5,45.6,,73.8,19.6,42.9,59.1,61.9
NCC-B,,32.2,46.2,7.9,88.6,69.9,38.5,46.1,53.7,75.4,16.8,41.1,57.6,59.8
NIBE-B,,43.0,60.4,28.1,64.3,60.3,30.8,38.8,22.0,6.2,70.9,23.6,53.5,38.3
NOLA-B,65.9,39.7,64.2,14.8,76.1,81.4,61.5,37.2,27.9,45.0,58.7,43.5,61.9,66.1
OEM-B,46.2,45.4,75.2,34.6,91.8,97.2,87.9,14.5,,15.4,43.3,41.8,77.3,74.8
PEAB-B,,29.8,50.0,8.9,78.6,64.0,28.4,59.1,48.6,60.8,20.3,34.3,67.5,58.0
SAAB-B,79.9,59.9,64.0,20.3,77.3,67.6,61.9,15.6,9.5,2.5,87.7,80.2,95.0,96.8
SAND,91.2,40.9,75.9,42.3,83.3,88.4,46.2,35.9,38.7,46.2,57.0,57.1,51.8,65.2
SECU-B,67.5,40.6,49.4,18.9,78.5,78.6,19.8,49.0,55.8,55.0,52.5,34.8,52.1,68.5
SKA-B,87.1,68.8,49.6,7.8,72.2,56.1,60.1,57.2,47.4,61.7,31.4,35.5,56.6,60.7
SWEC-A,59.0,48.1,63.6,32.9,87.2,87.9,47.4,23.6,,31.7,72.2,25.9,38.1,51.3
SWEC-B,59.0,48.1,63.6,32.9,87.2,87.9,47.4,23.4,23.3,30.8,67.8,26.6,38.5,50.4
SYSR,18.9,36.1,59.1,35.3,75.3,85.9,66.5,32.6,29.0,17.1,68.0,30.8,74.0,66.5
8TRA,21.7,24.8,58.3,18.3,79.5,68.4,13.7,13.3,72.9,84.2,36.4,17.4,33.5,30.4
TREL-B,47.8,54.3,72.5,36.0,66.0,80.2,65.9,47.3,32.1,32.9,65.5,47.0,29.5,46.1
VOLV-A,26.9,27.9,69.3,24.2,91.6,79.1,14.7,37.8,,51.7,62.7,33.7,31.1,44.4
VOLV-B,26.9,27.9,69.3,24.2,91.6,79.1,14.7,37.9,57.9,51.7,62.1,35.4,28.7,44.3
ALLEI,96.8,55.8,66.5,20.0,68.4,75.1,79.8,66.5,54.5,51.7,13.4,45.7,36.2,45.4
BILL,71.1,52.2,54.7,54.2,60.6,58.1,62.5,75.9,53.1,60.4,28.3,22.0,44.8,34.8
BOL,83.9,63.2,76.3,13.7,86.0,82.9,64.7,63.3,61.5,44.2,54.0,24.5,22.2,28.6
GRNG,52.2,78.1,53.8,29.2,71.7,76.7,44.6,61.2,60.0,45.8,66.5,35.1,40.4,52.0
HPOL-B,41.4,41.6,72.3,19.2,79.1,90.2,63.7,47.7,51.6,70.8,77.8,56.0,37.3,45.7
HOLM-A,50.2,47.8,76.1,52.3,56.7,52.5,79.2,69.9,,42.5,21.3,17.1,45.7,13.9
HOLM-B,50.2,47.8,76.1,52.3,56.7,52.5,79.2,68.9,33.2,39.6,31.9,23.1,42.9,22.2
LUG,94.4,85.3,92.4,79.7,98.5,99.5,,0.7,26.8,42.1,7.6,90.8,95.3,94.9
LUMI,97.2,68.5,30.7,50.5,54.0,75.2,56.7,7.7,50.5,7.1,50.8,86.4,65.2,66.9
SCA-A,49.0,52.9,81.2,79.3,52.7,45.8,73.0,76.6,,40.8,29.1,29.5,30.2,20.4
SCA-B,49.0,52.9,81.2,79.3,52.7,45.8,73.0,76.6,31.7,40.4,29.7,28.6,28.9,18.0
SKF-A,43.8,34.6,62.7,25.9,74.1,79.2,57.1,53.8,,62.5,58.5,65.4,55.4,69.4
SKF-B,43.8,34.6,62.7,25.9,74.1,79.2,57.1,53.6,53.3,60.8,67.1,66.6,53.9,73.4
SSAB-A,12.9,29.1,57.4,10.7,62.8,65.4,73.2,76.4,61.9,71.2,41.9,21.2,66.8,56.0
SSAB-B,12.9,29.1,57.4,10.7,62.8,65.4,73.2,77.0,63.0,71.7,42.5,20.5,67.1,55.7
STE-A,74.3,56.7,32.8,33.8,42.1,43.2,41.1,13.6,2.7,42.1,67.3,69.9,34.8,47.5
STE-R,74.3,56.7,32.8,33.8,42.1,43.2,41.1,14.4,,44.6,68.1,76.4,24.9,41.1
TROAX,34.5,33.4,73.1,36.8,84.0,89.9,52.0,1.8,1.7,42.1,46.0,28.2,10.2,10.0
ASMDEE-B,,72.4,37.3,49.7,44.4,55.6,54.8,8.1,39.7,,38.0,61.0,,89.3
ALIV-SDB,75.1,36.8,63.3,16.6,93.4,88.7,23.6,2.8,4.0,52.9,30.6,82.6,58.5,67.9
BETS-B,58.2,67.8,81.8,88.7,89.7,93.4,67.5,3.1,3.8,62.9,60.1,79.1,86.7,98.5
BILI-A,43.4,51.4,42.0,14.2,77.4,69.4,8.3,43.4,57.5,69.2,75.7,42.7,46.9,61.6
DOM,24.5,23.8,22.9,25.5,33.0,37.4,31.9,87.7,63.6,56.7,90.6,46.9,13.9,21.8
ELUX-A,,48.6,35.6,13.5,42.4,43.5,2.0,39.3,,,82.6,54.0,11.2,25.2
ELUX-B,,48.6,35.6,13.5,42.4,43.5,2.0,46.4,70.2,,30.2,78.6,7.7,15.8
EMBRAC-B,,27.2,88.1,89.6,59.4,50.5,81.0,78.8,62.4,,35.8,12.6,20.2,20.3
EVO,47.0,47.1,95.6,99.4,94.3,97.7,91.5,2.4,58.1,67.5,81.3,85.5,16.1,26.4
FOI-B,0.4,33.4,40.3,63.4,47.8,55.5,49.0,7.1,4.4,50.4,24.3,12.2,25.1,12.7
HM-B,32.5,31.2,55.1,59.1,91.1,78.4,6.7,20.6,41.2,74.2,49.4,20.6,50.0,27.2
HUSQ-A,28.9,38.5,43.6,27.9,53.5,58.8,37.3,64.7,,30.4,62.0,58.8,29.9,26.3
HUSQ-B,28.9,38.5,43.6,27.9,53.5,58.8,37.3,64.6,60.3,30.0,62.9,59.8,29.7,25.5
JM,29.3,17.5,45.8,10.5,54.2,46.7,12.1,63.6,31.5,35.0,56.8,44.8,51.0,39.5
MIPS,79.5,80.0,89.2,81.0,89.9,97.3,93.8,6.7,9.9,17.9,35.1,86.9,35.8,59.3
NEWA-B,62.2,57.2,69.7,55.5,77.6,87.2,56.0,42.7,45.2,49.6,59.2,63.7,84.6,84.0
THULE,39.0,57.9,74.4,48.4,79.6,87.4,40.1,28.3,29.6,52.5,70.4,76.7,13.5,35.9
VOLCAR-B,10.4,22.4,49.8,17.7,67.2,66.4,65.3,92.6,75.3,,79.7,16.7,13.8,17.2
ANOD-B,30.5,9.6,58.5,21.1,82.8,72.9,37.1,19.6,15.4,12.1,84.1,88.9,42.8,75.7
BETCO,14.9,20.7,67.8,41.2,55.2,65.9,46.4,9.3,3.0,,71.2,57.8,80.6,40.9
