Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI_3_months
2022-06-30,54.30690765681568,54.30690765681568,52.848539824367634,53.751338958740234,31542,0.0,0.0,,,,,,,
2022-07-01,53.75134226407596,55.14026764309181,53.26521962336676,54.237464904785156,15584,0.0,0.0,,,,,,,100.0
2022-07-04,54.237464942340566,55.27915986442829,53.6818962097168,53.6818962097168,11906,0.0,0.0,,,,,,,46.38885281639807
2022-07-05,53.82078747188221,54.862478827726186,52.98743438720703,52.98743438720703,13654,0.0,0.0,,,,,,,27.650762584392723
2022-07-06,53.47355699192217,54.86247879898655,53.47355699192217,53.54300308227539,10727,0.0,0.0,,,,,,,45.46999907603022
2022-07-07,53.82078504599967,54.65413809311284,52.57075547532991,53.751338958740234,33175,0.0,0.0,,,,,,,50.12791317810461
2022-07-08,53.75133988412798,55.90417217465162,53.75133988412798,55.00136947631836,17096,0.0,0.0,,,,,,,67.15226157674627
2022-07-11,55.279161684749,55.279161684749,53.95968235289947,55.07081985473633,15108,0.0,0.0,,,,,,,67.77038413059995
2022-07-12,54.86247799898439,56.73752595959752,54.376355373600475,56.18195724487305,25874,0.0,0.0,,,,,,,75.29254713797815
2022-07-13,56.18195917157607,56.94586618051963,55.418052162632506,55.9041748046875,21249,0.0,0.0,54.411079788208006,,,2.744101058628647,,,71.09754902386578
2022-07-14,55.41805361370021,56.11251454910541,55.41805361370021,55.55694580078125,26961,0.0,0.0,54.59164047241211,,,1.7682292014231697,,,66.41975838500302
2022-07-15,55.348605240741485,56.87642288208008,55.27916269402707,56.87642288208008,53673,0.0,0.0,54.8555362701416,,,3.68401577916661,,,73.19643886263027
2022-07-18,62.50156004907238,62.50156004907238,55.55694384291684,56.390296936035156,20133,0.0,0.0,55.12637634277344,,,2.292769227933126,,,68.07797902283059
2022-07-19,57.223650243042634,62.848794287871165,57.223650243042634,61.39042282104492,67012,0.0,0.0,55.966675186157225,,,9.691030630008202,,,81.5194872887738
2022-07-20,61.39042406162097,61.39042406162097,58.89036117398202,60.48762130737305,54241,0.0,0.0,56.66113700866699,,,6.753278350416353,,,75.6995940459986
2022-07-21,60.487621148021674,60.76540551831439,59.515375851997156,59.86260986328125,6516,0.0,0.0,57.272264099121095,,,4.522862514527178,,,72.09618110926093
2022-07-22,61.043190097273815,61.18208228289495,59.654268241062404,59.93205261230469,7005,0.0,0.0,57.76533241271973,,,3.750900599176425,,,72.2446238752502
2022-07-25,61.112639597376564,62.57101109144897,59.93205247390496,61.598758697509766,24110,0.0,0.0,58.41812629699707,,,5.444598452785689,,,75.41848977921191
2022-07-26,62.50155640150188,62.50155640150188,60.070939806672,60.27928161621094,16294,0.0,0.0,58.82785873413086,,,2.467237314619428,,,69.09331114199537
2022-07-27,60.55707383123316,61.18208514737242,59.72372067848964,60.348731994628906,9223,0.0,0.0,59.272314453125,,,1.8160545128622962,,,69.23066420646492
