Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2023-06-05,1847.568603515625,1847.568603515625,1847.568603515625,1847.568603515625,10,0.0,0.0,1841.078564453125,1884.135043334961,1984.5124816894531,0.352512879559154,-2.2852119350014903,-5.058040162541025,46.387757816028504,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-07,1847.568563943381,1847.568563943381,1798.1683349609375,1798.1683349609375,11,0.0,0.0,1829.0793334960938,1880.1515625,1983.1846547444661,-1.6899758238519462,-2.716388934942906,-5.195335290537633,39.176218691869906,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-08,1798.1683349609375,1847.568563943381,1798.1683349609375,1798.1683349609375,12,0.0,0.0,1821.014794921875,1876.4140014648438,1981.0780883789062,-1.2546004581976813,-2.952397845023584,-5.283188357290239,39.176218691869906,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-09,1798.1683349609375,1798.1683349609375,1798.1683349609375,1798.1683349609375,0,0.0,0.0,1818.8522827148438,1874.1519500732422,1979.0534932454427,-1.1371977785371967,-2.9506501517252812,-5.300591597459694,39.176218691869906,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-12,1729.0080137510558,1827.8084716796875,1729.0080137510558,1827.8084716796875,6,0.0,0.0,1819.6537841796876,1871.4013092041016,1978.284164428711,0.4481450026866566,-2.7651752069374154,-5.402805984421099,45.522858312026976,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-13,1778.4082427153717,1827.8084716796875,1778.4082427153717,1827.8084716796875,20,0.0,0.0,1823.406298828125,1869.1425048828125,1977.5476236979166,0.24142577846701874,-2.446908458569079,-5.481795609674968,45.522858312026976,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-14,1827.8084716796875,1827.8084716796875,1827.8084716796875,1827.8084716796875,5,0.0,0.0,1823.2241333007812,1866.8837005615235,1976.3848256429037,0.2514412954049028,-2.3386334803614335,-5.540475906343811,45.52285831202698,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-15,1827.8084716796875,1827.8084716796875,1827.8084716796875,1827.8084716796875,0,0.0,0.0,1822.0582885742188,1864.6248962402344,1975.2384216308594,0.3155872203171027,-2.2828509772579735,-5.600008797889661,45.52285831202698,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-16,1827.8084716796875,1827.8084716796875,1827.8084716796875,1827.8084716796875,2,0.0,0.0,1820.8924438476563,1862.1201751708984,1974.0920176188151,0.3798152853782631,-2.2140209785041596,-5.672068041842303,45.52285831202698,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
2023-06-19,1788.2882486979167,1808.04833984375,1758.6481119791667,1808.04833984375,37,0.0,0.0,1818.9164306640625,1860.596957397461,1973.0760477701822,-0.5975035816430966,-2.2401695631975946,-5.700697167746593,41.3557100145453,,0.581,0.03988,0.33436,0.0215,,1.2202274,,Rederiaktiebolaget Gotland (publ),Industrials,"Rederiaktiebolaget Gotland (publ), together with its subsidiaries, operates as a passenger and freight shipping company in Sweden. The company primarily owns and operates a fleet of ships that transports passengers; and cargo, including refined petroleum products, vegetable oils and chemicals, and other liquid products, such as methanol. It also owns, manages, and operates hotels and properties comprising Scandic Visby, Visby Gustavsvik, and Strandvillan located in Visby. Rederiaktiebolaget Gotland (publ)was founded in 1865 and is headquartered in Visby, Sweden."
