Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI_3_months
2022-06-30,132.78647161960635,132.97891284490902,130.09225041839585,132.45932006835938,2196927,0.0,0.0,,,,,,,
2022-07-01,131.2276736189943,134.76863901339112,130.93900445085188,133.1905975341797,985174,0.0,0.0,,,,,,,100.0
2022-07-04,134.49922218610254,135.05731201171875,132.82495270925395,135.05731201171875,984204,0.0,0.0,,,,,,,100.0
2022-07-05,135.55767093853402,136.4429123122384,132.0936701872349,135.05731201171875,1814097,0.0,0.0,,,,,,,100.0
2022-07-06,136.05801353962923,139.348821554777,135.8655723185091,138.6945037841797,1979902,0.0,0.0,,,,,,,100.0
2022-07-07,139.36805041839472,141.0230712890625,137.86698839205033,141.0230712890625,1456815,0.0,0.0,,,,,,,100.0
2022-07-08,139.406547177855,142.2932094324004,138.59827058801648,140.98458862304688,1260695,0.0,0.0,,,,,,,99.54048667335164
2022-07-11,139.52200856014497,141.9852913276213,138.90618786827588,140.42649841308594,826096,0.0,0.0,,,,,,,93.25604283499185
2022-07-12,139.3295691945045,143.7750244140625,137.88623805232868,143.7750244140625,1605139,0.0,0.0,,,,,,,95.12389317366829
2022-07-13,143.467125360025,143.75577985055833,139.44503483148037,140.2917938232422,1464321,0.0,0.0,138.09600219726562,,,1.5900472070436562,,,73.66261983101157
2022-07-14,140.00312987118818,140.5804682384322,133.13287377614245,134.76864624023438,2790400,0.0,0.0,138.32693481445312,,,-2.572375784218535,,,54.09361302196029
2022-07-15,133.7871711981236,136.51988938020608,132.671006248493,134.90335083007812,2071858,0.0,0.0,138.49821014404296,,,-2.5955998349914076,,,54.39243105019812
2022-07-18,134.80713720568986,138.73298506923956,134.80713720568986,137.5398406982422,1438563,0.0,0.0,138.7464630126953,,,-0.8696598733062534,,,59.59762369378664
2022-07-19,136.19273120485084,141.61965615402113,136.19273120485084,140.8306427001953,1387816,0.0,0.0,139.32379608154298,,,1.0815428957809978,,,64.68493222249754
2022-07-20,141.8505913016023,142.58187383802658,138.6175287641445,141.1577911376953,1411227,0.0,0.0,139.57012481689452,,,1.137540231395287,,,65.12637444347757
2022-07-21,127.01314508455795,137.25117376771723,126.33959346375619,135.576904296875,10247935,0.0,0.0,139.02550811767577,,,-2.4805547323601638,,,53.57383567798901
2022-07-22,134.8456276276192,139.61824944352904,132.47855790630965,138.67526245117188,3255254,0.0,0.0,138.7945755004883,,,-0.08596376975553909,,,57.77853315744698
2022-07-25,137.5975733507073,139.90689738016715,137.15494532586004,139.29107666015625,1660933,0.0,0.0,138.6810333251953,,,0.43988952226109307,,,58.53334984436886
2022-07-26,138.925440599978,139.04090239497273,132.40158490094512,132.70948791503906,3169761,0.0,0.0,137.57447967529296,,,-3.536260338208356,,,49.05514156801596
2022-07-27,133.13286317446932,135.5961459382144,131.86272474060635,131.88197326660156,1955173,0.0,0.0,136.7334976196289,,,-3.548160792700207,,,48.06555390743309
2022-07-28,133.20984389611698,135.59614726149246,132.86344383643961,135.15353393554688,2249430,0.0,0.0,136.77198638916016,,,-1.1833215970178796,,,51.94145054934532
2022-07-29,135.8270910825106,140.94609808224843,135.384463056143,140.3687744140625,1798885,0.0,0.0,137.3185287475586,,,2.221292125923788,,,57.102314467400824
2022-08-01,139.71445995339883,140.96534995430466,138.13641839785862,139.5605010986328,955326,0.0,0.0,137.52059478759764,,,1.4833460502303888,,,56.1571803338049
2022-08-02,138.02095421079758,138.36735428686762,136.51989210860208,137.2126922607422,1294013,0.0,0.0,137.15879974365234,,,0.03929205941621953,,,53.553517562431935
2022-08-03,137.21269604177613,137.48211669921875,135.05731609991054,137.48211669921875,1496107,0.0,0.0,136.79123229980468,,,0.5050648260115574,,,53.80207608286504
2022-08-04,138.32885370007435,144.52555785689765,137.86699183788394,142.85130310058594,1766556,0.0,0.0,137.51867218017577,,,3.8777504435349703,,,58.299287453804844
2022-08-05,143.0629747043845,145.37231332414018,141.15778172188678,141.5426788330078,1417341,0.0,0.0,137.80541381835937,,,2.7119870773542423,,,56.93330160145378
2022-08-08,141.7351267516037,144.37160234645376,141.6773958527857,143.64031982421875,642746,0.0,0.0,138.24033813476564,,,3.9062271998993965,,,58.50911345661192
2022-08-09,143.85200619855453,144.1021783150024,139.42578475028486,139.65672302246094,1069198,0.0,0.0,138.9350616455078,,,0.5194235122552809,,,54.667706196803245
2022-08-10,139.07938060781797,146.16132590813692,138.67524965509477,145.7764434814453,1483014,0.0,0.0,140.3245086669922,,,3.8852334964459105,,,58.86340135814298
2022-08-11,145.7764566348749,149.89476063782863,145.7764566348749,149.3751678466797,1426027,0.0,0.0,141.74667205810547,,,5.381781228307854,,,61.0093822501816
2022-08-12,149.2789302953355,151.91542050180746,149.12497144773337,150.31813049316406,957225,0.0,0.0,142.74160766601562,,,5.307858690281712,,,61.54099323121769
2022-08-15,149.37516564711828,150.4913306417294,147.14280629324693,148.14352416992188,1027713,0.0,0.0,143.59990997314452,,,3.164078722352322,,,59.64453558300628
2022-08-16,148.54764430804917,148.64385757380063,145.853423267509,147.41221618652344,1082849,0.0,0.0,144.61986236572267,,,1.930823176791105,,,59.02595844376165
2022-08-17,147.87408786656167,149.02876459092784,143.79428100585938,143.79428100585938,1321743,0.0,0.0,145.2510787963867,,,-1.0029514428388342,,,56.114495689453676
2022-08-18,143.8520121992736,145.31459195275184,143.1207296636967,143.832763671875,1214637,0.0,0.0,145.34922485351564,,,-1.0433225104357733,,,56.13776673005278
2022-08-19,143.8327588729472,144.25613836764325,139.6567241885798,139.73370361328125,1975991,0.0,0.0,145.16832733154297,,,-3.7436704122448434,,,53.1045854556669
2022-08-22,139.52200918275932,139.69520187078126,136.63534692380568,136.7508087158203,1605929,0.0,0.0,144.47937622070313,,,-5.349253095526139,,,51.07387404927039
2022-08-23,136.7508203367398,138.5598002044192,134.94185515138517,135.40371704101562,1359235,0.0,0.0,144.0540756225586,,,-6.004938453951207,,,50.197261043061836
2022-08-24,134.90334896555697,135.3844593503716,133.03663832330443,134.22979736328125,1217459,0.0,0.0,142.8994110107422,139.51335487365722,,-6.066934486391428,2.427048034327164,,49.44932712531341
2022-08-25,136.1542427468353,137.11646354363273,134.1913187815912,134.4992218017578,1367697,0.0,0.0,141.41181640625,139.5643524169922,,-4.888272267597209,1.3237362960263244,,49.62353268972525
2022-08-26,135.94255421787196,136.07726454334048,130.95825749321227,131.38162231445312,1877697,0.0,0.0,139.5181655883789,139.519128036499,,-5.831888083972565,-0.0006898323790083011,,47.70004373344709
2022-08-29,129.89980699948532,132.42082077772423,128.9760685783775,131.22767639160156,1459422,0.0,0.0,137.8265808105469,139.4233871459961,,-4.787831476437785,-1.1452930301980964,,47.60789669400849
2022-08-30,131.78576951591324,135.26900417403553,131.1891826255765,132.01669311523438,2026723,0.0,0.0,136.28702850341796,139.34737167358398,,-3.133339566557859,-2.1961972683164497,,48.12726124929834
2022-08-31,133.7294334518579,133.82566139815233,130.1307373046875,130.1307373046875,2211603,0.0,0.0,134.9206741333008,139.13327751159667,,-3.5501874411632905,-3.02774681488026,,47.001070311316994
2022-09-01,126.32034413372281,128.93758585704882,123.2412405422581,125.33887481689453,3374888,0.0,0.0,133.07128524780273,138.7411725997925,,-5.810727999289298,-4.086665296065284,,44.33545550689816
